key_resp1.keys,key_resp1.rt,participant,session,group,date,expName,psychopyVersion,OS,frameRate,key_resp_6.keys,key_resp_6.rt,key_resp_10.keys,key_resp_10.rt,key_ressp2.keys,key_ressp2.rt,key_resp_9.keys,key_resp_9.rt,key_resp_3.keys,key_resp_3.rt,key_resp1_2.keys,key_resp1_2.rt,key_resp1_3.keys,key_resp1_3.rt,key_resp_11.keys,key_resp_11.rt,key_resp_12.keys,key_resp_12.rt,key_resp_18.keys,key_resp_18.rt,key_resp_7.keys,key_resp_7.rt,key_resp1_4.keys,key_resp1_4.rt,syllable_catch.keys,key_resp_16.keys,audio1.thisRepN,audio1.thisTrialN,audio1.thisN,audio1.thisIndex,audio1.ran,dirs,timeA,timeB,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,Conj_unsync_online.thisRepN,Conj_unsync_online.thisTrialN,Conj_unsync_online.thisN,Conj_unsync_online.thisIndex,Conj_unsync_online.ran,condA,condB,ord,colour,syllable_catch.rt
space,3.776,540809,001,A,2023-06-20_18h40.42.965,Unsyncopated1,2022.2.5,MacIntel,62.81407035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,540809,001,A,2023-06-20_18h40.42.965,Unsyncopated1,2022.2.5,MacIntel,62.81407035,space,0.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,540809,001,A,2023-06-20_18h40.42.965,Unsyncopated1,2022.2.5,MacIntel,62.81407035,,,space,0.745,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,540809,001,A,2023-06-20_18h40.42.965,Unsyncopated1,2022.2.5,MacIntel,62.81407035,,,,,space,1.253,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,540809,001,A,2023-06-20_18h40.42.965,Unsyncopated1,2022.2.5,MacIntel,62.81407035,,,,,,,space,0.595,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,540809,001,A,2023-06-20_18h40.42.965,Unsyncopated1,2022.2.5,MacIntel,62.81407035,,,,,,,,,space,0.614,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,540809,001,A,2023-06-20_18h40.42.965,Unsyncopated1,2022.2.5,MacIntel,62.81407035,,,,,,,,,,,space,0.552,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,540809,001,A,2023-06-20_18h40.42.965,Unsyncopated1,2022.2.5,MacIntel,62.81407035,,,,,,,,,,,,,space,0.616,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,540809,001,A,2023-06-20_18h40.42.965,Unsyncopated1,2022.2.5,MacIntel,62.81407035,,,,,,,,,,,,,,,space,0.638,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,540809,001,A,2023-06-20_18h40.42.965,Unsyncopated1,2022.2.5,MacIntel,62.81407035,,,,,,,,,,,,,,,,,space,0.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,540809,001,A,2023-06-20_18h40.42.965,Unsyncopated1,2022.2.5,MacIntel,62.81407035,,,,,,,,,,,,,,,,,,,space,0.595,space,8.708,space,4.907,,,0,0,0,1,1,Online_conjL1_un//b.ta.be13.none.none.wav,none,none,pu,zu,fo,sil,ki,fa,ri,sil1,ro,ne,sil2,,,,,,,,,,
,,540809,001,A,2023-06-20_18h40.42.965,Unsyncopated1,2022.2.5,MacIntel,62.81407035,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,2,1,Online_conjL1_un//b.ta.be14.none.none.wav,none,none,pu,ri,la,sil,ki,cho,fo,sil1,lu,ze,sil2,,,,,,,,,,
,,540809,001,A,2023-06-20_18h40.42.965,Unsyncopated1,2022.2.5,MacIntel,62.81407035,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,2,0,1,Online_conjL1_un//b.ta.be12.0.888.wav,0,888,ta,lu,fa,sil,be,ri,la,sil1,fo,zu,sil2,,,,,,,,,,
,,540809,001,A,2023-06-20_18h40.42.965,Unsyncopated1,2022.2.5,MacIntel,62.81407035,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3,3,3,1,Online_conjL1_un//b.ta.be15.none.none.wav,none,none,fa,ri,cho,sil,pu,ne,la,sil1,ki,zu,sil2,,,,,,,,,,
,,540809,001,A,2023-06-20_18h40.42.965,Unsyncopated1,2022.2.5,MacIntel,62.81407035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,27,1,ta,be,44:48,blue,
,,540809,001,A,2023-06-20_18h40.42.965,Unsyncopated1,2022.2.5,MacIntel,62.81407035,,,,,,,,,,,,,,,,,,,,,,,,,space,,0,0,0,1,1,Online_conjL1_un//c.ro.fo13.1332.222.wav,1332,222,ta,fo,fa,sil,be,ri,ro,sil1,ne,cho,sil2,,,,,,,,,,2.187
,,540809,001,A,2023-06-20_18h40.42.965,Unsyncopated1,2022.2.5,MacIntel,62.81407035,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,2,1,Online_conjL1_un//c.ro.fo14.none.none.wav,none,none,ne,ze,ri,sil,ta,ni,lu,sil1,be,fa,sil2,,,,,,,,,,
,,540809,001,A,2023-06-20_18h40.42.965,Unsyncopated1,2022.2.5,MacIntel,62.81407035,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,2,3,1,Online_conjL1_un//c.ro.fo15.none.none.wav,none,none,pu,la,ri,sil,ki,lu,zu,sil1,cho,ni,sil2,,,,,,,,,,
,,540809,001,A,2023-06-20_18h40.42.965,Unsyncopated1,2022.2.5,MacIntel,62.81407035,,,,,,,,,,,,,,,,,,,,,,,,,space,,0,3,3,0,1,Online_conjL1_un//c.ro.fo12.222.1110.wav,222,1110,lu,ro,cho,sil,pu,fo,ze,sil1,ki,la,sil2,,,,,,,,,,0.822
,,540809,001,A,2023-06-20_18h40.42.965,Unsyncopated1,2022.2.5,MacIntel,62.81407035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,17,1,ro,fo,76:80,green,
,,540809,001,A,2023-06-20_18h40.42.965,Unsyncopated1,2022.2.5,MacIntel,62.81407035,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,1,Online_conjL1_un//b.ta.be9.none.none.wav,none,none,fa,ne,lu,sil,pu,ri,la,sil1,ki,ni,sil2,,,,,,,,,,
,,540809,001,A,2023-06-20_18h40.42.965,Unsyncopated1,2022.2.5,MacIntel,62.81407035,,,,,,,,,,,,,,,,,,,,,,,,,space,,0,1,1,0,1,Online_conjL1_un//b.ta.be8.0.888.wav,0,888,ta,la,ne,sil,be,lu,ni,sil1,ro,fa,sil2,,,,,,,,,,0.571
,,540809,001,A,2023-06-20_18h40.42.965,Unsyncopated1,2022.2.5,MacIntel,62.81407035,,,,,,,,,,,,,,,,,,,,,,,,,space,,0,2,2,3,1,Online_conjL1_un//b.ta.be11.0.888.wav,0,888,ta,fa,lu,sil,be,ni,ze,sil1,ri,ro,sil2,,,,,,,,,,0.39
,,540809,001,A,2023-06-20_18h40.42.965,Unsyncopated1,2022.2.5,MacIntel,62.81407035,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3,3,2,1,Online_conjL1_un//b.ta.be10.none.none.wav,none,none,ni,lu,cho,sil,pu,fa,zu,sil1,ki,fo,sil2,,,,,,,,,,
,,540809,001,A,2023-06-20_18h40.42.965,Unsyncopated1,2022.2.5,MacIntel,62.81407035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,2,24,1,ta,be,40:44,blue,
