seq,online_dir,test_dir,audio_offline,cond,ord,colour,dirs,time,test,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,Conj_unsync_online.thisRepN,Conj_unsync_online.thisTrialN,Conj_unsync_online.thisN,Conj_unsync_online.thisIndex,audio1.thisRepN,audio1.thisTrialN,audio1.thisN,audio1.thisIndex,Conj_unsync_test.thisRepN,Conj_unsync_test.thisTrialN,Conj_unsync_test.thisN,Conj_unsync_test.thisIndex,text_21.started,key_resp1.started,key_resp1.keys,key_resp1.rt,text_23.started,key_resp_6.started,key_resp_6.keys,key_resp_6.rt,text_26.started,key_resp_10.started,key_resp_10.keys,key_resp_10.rt,volume_set.started,key_ressp2.started,text_27.started,key_ressp2.keys,key_ressp2.rt,text_24.started,key_resp_9.started,key_resp_9.keys,key_resp_9.rt,text_37.started,key_resp_3.started,key_resp_3.keys,key_resp_3.rt,text_22.started,key_resp1_2.started,key_resp1_2.keys,key_resp1_2.rt,text_25.started,key_resp1_3.started,key_resp1_3.keys,key_resp1_3.rt,text_28.started,key_resp_11.started,key_resp_11.keys,key_resp_11.rt,text_29.started,key_resp_12.started,key_resp_12.keys,key_resp_12.rt,text_36.started,key_resp_18.started,key_resp_18.keys,key_resp_18.rt,learning.started,text_19.started,key_resp_7.started,key_resp_7.keys,key_resp_7.rt,text_31.started,key_resp1_4.started,key_resp1_4.keys,key_resp1_4.rt,text_2.started,text_2.stopped,seqs.started,text_13.started,syllable_catch.started,key_resp_16.started,syllable_catch.keys,key_resp_16.keys,key_resp_16.rt,text_12.started,key_resp4.started,key_resp4.keys,key_resp4.rt,text_14.started,key_resp_4.started,key_resp_4.keys,key_resp_4.rt,text_17.started,key_resp_17.started,test_sounds.started,text_17.stopped,key_resp_17.keys,key_resp_17.rt,text_18.started,Partz_no_partm.started,Partz_no_partm.keys,Partz_no_partm.rt,text_32.started,image_2.started,text_33.started,security_1_7.started,security_1_7.keys,security_1_7.rt,participant,session,date,expName,psychopyVersion,frameRate,
ConjL4_syn.csv,directory_online_conj_L4_syn.csv,Test_Conj_SyncL4.csv,ConjL4_sync_norm.wav,pe,112:116,red,Online_conjL4_syn//dPE19.0.wav,0.0,,0,0,0,3,0,0,0,1,0,0,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.02897439996013,75.02897439996013,space,10.488151700003073,86.35293390008155,86.41467219998594,86.41467219998594,space,2.9415890999953263,89.38868589996127,89.38868589996127,space,7.503478300001007,97.07204980001552,97.07204980001552,0.08301160001428798,97.07204980001552,97.07204980001552,97.07204980001552,None,y,2.0124187999754213,,,,,,,,,,,,,,,,,,,,,,,,,283836,001,2023-06-06_12h17.49.206,Pilot_online_tryings,2022.2.5,59.919025426301914,
ConjL4_syn.csv,directory_online_conj_L4_syn.csv,Test_Conj_SyncL4.csv,ConjL4_sync_norm.wav,pe,112:116,red,Online_conjL4_syn//dPE16.none.wav,none,,0,0,0,3,0,0,0,1,0,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02078829996753484,99.15469509997638,99.15469509997638,99.15469509997638,None,y,0.12119500001426786,,,,,,,,,,,,,,,,,,,,,,,,,283836,001,2023-06-06_12h17.49.206,Pilot_online_tryings,2022.2.5,59.919025426301914,
ConjL4_syn.csv,directory_online_conj_L4_syn.csv,Test_Conj_SyncL4.csv,ConjL4_sync_norm.wav,pe,112:116,red,Online_conjL4_syn//dPE18.none.wav,none,,0,0,0,3,0,0,0,1,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.008678600017447025,99.2974904999719,99.2974904999719,99.2974904999719,None,y,0.1388507999945432,,,,,,,,,,,,,,,,,,,,,,,,,283836,001,2023-06-06_12h17.49.206,Pilot_online_tryings,2022.2.5,59.919025426301914,
ConjL4_syn.csv,directory_online_conj_L4_syn.csv,Test_Conj_SyncL4.csv,ConjL4_sync_norm.wav,pe,112:116,red,Online_conjL4_syn//dPE17.none.wav,none,,0,0,0,3,0,0,0,1,0,3,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.006855200044810772,99.46443819999695,99.46443819999695,99.46443819999695,None,y,0.13120529998559505,,,,,,,,,,,,,,,,,,,,,,,,,283836,001,2023-06-06_12h17.49.206,Pilot_online_tryings,2022.2.5,59.919025426301914,
ConjL4_syn.csv,directory_online_conj_L4_syn.csv,Test_Conj_SyncL4.csv,ConjL4_sync_norm.wav,pe,112:116,red,,,,0,0,0,3,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,283836,001,2023-06-06_12h17.49.206,Pilot_online_tryings,2022.2.5,59.919025426301914,
ConjL4_syn.csv,directory_online_conj_L4_syn.csv,Test_Conj_SyncL4.csv,ConjL4_sync_norm.wav,bu,76:80,orange,Online_conjL4_syn//cBU13.0.wav,0.0,,0,0,0,3,0,1,1,30,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.63553749996936,99.63553749996936,0.02568530000280589,99.63553749996936,99.63553749996936,99.63553749996936,None,y,0.13639749999856576,,,,,,,,,,,,,,,,,,,,,,,,,283836,001,2023-06-06_12h17.49.206,Pilot_online_tryings,2022.2.5,59.919025426301914,
ConjL4_syn.csv,directory_online_conj_L4_syn.csv,Test_Conj_SyncL4.csv,ConjL4_sync_norm.wav,bu,76:80,orange,Online_conjL4_syn//cBU15.222.wav,222.0,,0,0,0,3,0,1,1,30,0,1,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02139449998503551,99.80906989995856,99.80906989995856,99.80906989995856,None,y,0.10669690003851429,,,,,,,,,,,,,,,,,,,,,,,,,283836,001,2023-06-06_12h17.49.206,Pilot_online_tryings,2022.2.5,59.919025426301914,
ConjL4_syn.csv,directory_online_conj_L4_syn.csv,Test_Conj_SyncL4.csv,ConjL4_sync_norm.wav,bu,76:80,orange,Online_conjL4_syn//cBU14.none.wav,none,,0,0,0,3,0,1,1,30,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.011676100024487823,99.9482391999918,99.9482391999918,99.9482391999918,None,y,0.11105969996424392,,,,,,,,,,,,,,,,,,,,,,,,,283836,001,2023-06-06_12h17.49.206,Pilot_online_tryings,2022.2.5,59.919025426301914,
ConjL4_syn.csv,directory_online_conj_L4_syn.csv,Test_Conj_SyncL4.csv,ConjL4_sync_norm.wav,bu,76:80,orange,Online_conjL4_syn//cBU12.222.wav,222.0,,0,0,0,3,0,1,1,30,0,3,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.009844799991697073,100.08159949997207,100.08159949997207,100.08159949997207,None,y,0.13803799997549504,,,,,,,,,,,,,,,,,,,,,,,,,283836,001,2023-06-06_12h17.49.206,Pilot_online_tryings,2022.2.5,59.919025426301914,
ConjL4_syn.csv,directory_online_conj_L4_syn.csv,Test_Conj_SyncL4.csv,ConjL4_sync_norm.wav,bu,76:80,orange,,,,0,0,0,3,0,1,1,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,283836,001,2023-06-06_12h17.49.206,Pilot_online_tryings,2022.2.5,59.919025426301914,
