seq,online_dir,test_dir,audio_offline,cond,ord,colour,dirs,time,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,Conj_unsync_online.thisRepN,Conj_unsync_online.thisTrialN,Conj_unsync_online.thisN,Conj_unsync_online.thisIndex,audio1.thisRepN,audio1.thisTrialN,audio1.thisN,audio1.thisIndex,Conj_unsync_test.thisRepN,Conj_unsync_test.thisTrialN,Conj_unsync_test.thisN,Conj_unsync_test.thisIndex,test,text_21.started,key_resp1.started,key_resp1.keys,key_resp1.rt,text_23.started,key_resp_6.started,key_resp_6.keys,key_resp_6.rt,text_26.started,key_resp_10.started,key_resp_10.keys,key_resp_10.rt,volume_set.started,key_ressp2.started,text_27.started,key_ressp2.keys,key_ressp2.rt,text_24.started,key_resp_9.started,key_resp_9.keys,key_resp_9.rt,text_37.started,key_resp_3.started,key_resp_3.keys,key_resp_3.rt,text_22.started,key_resp1_2.started,key_resp1_2.keys,key_resp1_2.rt,text_25.started,key_resp1_3.started,key_resp1_3.keys,key_resp1_3.rt,text_28.started,key_resp_11.started,key_resp_11.keys,key_resp_11.rt,text_29.started,key_resp_12.started,key_resp_12.keys,key_resp_12.rt,text_36.started,key_resp_18.started,key_resp_18.keys,key_resp_18.rt,learning.started,text_19.started,key_resp_7.started,key_resp_7.keys,key_resp_7.rt,text_31.started,key_resp1_4.started,key_resp1_4.keys,key_resp1_4.rt,text_2.started,text_2.stopped,seqs.started,text_13.started,syllable_catch.started,key_resp_16.started,syllable_catch.keys,syllable_catch.rt,key_resp_16.keys,key_resp_16.rt,text_12.started,key_resp4.started,key_resp4.keys,key_resp4.rt,text_14.started,key_resp_4.started,key_resp_4.keys,key_resp_4.rt,text_17.started,key_resp_17.started,test_sounds.started,key_resp_17.keys,key_resp_17.rt,text_18.started,Partz_no_partm.started,participant,session,date,expName,psychopyVersion,frameRate,
ConjL4_syn.csv,directory_online_conj_L4_syn.csv,Test_Conj_SyncL4.csv,ConjL4_sync_norm.wav,lo,4:8,blue,Online_conjL4_syn//aLO4.666.wav,666.0,0,0,0,3,0,0,0,10,0,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03160879999632016,38.13468380004633,38.13468380004633,38.13468380004633,None,,y,0.12236369994934648,,,,,,,,,,,,,,,,416757,001,2023-06-06_12h21.27.425,Pilot_online_tryings,2022.2.5,60.0137071372718,
ConjL4_syn.csv,directory_online_conj_L4_syn.csv,Test_Conj_SyncL4.csv,ConjL4_sync_norm.wav,lo,4:8,blue,Online_conjL4_syn//aLO5.none.wav,none,0,0,0,3,0,0,0,10,0,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.006294700026046485,38.28332300001057,38.28332300001057,38.28332300001057,None,,y,0.14920139993773773,,,,,,,,,,,,,,,,416757,001,2023-06-06_12h21.27.425,Pilot_online_tryings,2022.2.5,60.0137071372718,
ConjL4_syn.csv,directory_online_conj_L4_syn.csv,Test_Conj_SyncL4.csv,ConjL4_sync_norm.wav,lo,4:8,blue,Online_conjL4_syn//aLO7.1554.wav,1554.0,0,0,0,3,0,0,0,10,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.021241299982648343,38.46143130003475,38.46143130003475,38.46143130003475,None,,y,0.1323010999476537,,,,,,,,,,,,,,,,416757,001,2023-06-06_12h21.27.425,Pilot_online_tryings,2022.2.5,60.0137071372718,
ConjL4_syn.csv,directory_online_conj_L4_syn.csv,Test_Conj_SyncL4.csv,ConjL4_sync_norm.wav,lo,4:8,blue,,,0,0,0,3,0,0,0,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,416757,001,2023-06-06_12h21.27.425,Pilot_online_tryings,2022.2.5,60.0137071372718,
ConjL4_syn.csv,directory_online_conj_L4_syn.csv,Test_Conj_SyncL4.csv,ConjL4_sync_norm.wav,ja,32:36,green,Online_conjL4_syn//bJA0.0.wav,0.0,0,0,0,3,0,1,1,28,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.63101370004006,38.63101370004006,0.01985959999728948,38.63101370004006,38.63101370004006,38.63101370004006,None,,y,0.12228909990517423,,,,,,,,,,,,,,,,416757,001,2023-06-06_12h21.27.425,Pilot_online_tryings,2022.2.5,60.0137071372718,
ConjL4_syn.csv,directory_online_conj_L4_syn.csv,Test_Conj_SyncL4.csv,ConjL4_sync_norm.wav,ja,32:36,green,Online_conjL4_syn//bJA2.666.wav,666.0,0,0,0,3,0,1,1,28,0,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03307200002018362,38.80687880003825,38.80687880003825,38.80687880003825,None,,y,0.12300549994688481,,,,,,,,,,,,,,,,416757,001,2023-06-06_12h21.27.425,Pilot_online_tryings,2022.2.5,60.0137071372718,
ConjL4_syn.csv,directory_online_conj_L4_syn.csv,Test_Conj_SyncL4.csv,ConjL4_sync_norm.wav,ja,32:36,green,Online_conjL4_syn//bJA3.0.wav,0.0,0,0,0,3,0,1,1,28,0,2,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.023087100009433925,38.96343590004835,38.96343590004835,38.96343590004835,None,,y,0.12597389990696684,,,,,,,,,,,,,,,,416757,001,2023-06-06_12h21.27.425,Pilot_online_tryings,2022.2.5,60.0137071372718,
ConjL4_syn.csv,directory_online_conj_L4_syn.csv,Test_Conj_SyncL4.csv,ConjL4_sync_norm.wav,ja,32:36,green,Online_conjL4_syn//bJA1.666.wav,666.0,0,0,0,3,0,1,1,28,0,3,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.008363100001588464,39.117453500046395,39.117453500046395,39.117453500046395,None,,y,0.1313451999449171,,,,,,,,,,,,,,,,416757,001,2023-06-06_12h21.27.425,Pilot_online_tryings,2022.2.5,60.0137071372718,
ConjL4_syn.csv,directory_online_conj_L4_syn.csv,Test_Conj_SyncL4.csv,ConjL4_sync_norm.wav,ja,32:36,green,,,0,0,0,3,0,1,1,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,416757,001,2023-06-06_12h21.27.425,Pilot_online_tryings,2022.2.5,60.0137071372718,
ConjL4_syn.csv,directory_online_conj_L4_syn.csv,Test_Conj_SyncL4.csv,ConjL4_sync_norm.wav,ja,40:44,green,Online_conjL4_syn//bJA8.none.wav,none,0,0,0,3,0,2,2,21,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.28321680001682,39.28321680001682,0.025051300006452948,39.28321680001682,39.28321680001682,39.28321680001682,None,,y,0.11025169992353767,,,,,,,,,,,,,,,,416757,001,2023-06-06_12h21.27.425,Pilot_online_tryings,2022.2.5,60.0137071372718,
