key_resp1.keys,key_resp1.rt,participant,session,date,expName,psychopyVersion,OS,frameRate,key_resp_6.keys,key_resp_6.rt,key_resp_10.keys,key_resp_10.rt,key_ressp2.keys,key_ressp2.rt,key_resp_9.keys,key_resp_9.rt,key_resp_3.keys,key_resp_3.rt,key_resp1_2.keys,key_resp1_2.rt,key_resp1_3.keys,key_resp1_3.rt,key_resp_11.keys,key_resp_11.rt,key_resp_12.keys,key_resp_12.rt,key_resp_18.keys,key_resp_18.rt,key_resp_7.keys,key_resp_7.rt,key_resp1_4.keys,key_resp1_4.rt,syllable_catch.keys,syllable_catch.rt,audio1.thisRepN,audio1.thisTrialN,audio1.thisN,audio1.thisIndex,audio1.ran,dirs,time,Conj_unsync_online.thisRepN,Conj_unsync_online.thisTrialN,Conj_unsync_online.thisN,Conj_unsync_online.thisIndex,Conj_unsync_online.ran,cond,ord,colour,key_resp4.keys,key_resp4.rt,key_resp_4.keys,key_resp_4.rt,Partz_no_partm.keys,Partz_no_partm.rt,security_1_7.keys,security_1_7.rt,Conj_unsync_test.thisRepN,Conj_unsync_test.thisTrialN,Conj_unsync_test.thisN,Conj_unsync_test.thisIndex,Conj_unsync_test.ran,test,key_resp_13.keys,key_resp_13.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,seq,online_dir,test_dir,audio_offline
,,083571,001,2023-06-06_16h09.59.614,Unsyncopated1,2022.2.5,Win32,60.60238773,,,,,,,,,,,,,,,,,,,,,,,,,space,1.8854,0,1,1,2,1,Online_conjL1_un//dNE6.1332.wav,1332,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,083571,001,2023-06-06_16h09.59.614,Unsyncopated1,2022.2.5,Win32,60.60238773,,,,,,,,,,,,,,,,,,,,,,,,,space,0.9353,0,2,2,3,1,Online_conjL1_un//dNE7.none.wav,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,083571,001,2023-06-06_16h09.59.614,Unsyncopated1,2022.2.5,Win32,60.60238773,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3,3,0,1,Online_conjL1_un//dNE4.222.wav,222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,083571,001,2023-06-06_16h09.59.614,Unsyncopated1,2022.2.5,Win32,60.60238773,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,4,4,24,1,ne,100:104,orange,,,,,,,,,,,,,,,,,,,,,,,,,
,,083571,001,2023-06-06_16h09.59.614,Unsyncopated1,2022.2.5,Win32,60.60238773,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,3,1,Online_conjL1_un//bTA27.none.wav,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,083571,001,2023-06-06_16h09.59.614,Unsyncopated1,2022.2.5,Win32,60.60238773,,,,,,,,,,,,,,,,,,,,,,,,,space,1.2178,0,1,1,2,1,Online_conjL1_un//bTA26.888.wav,888,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,083571,001,2023-06-06_16h09.59.614,Unsyncopated1,2022.2.5,Win32,60.60238773,,,,,,,,,,,,,,,,,,,,,,,,,space,0.6688,0,2,2,0,1,Online_conjL1_un//bTA24.0.wav,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,083571,001,2023-06-06_16h09.59.614,Unsyncopated1,2022.2.5,Win32,60.60238773,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3,3,1,1,Online_conjL1_un//bTA25.none.wav,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,083571,001,2023-06-06_16h09.59.614,Unsyncopated1,2022.2.5,Win32,60.60238773,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,5,5,28,1,ta,56:60,blue,,,,,,,,,,,,,,,,,,,,,,,,,
,,083571,001,2023-06-06_16h09.59.614,Unsyncopated1,2022.2.5,Win32,60.60238773,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,2,1,Online_conjL1_un//cRO6.none.wav,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
