seq,online_dir,test_dir,audio_offline,cond,ord,colour,dirs,time,test,dirs_what,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,Conj_unsync_online.thisRepN,Conj_unsync_online.thisTrialN,Conj_unsync_online.thisN,Conj_unsync_online.thisIndex,audio1.thisRepN,audio1.thisTrialN,audio1.thisN,audio1.thisIndex,Conj_unsync_test.thisRepN,Conj_unsync_test.thisTrialN,Conj_unsync_test.thisN,Conj_unsync_test.thisIndex,text_21.started,key_resp1.started,key_resp1.keys,key_resp1.rt,text_23.started,key_resp_6.started,key_resp_6.keys,key_resp_6.rt,text_26.started,key_resp_10.started,key_resp_10.keys,key_resp_10.rt,volume_set.started,key_ressp2.started,text_27.started,key_ressp2.keys,key_ressp2.rt,text_24.started,key_resp_9.started,key_resp_9.keys,key_resp_9.rt,text_22.started,key_resp1_2.started,key_resp1_2.keys,key_resp1_2.rt,text_25.started,key_resp1_3.started,key_resp1_3.keys,key_resp1_3.rt,text_28.started,key_resp_11.started,key_resp_11.keys,key_resp_11.rt,text_29.started,key_resp_12.started,key_resp_12.keys,key_resp_12.rt,text_36.started,key_resp_18.started,key_resp_18.keys,key_resp_18.rt,learning.started,text_19.started,key_resp_7.started,key_resp_7.keys,key_resp_7.rt,text_31.started,key_resp1_4.started,key_resp1_4.keys,key_resp1_4.rt,text_2.started,text_2.stopped,seqs.started,text_13.started,syllable_catch.started,key_resp_3.started,syllable_catch.keys,key_resp_3.keys,key_resp_3.rt,text_12.started,key_resp4.started,key_resp4.keys,key_resp4.rt,text_14.started,key_resp_4.started,key_resp_4.keys,key_resp_4.rt,text_15.started,key_resp_5.started,key_resp_5.keys,key_resp_5.rt,text_17.started,key_resp_16.started,test_sounds.started,key_resp_16.keys,key_resp_16.rt,text_18.started,Partz_no_partm.started,Partz_no_partm.keys,Partz_no_partm.rt,text_32.started,image_2.started,text_33.started,security_1_7.started,security_1_7.keys,security_1_7.rt,text_30.started,key_resp_13.started,key_resp_13.keys,key_resp_13.rt,participant,session,date,expName,psychopyVersion,frameRate,
ConjL1_uns.csv,dir_Online_conjL1_un.csv,Test_Conj_UnsyncL1.csv,ConjL1_unsync_norm.wav,ta,44:48,blue,Online_conjL1_un//bTA13.none.wav,none,,,0,0,0,0,0,0,0,11,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04195669999171514,38.53625489999831,38.53625489999831,38.53625489999831,None,y,0.04456770000979304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,442656,001,2023-06-02_17h14.22.673,Pilot_online_tryings,2022.2.5,None,
ConjL1_uns.csv,dir_Online_conjL1_un.csv,Test_Conj_UnsyncL1.csv,ConjL1_unsync_norm.wav,ta,44:48,blue,Online_conjL1_un//bTA15.none.wav,none,,,0,0,0,0,0,0,0,11,0,2,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.037406699993880466,38.651035999995656,38.651035999995656,38.651035999995656,None,y,0.08143150000250898,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,442656,001,2023-06-02_17h14.22.673,Pilot_online_tryings,2022.2.5,None,
ConjL1_uns.csv,dir_Online_conjL1_un.csv,Test_Conj_UnsyncL1.csv,ConjL1_unsync_norm.wav,ta,44:48,blue,Online_conjL1_un//bTA14.888.wav,888.0,,,0,0,0,0,0,0,0,11,0,3,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.027399200000218116,38.83001059999515,38.83001059999515,38.83001059999515,None,y,0.05437740001070779,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,442656,001,2023-06-02_17h14.22.673,Pilot_online_tryings,2022.2.5,None,
ConjL1_uns.csv,dir_Online_conjL1_un.csv,Test_Conj_UnsyncL1.csv,ConjL1_unsync_norm.wav,ta,44:48,blue,,,,,0,0,0,0,0,0,0,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,442656,001,2023-06-02_17h14.22.673,Pilot_online_tryings,2022.2.5,None,
ConjL1_uns.csv,dir_Online_conjL1_un.csv,Test_Conj_UnsyncL1.csv,ConjL1_unsync_norm.wav,ne,112:116,orange,Online_conjL1_un//dNE17.none.wav,none,,,0,0,0,0,0,1,1,27,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.051340499994694,39.051340499994694,0.08653749999939464,39.051340499994694,39.051340499994694,39.051340499994694,None,y,0.13237279999884777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,442656,001,2023-06-02_17h14.22.673,Pilot_online_tryings,2022.2.5,None,
ConjL1_uns.csv,dir_Online_conjL1_un.csv,Test_Conj_UnsyncL1.csv,ConjL1_unsync_norm.wav,ne,112:116,orange,Online_conjL1_un//dNE19.none.wav,none,,,0,0,0,0,0,1,1,27,0,1,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.005943800002569333,39.23103500000434,39.23103500000434,39.23103500000434,None,y,0.10133100001257844,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,442656,001,2023-06-02_17h14.22.673,Pilot_online_tryings,2022.2.5,None,
ConjL1_uns.csv,dir_Online_conjL1_un.csv,Test_Conj_UnsyncL1.csv,ConjL1_unsync_norm.wav,ne,112:116,orange,Online_conjL1_un//dNE18.444.wav,444.0,,,0,0,0,0,0,1,1,27,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.009437300002900884,39.414108099997975,39.414108099997975,39.414108099997975,None,y,0.06304330000421032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,442656,001,2023-06-02_17h14.22.673,Pilot_online_tryings,2022.2.5,None,
ConjL1_uns.csv,dir_Online_conjL1_un.csv,Test_Conj_UnsyncL1.csv,ConjL1_unsync_norm.wav,ne,112:116,orange,Online_conjL1_un//dNE16.222.wav,222.0,,,0,0,0,0,0,1,1,27,0,3,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.014129499992122874,39.507457999992766,39.507457999992766,39.507457999992766,None,y,0.11871049999899697,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,442656,001,2023-06-02_17h14.22.673,Pilot_online_tryings,2022.2.5,None,
ConjL1_uns.csv,dir_Online_conjL1_un.csv,Test_Conj_UnsyncL1.csv,ConjL1_unsync_norm.wav,ne,112:116,orange,,,,,0,0,0,0,0,1,1,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,442656,001,2023-06-02_17h14.22.673,Pilot_online_tryings,2022.2.5,None,
ConjL1_uns.csv,dir_Online_conjL1_un.csv,Test_Conj_UnsyncL1.csv,ConjL1_unsync_norm.wav,ki,24:28,red,Online_conjL1_un//aKI27.none.wav,none,,,0,0,0,0,0,2,2,16,0,0,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.76449159999902,39.76449159999902,0.09247120001236908,39.76449159999902,39.76449159999902,39.76449159999902,None,y,0.015136700007133186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,442656,001,2023-06-02_17h14.22.673,Pilot_online_tryings,2022.2.5,None,
ConjL1_uns.csv,dir_Online_conjL1_un.csv,Test_Conj_UnsyncL1.csv,ConjL1_unsync_norm.wav,ki,24:28,red,Online_conjL1_un//aKI25.888.wav,888.0,,,0,0,0,0,0,2,2,16,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.011689999999362044,39.820501800000784,39.820501800000784,39.820501800000784,None,y,0.11179230001289397,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,442656,001,2023-06-02_17h14.22.673,Pilot_online_tryings,2022.2.5,None,
ConjL1_uns.csv,dir_Online_conjL1_un.csv,Test_Conj_UnsyncL1.csv,ConjL1_unsync_norm.wav,ki,24:28,red,Online_conjL1_un//aKI26.888.wav,888.0,,,0,0,0,0,0,2,2,16,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01297599999816157,39.97655009999289,39.97655009999289,39.97655009999289,None,y,0.10145899999770336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,442656,001,2023-06-02_17h14.22.673,Pilot_online_tryings,2022.2.5,None,
