key_resp1.keys,key_resp1.rt,participant,session,group,date,expName,psychopyVersion,OS,frameRate,key_resp_6.keys,key_resp_6.rt,key_resp_10.keys,key_resp_10.rt,key_ressp2.keys,key_ressp2.rt,key_resp_9.keys,key_resp_9.rt,key_resp_3.keys,key_resp_3.rt,key_resp1_2.keys,key_resp1_2.rt,key_resp1_3.keys,key_resp1_3.rt,key_resp_11.keys,key_resp_11.rt,key_resp_12.keys,key_resp_12.rt,key_resp_18.keys,key_resp_18.rt,key_resp_7.keys,key_resp_7.rt,key_resp1_4.keys,key_resp1_4.rt,syllable_catch.keys,syllable_catch.rt,key_resp_16.keys,audio1.thisRepN,audio1.thisTrialN,audio1.thisN,audio1.thisIndex,audio1.ran,dirs,timeA,timeB,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,Conj_unsync_online.thisRepN,Conj_unsync_online.thisTrialN,Conj_unsync_online.thisN,Conj_unsync_online.thisIndex,Conj_unsync_online.ran,condA,condB,ord,colour,key_resp_16.rt,key_resp4.keys,key_resp4.rt,key_resp_4.keys,key_resp_4.rt,key_resp_17.keys,key_resp_17.rt,Partz_no_partm.keys,Partz_no_partm.rt,security_1_7.keys,security_1_7.rt,Conj_unsync_test.thisRepN,Conj_unsync_test.thisTrialN,Conj_unsync_test.thisN,Conj_unsync_test.thisIndex,Conj_unsync_test.ran,test,key_resp_13.keys,key_resp_13.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,seq,online_dir,test_dir,audio_offline
,,473101,001,B,2023-06-13_18h23.38.172,Unsyncopated1,2022.2.5,Win32,59.94125757,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,1,Online_conjL1_un//b.ta.be9.none.none.wav,none,none,fa,ne,lu,sil,pu,ri,la,sil1,ki,ni,sil2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,473101,001,B,2023-06-13_18h23.38.172,Unsyncopated1,2022.2.5,Win32,59.94125757,,,,,,,,,,,,,,,,,,,,,,,,,space,1.4824,,0,1,1,0,1,Online_conjL1_un//b.ta.be8.0.888.wav,0,888,ta,la,ne,sil,be,lu,ni,sil1,ro,fa,sil2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,473101,001,B,2023-06-13_18h23.38.172,Unsyncopated1,2022.2.5,Win32,59.94125757,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,2,3,1,Online_conjL1_un//b.ta.be11.0.888.wav,0,888,ta,fa,lu,sil,be,ni,ze,sil1,ri,ro,sil2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,473101,001,B,2023-06-13_18h23.38.172,Unsyncopated1,2022.2.5,Win32,59.94125757,,,,,,,,,,,,,,,,,,,,,,,,,space,0.6652,,0,3,3,2,1,Online_conjL1_un//b.ta.be10.none.none.wav,none,none,ni,lu,cho,sil,pu,fa,zu,sil1,ki,fo,sil2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,473101,001,B,2023-06-13_18h23.38.172,Unsyncopated1,2022.2.5,Win32,59.94125757,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,24,1,ta,be,40:44,blue,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,473101,001,B,2023-06-13_18h23.38.172,Unsyncopated1,2022.2.5,Win32,59.94125757,,,,,,,,,,,,,,,,,,,,,,,,,space,0.4973,,0,0,0,3,1,Online_conjL1_un//a.pu.ki11.0.888.wav,888,0,pu,fa,fo,sil,ki,ze,lu,sil1,ri,ni,sil2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,473101,001,B,2023-06-13_18h23.38.172,Unsyncopated1,2022.2.5,Win32,59.94125757,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,1,Online_conjL1_un//a.pu.ki9.0.888.wav,888,0,pu,ne,fo,sil,ki,fa,ni,sil1,ze,ri,sil2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,473101,001,B,2023-06-13_18h23.38.172,Unsyncopated1,2022.2.5,Win32,59.94125757,,,,,,,,,,,,,,,,,,,,,,,,,space,1.0171,,0,2,2,0,1,Online_conjL1_un//a.pu.ki8.0.888.wav,888,0,pu,ne,ro,sil,ki,ze,zu,sil1,la,ni,sil2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,473101,001,B,2023-06-13_18h23.38.172,Unsyncopated1,2022.2.5,Win32,59.94125757,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3,3,2,1,Online_conjL1_un//a.pu.ki10.none.none.wav,none,none,ta,ze,ni,sil,be,zu,fa,sil1,ro,fo,sil2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,473101,001,B,2023-06-13_18h23.38.172,Unsyncopated1,2022.2.5,Win32,59.94125757,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,2,5,1,ki,pu,8:12,red,,,,,,,,,,,,,,,,,,,,,,,,,,,,
