,participant,condition_off,expName,test_offline,block_off,rhythm_off,rule,rule_str_off,rule_norule,conds_offline,language_off,Partz_no_partm.keys,accuracy,Partz_no_partm.rt,security_1_7.keys,n_lang,n_lang_used,partiture,tendence_mix_lan,music_use,bilingual,ability_learn_l2,music_exp,BMRQ_score,age,sex,hand,group,education_level,mus_exp_age,info_index,sec_rate_merged
21, s154,RB-,Experiment4_uns,testConjL3Syn//r2.s1.0.wav,1.0,syncopated,b,s1,rule,rule,L3,m,0,0.569,3.0,2.0,2.0,yes,4.0,no,yes,3.0,no,68.0,25.0,masculino,right,A,Bachelor degree,0.0,3,Uncertain
22, s154,RB-,Experiment4_uns,testConjL3Syn//r2.s2.0.wav,1.0,syncopated,b,s2,rule,rule,L3,z,1,0.154,6.0,2.0,2.0,yes,4.0,no,yes,3.0,no,68.0,25.0,masculino,right,A,Bachelor degree,0.0,3,Secure
23, s154,RB-,Experiment4_uns,testConjL3Syn//r2.s2.2.wav,1.0,syncopated,b,s2,rule,rule,L3,z,1,1.835,2.0,2.0,2.0,yes,4.0,no,yes,3.0,no,68.0,25.0,masculino,right,A,Bachelor degree,0.0,3,Unsecure
24, s154,RB+,Experiment4_uns,testConjL4Uns//cat_viol.r1.s1.0.wav,2.0,unsyncopated,a,s1,no_rule,cat,L4,z,0,1.514,7.0,2.0,2.0,yes,4.0,no,yes,3.0,no,68.0,25.0,masculino,right,A,Bachelor degree,0.0,4,Secure
25, s154,RB+,Experiment4_uns,testConjL4Uns//r1.s2.0.wav,2.0,unsyncopated,a,s2,rule,rule,L4,m,0,1.685,1.0,2.0,2.0,yes,4.0,no,yes,3.0,no,68.0,25.0,masculino,right,A,Bachelor degree,0.0,4,Unsecure
26, s154,RB+,Experiment4_uns,testConjL4Uns//r2.s2.2.wav,2.0,unsyncopated,b,s2,rule,rule,L4,z,1,0.384,4.0,2.0,2.0,yes,4.0,no,yes,3.0,no,68.0,25.0,masculino,right,A,Bachelor degree,0.0,4,Uncertain
27, s154,RB+,Experiment4_uns,testConjL4Uns//cat_viol.r2.s1.0.wav,2.0,unsyncopated,b,s1,no_rule,cat,L4,z,0,0.568,2.0,2.0,2.0,yes,4.0,no,yes,3.0,no,68.0,25.0,masculino,right,A,Bachelor degree,0.0,4,Unsecure
28, s154,RB+,Experiment4_uns,testConjL4Uns//r1.s1.2.wav,2.0,unsyncopated,a,s1,rule,rule,L4,m,0,0.45,4.0,2.0,2.0,yes,4.0,no,yes,3.0,no,68.0,25.0,masculino,right,A,Bachelor degree,0.0,4,Uncertain
29, s154,RB+,Experiment4_uns,testConjL4Uns//time_viol.r2.s1.0.wav,2.0,unsyncopated,b,s1,no_rule,time,L4,m,1,0.608,4.0,2.0,2.0,yes,4.0,no,yes,3.0,no,68.0,25.0,masculino,right,A,Bachelor degree,0.0,4,Uncertain
30, s154,RB+,Experiment4_uns,testConjL4Uns//r2.s2.0.wav,2.0,unsyncopated,b,s2,rule,rule,L4,m,0,1.067,5.0,2.0,2.0,yes,4.0,no,yes,3.0,no,68.0,25.0,masculino,right,A,Bachelor degree,0.0,4,Uncertain
31, s154,RB+,Experiment4_uns,testConjL4Uns//r2.s1.0.wav,2.0,unsyncopated,b,s1,rule,rule,L4,m,0,0.435,7.0,2.0,2.0,yes,4.0,no,yes,3.0,no,68.0,25.0,masculino,right,A,Bachelor degree,0.0,4,Secure
32, s154,RB+,Experiment4_uns,testConjL4Uns//dep_viol.r1.s1.0.wav,2.0,unsyncopated,a,s1,no_rule,dep,L4,z,0,2.055,1.0,2.0,2.0,yes,4.0,no,yes,3.0,no,68.0,25.0,masculino,right,A,Bachelor degree,0.0,4,Unsecure
33, s154,RB+,Experiment4_uns,testConjL4Uns//cat_viol.r2.s2.0.wav,2.0,unsyncopated,b,s2,no_rule,cat,L4,z,0,0.367,3.0,2.0,2.0,yes,4.0,no,yes,3.0,no,68.0,25.0,masculino,right,A,Bachelor degree,0.0,4,Uncertain
34, s154,RB+,Experiment4_uns,testConjL4Uns//r1.s1.0.wav,2.0,unsyncopated,a,s1,rule,rule,L4,z,1,0.886,5.0,2.0,2.0,yes,4.0,no,yes,3.0,no,68.0,25.0,masculino,right,A,Bachelor degree,0.0,4,Uncertain
35, s154,RB+,Experiment4_uns,testConjL4Uns//cat_viol.r1.s2.0.wav,2.0,unsyncopated,a,s2,no_rule,cat,L4,m,1,0.752,2.0,2.0,2.0,yes,4.0,no,yes,3.0,no,68.0,25.0,masculino,right,A,Bachelor degree,0.0,4,Unsecure
36, s154,RB+,Experiment4_uns,testConjL4Uns//r1.s2.2.wav,2.0,unsyncopated,a,s2,rule,rule,L4,z,1,3.255,3.0,2.0,2.0,yes,4.0,no,yes,3.0,no,68.0,25.0,masculino,right,A,Bachelor degree,0.0,4,Uncertain
37, s154,RB+,Experiment4_uns,testConjL4Uns//time_viol.r1.s2.0.wav,2.0,unsyncopated,a,s2,no_rule,time,L4,z,0,0.319,6.0,2.0,2.0,yes,4.0,no,yes,3.0,no,68.0,25.0,masculino,right,A,Bachelor degree,0.0,4,Secure
38, s154,RB+,Experiment4_uns,testConjL4Uns//dep_viol.r2.s1.0.wav,2.0,unsyncopated,b,s1,no_rule,dep,L4,z,0,0.284,4.0,2.0,2.0,yes,4.0,no,yes,3.0,no,68.0,25.0,masculino,right,A,Bachelor degree,0.0,4,Uncertain
39, s154,RB+,Experiment4_uns,testConjL4Uns//r1.s2.1.wav,2.0,unsyncopated,a,s2,rule,rule,L4,m,0,0.572,1.0,2.0,2.0,yes,4.0,no,yes,3.0,no,68.0,25.0,masculino,right,A,Bachelor degree,0.0,4,Unsecure
40, s154,RB+,Experiment4_uns,testConjL4Uns//r2.s2.1.wav,2.0,unsyncopated,b,s2,rule,rule,L4,z,1,0.154,7.0,2.0,2.0,yes,4.0,no,yes,3.0,no,68.0,25.0,masculino,right,A,Bachelor degree,0.0,4,Secure
41, s154,RB+,Experiment4_uns,testConjL4Uns//r2.s1.2.wav,2.0,unsyncopated,b,s1,rule,rule,L4,m,0,0.253,2.0,2.0,2.0,yes,4.0,no,yes,3.0,no,68.0,25.0,masculino,right,A,Bachelor degree,0.0,4,Unsecure
42, s154,RB+,Experiment4_uns,testConjL4Uns//r2.s1.1.wav,2.0,unsyncopated,b,s1,rule,rule,L4,m,0,0.433,3.0,2.0,2.0,yes,4.0,no,yes,3.0,no,68.0,25.0,masculino,right,A,Bachelor degree,0.0,4,Uncertain
43, s154,RB+,Experiment4_uns,testConjL4Uns//dep_viol.r2.s2.0.wav,2.0,unsyncopated,b,s2,no_rule,dep,L4,m,1,0.6,4.0,2.0,2.0,yes,4.0,no,yes,3.0,no,68.0,25.0,masculino,right,A,Bachelor degree,0.0,4,Uncertain
44, s154,RB+,Experiment4_uns,testConjL4Uns//r1.s1.1.wav,2.0,unsyncopated,a,s1,rule,rule,L4,z,1,1.467,2.0,2.0,2.0,yes,4.0,no,yes,3.0,no,68.0,25.0,masculino,right,A,Bachelor degree,0.0,4,Unsecure
45, s154,RB+,Experiment4_uns,testConjL4Uns//time_viol.r2.s2.0.wav,2.0,unsyncopated,b,s2,no_rule,time,L4,m,1,0.239,7.0,2.0,2.0,yes,4.0,no,yes,3.0,no,68.0,25.0,masculino,right,A,Bachelor degree,0.0,4,Secure
46, s154,RB+,Experiment4_uns,testConjL4Uns//time_viol.r1.s1.0.wav,2.0,unsyncopated,a,s1,no_rule,time,L4,z,0,0.189,1.0,2.0,2.0,yes,4.0,no,yes,3.0,no,68.0,25.0,masculino,right,A,Bachelor degree,0.0,4,Unsecure
