,participant,condition,expName,group,age,sex,hand,education_level,block,language,BMRQ_score,music_exp,n_lang,n_lang_used,ability_learn_l2,tendence_mix_lan,partiture,music_use,meanRTs,syllable,info_index
164,s181,B,Experiment4_uns,B,18.0,feminino,left,Upper secondary,1,L2,69.0,yes,4.0,3.0,5.0,1.0,yes,no,-0.17819090909090252,A,1
165,s181,B,Experiment4_uns,B,18.0,feminino,left,Upper secondary,1,L2,69.0,yes,4.0,3.0,5.0,1.0,yes,no,-0.0457159090908722,C,1
166,s182,B,Experiment4_uns,A,24.0,feminino,right,Bachelor degree,2,L2,51.0,no,3.0,2.0,4.0,3.0,yes,no,-0.16287824571003362,C,1
167,s182,B,Experiment4_uns,A,24.0,feminino,right,Bachelor degree,2,L2,51.0,no,3.0,2.0,4.0,3.0,yes,no,-0.04189040248821296,A,1
168,s183,B,Experiment4_uns,A,21.0,feminino,right,Upper secondary,4,L2,57.0,yes,3.0,3.0,4.0,3.0,no,no,0.051016666666877986,A,1
169,s183,B,Experiment4_uns,A,21.0,feminino,right,Upper secondary,4,L2,57.0,yes,3.0,3.0,4.0,3.0,no,no,0.1469222222219949,C,1
170,s184,B,Experiment4_uns,B,22.0,feminino,right,Bachelor degree,1,L2,68.0,no,3.0,3.0,4.0,6.0,yes,no,-0.015364705883492258,C,1
171,s184,B,Experiment4_uns,B,22.0,feminino,right,Bachelor degree,1,L2,68.0,no,3.0,3.0,4.0,6.0,yes,no,0.004000000000011106,A,1
172,s190,B,Unsyncopated_study2,A,19.0,masculino,left,Upper secondary,3,L4,59.0,no,3.0,2.0,3.0,1.0,no,no,-0.001233193277373812,C,1
173,s190,B,Unsyncopated_study2,A,19.0,masculino,left,Upper secondary,3,L4,59.0,no,3.0,2.0,3.0,1.0,no,no,0.07349592760312207,A,1
174,s192,B,Unsyncopated_study2,A,24.0,feminino,right,Bachelor degree,4,L4,63.0,no,3.0,2.0,4.0,5.0,yes,no,0.06383823529415067,C,1
175,s192,B,Unsyncopated_study2,A,24.0,feminino,right,Bachelor degree,4,L4,63.0,no,3.0,2.0,4.0,5.0,yes,no,0.07307352941176626,A,1
176,s194,B,Unsyncopated_study2,B,30.0,feminino,right,Doctorate,4,L4,72.0,no,4.0,3.0,5.0,6.0,no,no,0.09546047619053444,A,1
177,s194,B,Unsyncopated_study2,B,30.0,feminino,right,Doctorate,4,L4,72.0,no,4.0,3.0,5.0,6.0,no,no,0.15767208333297245,C,1
178,s195,B,Unsyncopated_study2,B,22.0,feminino,right,Bachelor degree,4,L4,60.0,no,5.0,3.0,5.0,4.0,no,no,0.05461538510143771,A,1
179,s195,B,Unsyncopated_study2,B,22.0,feminino,right,Bachelor degree,4,L4,60.0,no,5.0,3.0,5.0,4.0,no,no,0.06203333364334407,C,1
180,s196,B,Experiment4_uns,A,34.0,feminino,right,Master degree,4,L2,28.0,no,4.0,2.0,4.0,2.0,no,no,-0.14550952381343274,C,1
181,s196,B,Experiment4_uns,A,34.0,feminino,right,Master degree,4,L2,28.0,no,4.0,2.0,4.0,2.0,no,no,-0.06207063492042386,A,1
182,s197,B,Experiment4_uns,B,36.0,masculino,right,Master degree,4,L2,72.0,yes,2.0,2.0,3.0,4.0,yes,yes,-0.132233333333326,A,1
183,s197,B,Experiment4_uns,B,36.0,masculino,right,Master degree,4,L2,72.0,yes,2.0,2.0,3.0,4.0,yes,yes,-0.09125098039220492,C,1
184,s2,B,Unsyncopated1,A,34.0,masculino,right,Doctorate,2,L3,58.0,yes,3.0,3.0,5.0,4.0,yes,no,-0.08247666666638365,C,1
185,s2,B,Unsyncopated1,A,34.0,masculino,right,Doctorate,2,L3,58.0,yes,3.0,3.0,5.0,4.0,yes,no,0.02670999999996959,A,1
186,s20,B,Unsyncopated1,B,26.0,feminino,right,Master degree,3,L3,65.0,yes,4.0,3.0,3.0,3.0,no,no,-0.12608444463941082,C,1
187,s20,B,Unsyncopated1,B,26.0,feminino,right,Master degree,3,L3,65.0,yes,4.0,3.0,3.0,3.0,no,no,-0.011516923258986456,A,1
188,s21,B,Unsyncopated1,B,26.0,feminino,right,Master degree,1,L3,70.0,no,3.0,3.0,3.0,4.0,no,no,-0.020234640523003278,A,1
189,s21,B,Unsyncopated1,B,26.0,feminino,right,Master degree,1,L3,70.0,no,3.0,3.0,3.0,4.0,no,no,0.012851470587366132,C,1
190,s22,B,Unsyncopated1,B,21.0,masculino,right,Upper secondary,3,L3,69.0,yes,4.0,2.0,5.0,4.0,no,no,0.07051111111526454,C,1
191,s22,B,Unsyncopated1,B,21.0,masculino,right,Upper secondary,3,L3,69.0,yes,4.0,2.0,5.0,4.0,no,no,0.12759150326921265,A,1
192,s23,B,Unsyncopated1,B,21.0,feminino,right,Upper secondary,1,L3,54.0,yes,4.0,2.0,4.0,4.0,yes,no,0.0012976190466681414,C,1
193,s23,B,Unsyncopated1,B,21.0,feminino,right,Upper secondary,1,L3,54.0,yes,4.0,2.0,4.0,4.0,yes,no,0.011164285721292466,A,1
194,s25,B,Unsyncopated1,B,26.0,masculino,right,Master degree,4,L3,72.0,yes,4.0,2.0,4.0,3.0,no,no,0.08059829059170409,C,1
195,s25,B,Unsyncopated1,B,26.0,masculino,right,Master degree,4,L3,72.0,yes,4.0,2.0,4.0,3.0,no,no,0.11529999999537921,A,1
196,s26,B,Unsyncopated1,B,27.0,feminino,right,Bachelor degree,3,L3,67.0,yes,2.0,3.0,3.0,4.0,no,no,-0.01777878787497722,C,1
197,s26,B,Unsyncopated1,B,27.0,feminino,right,Bachelor degree,3,L3,67.0,yes,2.0,3.0,3.0,4.0,no,no,-0.006752121197890815,A,1
198,s27,B,Unsyncopated1,B,20.0,feminino,right,Bachelor degree,4,L3,82.0,yes,3.0,2.0,3.0,2.0,no,no,0.038178571428550856,C,1
199,s27,B,Unsyncopated1,B,20.0,feminino,right,Bachelor degree,4,L3,82.0,yes,3.0,2.0,3.0,2.0,no,no,0.10939365079441177,A,1
200,s28,B,Unsyncopated1,B,33.0,masculino,right,Doctorate,1,L3,82.0,yes,2.0,2.0,5.0,5.0,yes,yes,0.046087500005937976,C,1
201,s28,B,Unsyncopated1,B,33.0,masculino,right,Doctorate,1,L3,82.0,yes,2.0,2.0,5.0,5.0,yes,yes,0.08437692308511457,A,1
202,s3,B,Unsyncopated1,A,27.0,feminino,right,Bachelor degree,3,L3,80.0,yes,3.0,2.0,1.0,2.0,no,no,-0.0517166666884763,A,1
203,s3,B,Unsyncopated1,A,27.0,feminino,right,Bachelor degree,3,L3,80.0,yes,3.0,2.0,1.0,2.0,no,no,0.06613958332936776,C,1
204,s30,B,Unsyncopated1,B,23.0,feminino,right,Bachelor degree,3,L3,67.0,yes,3.0,2.0,3.0,2.0,no,no,-0.005884444443398307,C,1
205,s30,B,Unsyncopated1,B,23.0,feminino,right,Bachelor degree,3,L3,67.0,yes,3.0,2.0,3.0,2.0,no,no,0.07956222220256015,A,1
206,s5,B,Unsyncopated1,A,36.0,masculino,both,Master degree,2,L3,71.0,yes,4.0,3.0,5.0,2.0,no,no,-0.08066874999944823,C,1
207,s5,B,Unsyncopated1,A,36.0,masculino,both,Master degree,2,L3,71.0,yes,4.0,3.0,5.0,2.0,no,no,-0.048634615384142654,A,1
208,s6,B,Unsyncopated1,A,26.0,feminino,right,Master degree,4,L3,56.0,yes,3.0,3.0,3.0,4.0,yes,no,-0.06685222223596055,A,1
209,s6,B,Unsyncopated1,A,26.0,feminino,right,Master degree,4,L3,56.0,yes,3.0,3.0,3.0,4.0,yes,no,0.07616705881230379,C,1
210,s7,B,Unsyncopated1,A,28.0,feminino,right,Bachelor degree,3,L3,60.0,yes,4.0,2.0,5.0,3.0,yes,yes,-0.056380588235589224,A,1
211,s7,B,Unsyncopated1,A,28.0,feminino,right,Bachelor degree,3,L3,60.0,yes,4.0,2.0,5.0,3.0,yes,yes,-0.04444117647064172,C,1
212,s72,B,Unsyncopated1,A,18.0,feminino,right,Upper secondary,4,L3,68.0,no,3.0,2.0,4.0,2.0,no,no,0.11582428571531578,A,1
213,s72,B,Unsyncopated1,A,18.0,feminino,right,Upper secondary,4,L3,68.0,no,3.0,2.0,4.0,2.0,no,no,0.13520285714689628,C,1
214,s73,B,Unsyncopated1,A,31.0,masculino,right,Bachelor degree,3,L3,76.0,yes,1.0,1.0,3.0,2.0,yes,yes,0.040231944443338,A,1
215,s73,B,Unsyncopated1,A,31.0,masculino,right,Bachelor degree,3,L3,76.0,yes,1.0,1.0,3.0,2.0,yes,yes,0.09747840908954497,C,1
216,s74,B,Unsyncopated1,A,23.0,masculino,right,Bachelor degree,2,L3,49.0,no,5.0,3.0,4.0,2.0,yes,no,0.013843636382684155,A,1
217,s74,B,Unsyncopated1,A,23.0,masculino,right,Bachelor degree,2,L3,49.0,no,5.0,3.0,4.0,2.0,yes,no,0.10569666668175814,C,1
218,s75,B,Unsyncopated1,A,23.0,masculino,right,Upper secondary,1,L3,68.0,yes,3.0,3.0,4.0,4.0,yes,yes,-0.0036310606031233483,C,1
219,s75,B,Unsyncopated1,A,23.0,masculino,right,Upper secondary,1,L3,68.0,yes,3.0,3.0,4.0,4.0,yes,yes,0.0074272727288992035,A,1
220,s76,B,Unsyncopated1,A,23.0,masculino,left,Bachelor degree,1,L3,64.0,no,6.0,3.0,5.0,4.0,yes,no,-0.005165610870109583,A,1
221,s76,B,Unsyncopated1,A,23.0,masculino,left,Bachelor degree,1,L3,64.0,no,6.0,3.0,5.0,4.0,yes,no,0.023338235339682267,C,1
222,s77,B,Unsyncopated1,B,22.0,feminino,right,Upper secondary,2,L3,73.0,yes,2.0,3.0,3.0,2.0,no,no,0.015367142857125038,C,1
223,s77,B,Unsyncopated1,B,22.0,feminino,right,Upper secondary,2,L3,73.0,yes,2.0,3.0,3.0,2.0,no,no,0.10099571428576748,A,1
224,s78,B,Unsyncopated1,B,22.0,masculino,left,Upper secondary,1,L3,74.0,yes,3.0,2.0,4.0,4.0,yes,yes,-0.06792588235210872,A,1
225,s78,B,Unsyncopated1,B,22.0,masculino,left,Upper secondary,1,L3,74.0,yes,3.0,2.0,4.0,4.0,yes,yes,-0.010244999996503745,C,1
226,s79,B,Unsyncopated1,B,21.0,masculino,right,Upper secondary,1,L3,55.0,yes,3.0,2.0,4.0,3.0,yes,yes,-0.017200000002989158,C,1
227,s79,B,Unsyncopated1,B,21.0,masculino,right,Upper secondary,1,L3,55.0,yes,3.0,2.0,4.0,3.0,yes,yes,0.019279464282610403,A,1
228,s8,B,Unsyncopated1,A,18.0,masculino,left,Upper secondary,3,L3,47.0,yes,4.0,3.0,3.0,2.0,yes,no,-0.12947333333890987,A,1
229,s8,B,Unsyncopated1,A,18.0,masculino,left,Upper secondary,3,L3,47.0,yes,4.0,3.0,3.0,2.0,yes,no,0.03944333330792249,C,1
230,s80,B,Unsyncopated1,B,21.0,feminino,right,Bachelor degree,4,L3,57.0,yes,4.0,2.0,3.0,5.0,yes,no,-0.017546666665934074,A,1
231,s80,B,Unsyncopated1,B,21.0,feminino,right,Bachelor degree,4,L3,57.0,yes,4.0,2.0,3.0,5.0,yes,no,0.040208333333853985,C,1
232,s81,B,Unsyncopated1,B,21.0,feminino,right,Bachelor degree,4,L3,78.0,no,2.0,2.0,0.0,3.0,no,no,-0.11451893939371016,A,1
233,s81,B,Unsyncopated1,B,21.0,feminino,right,Bachelor degree,4,L3,78.0,no,2.0,2.0,0.0,3.0,no,no,-0.05392727272707021,C,1
234,s82,B,Unsyncopated_study2,A,19.0,feminino,right,Upper secondary,1,L4,68.0,no,3.0,2.0,3.0,5.0,no,no,-0.025403846153835286,A,1
235,s82,B,Unsyncopated_study2,A,19.0,feminino,right,Upper secondary,1,L4,68.0,no,3.0,2.0,3.0,5.0,no,no,-0.01778333333333404,C,1
236,s83,B,Unsyncopated_study2,A,28.0,feminino,right,Bachelor degree,3,L4,67.0,no,2.0,2.0,5.0,5.0,no,no,-0.03845816991837059,C,1
237,s83,B,Unsyncopated_study2,A,28.0,feminino,right,Bachelor degree,3,L4,67.0,no,2.0,2.0,5.0,5.0,no,no,0.04866535940354677,A,1
238,s84,B,Unsyncopated_study2,A,28.0,feminino,right,Master degree,4,L4,65.0,no,3.0,2.0,5.0,5.0,no,no,-0.023986315775730516,C,1
239,s84,B,Unsyncopated_study2,A,28.0,feminino,right,Master degree,4,L4,65.0,no,3.0,2.0,5.0,5.0,no,no,0.029713684224282444,A,1
240,s85,B,Unsyncopated_study2,A,20.0,feminino,right,Upper secondary,3,L4,66.0,no,4.0,3.0,5.0,3.0,no,no,-0.08142077922208468,C,1
241,s85,B,Unsyncopated_study2,A,20.0,feminino,right,Upper secondary,3,L4,66.0,no,4.0,3.0,5.0,3.0,no,no,0.08050649349866146,A,1
242,s86,B,Unsyncopated_study2,A,25.0,masculino,right,Master degree,2,L4,78.0,yes,3.0,3.0,3.0,3.0,yes,yes,-0.09834285714278634,C,1
243,s86,B,Unsyncopated_study2,A,25.0,masculino,right,Master degree,2,L4,78.0,yes,3.0,3.0,3.0,3.0,yes,yes,0.005273809523884565,A,1
244,s88,B,Unsyncopated_study2,A,23.0,feminino,right,Master degree,1,L4,67.0,no,5.0,4.0,5.0,5.0,no,no,-0.1262923076922775,C,1
245,s88,B,Unsyncopated_study2,A,23.0,feminino,right,Master degree,1,L4,67.0,no,5.0,4.0,5.0,5.0,no,no,-0.001461990950240022,A,1
246,s89,B,Unsyncopated_study2,A,21.0,feminino,right,Upper secondary,4,L4,74.0,no,3.0,3.0,4.0,1.0,no,no,-0.0443051282153345,C,1
247,s89,B,Unsyncopated_study2,A,21.0,feminino,right,Upper secondary,4,L4,74.0,no,3.0,3.0,4.0,1.0,no,no,0.010238461544905042,A,1
248,s9,B,Unsyncopated1,A,31.0,feminino,right,Bachelor degree,2,L3,65.0,yes,3.0,2.0,5.0,4.0,yes,no,0.10609393939357159,A,1
249,s9,B,Unsyncopated1,A,31.0,feminino,right,Bachelor degree,2,L3,65.0,yes,3.0,2.0,5.0,4.0,yes,no,0.13431818181791044,C,1
250,s90,B,Unsyncopated_study2,A,20.0,feminino,right,Bachelor degree,1,L4,60.0,yes,2.0,2.0,1.0,1.0,no,no,-0.00420000000012688,A,1
251,s90,B,Unsyncopated_study2,A,20.0,feminino,right,Bachelor degree,1,L4,60.0,yes,2.0,2.0,1.0,1.0,no,no,0.008824632352913364,C,1
252,s92,B,Unsyncopated_study2,A,20.0,feminino,right,Upper secondary,3,L4,49.0,no,3.0,2.0,4.0,2.0,no,no,-0.004952488699200064,C,1
253,s92,B,Unsyncopated_study2,A,20.0,feminino,right,Upper secondary,3,L4,49.0,no,3.0,2.0,4.0,2.0,no,no,0.10310633483729503,A,1
254,s93,B,Unsyncopated_study2,A,24.0,feminino,right,Bachelor degree,2,L4,66.0,yes,4.0,2.0,4.0,1.0,yes,no,-0.12492167832173418,C,1
255,s93,B,Unsyncopated_study2,A,24.0,feminino,right,Bachelor degree,2,L4,66.0,yes,4.0,2.0,4.0,1.0,yes,no,0.0032167832169272548,A,1
256,s94,B,Unsyncopated_study2,A,28.0,feminino,right,Master degree,4,L4,80.0,no,3.0,2.0,5.0,2.0,no,no,-0.01053198529211219,C,1
257,s94,B,Unsyncopated_study2,A,28.0,feminino,right,Master degree,4,L4,80.0,no,3.0,2.0,5.0,2.0,no,no,0.044661764713146646,A,1
258,s95,B,Unsyncopated_study2,A,18.0,feminino,right,Upper secondary,1,L4,40.0,yes,4.0,3.0,4.0,3.0,yes,no,-0.04625974025820634,C,1
259,s95,B,Unsyncopated_study2,A,18.0,feminino,right,Upper secondary,1,L4,40.0,yes,4.0,3.0,4.0,3.0,yes,no,0.18679571428042863,A,1
260,s96,B,Unsyncopated_study2,A,27.0,masculino,right,Master degree,3,L4,61.0,yes,2.0,2.0,2.0,3.0,yes,yes,0.06737430556089719,C,1
261,s96,B,Unsyncopated_study2,A,27.0,masculino,right,Master degree,3,L4,61.0,yes,2.0,2.0,2.0,3.0,yes,yes,0.08898888889218193,A,1
262,s98,B,Unsyncopated_study2,B,20.0,feminino,right,Bachelor degree,4,L4,75.0,yes,3.0,2.0,4.0,6.0,no,no,-0.12174166667380704,A,1
263,s98,B,Unsyncopated_study2,B,20.0,feminino,right,Bachelor degree,4,L4,75.0,yes,3.0,2.0,4.0,6.0,no,no,-0.08166666665062605,C,1
264, s154,R,Experiment4_uns,A,25.0,masculino,right,Bachelor degree,4,L1,68.0,no,2.0,2.0,3.0,4.0,yes,no,0.05833333333339885,A,2
265, s154,R,Experiment4_uns,A,25.0,masculino,right,Bachelor degree,4,L1,68.0,no,2.0,2.0,3.0,4.0,yes,no,0.16591666666673122,C,2
266,102,R,Unsyncopated_study2,B,23.0,feminino,right,Master degree,4,L3,58.0,no,2.0,2.0,3.0,4.0,no,no,0.011488636363768179,C,2
267,102,R,Unsyncopated_study2,B,23.0,feminino,right,Master degree,4,L3,58.0,no,2.0,2.0,3.0,4.0,no,no,0.07889423076930113,A,2
268,157,R,Experiment4_uns,A,24.0,feminino,right,Master degree,2,L1,72.0,yes,3.0,2.0,3.0,4.0,yes,yes,-0.036979365074430226,A,2
269,157,R,Experiment4_uns,A,24.0,feminino,right,Master degree,2,L1,72.0,yes,3.0,2.0,3.0,4.0,yes,yes,0.1385027777821638,C,2
270,S133,R,Unsyncopated_study3,B,18.0,feminino,right,Upper secondary,4,L4,72.0,yes,3.0,2.0,3.0,5.0,yes,yes,-0.04852631572187194,C,2
271,S133,R,Unsyncopated_study3,B,18.0,feminino,right,Upper secondary,4,L4,72.0,yes,3.0,2.0,3.0,5.0,yes,yes,0.01675829961141939,A,2
272,s100,R,Unsyncopated_study2,B,23.0,feminino,right,Master degree,1,L3,53.0,no,2.0,2.0,3.0,2.0,no,no,-0.0716884615466934,A,2
273,s100,R,Unsyncopated_study2,B,23.0,feminino,right,Master degree,1,L3,53.0,no,2.0,2.0,3.0,2.0,no,no,0.12983871794939822,C,2
274,s101,R,Unsyncopated_study2,B,23.0,feminino,right,Master degree,2,L3,61.0,yes,2.0,2.0,2.0,2.0,yes,no,0.011352898532947298,A,2
275,s101,R,Unsyncopated_study2,B,23.0,feminino,right,Master degree,2,L3,61.0,yes,2.0,2.0,2.0,2.0,yes,no,0.03964956522268415,C,2
276,s103,R,Unsyncopated_study2,B,24.0,feminino,right,Master degree,1,L3,60.0,no,4.0,2.0,5.0,5.0,no,no,-0.15609523809523385,C,2
277,s103,R,Unsyncopated_study2,B,24.0,feminino,right,Master degree,1,L3,60.0,no,4.0,2.0,5.0,5.0,no,no,0.004738095238123741,A,2
278,s104,R,Unsyncopated_study2,B,23.0,masculino,right,Master degree,4,L3,72.0,no,4.0,2.0,4.0,4.0,no,no,0.0011571428946302031,C,2
279,s104,R,Unsyncopated_study2,B,23.0,masculino,right,Master degree,4,L3,72.0,no,4.0,2.0,4.0,4.0,no,no,0.0076818181508668815,A,2
280,s105,R,Unsyncopated_study2,B,33.0,feminino,right,Bachelor degree,2,L3,55.0,yes,3.0,2.0,5.0,4.0,no,no,-0.11482142857147437,A,2
281,s105,R,Unsyncopated_study2,B,33.0,feminino,right,Bachelor degree,2,L3,55.0,yes,3.0,2.0,5.0,4.0,no,no,0.046330357142857936,C,2
282,s106,R,Unsyncopated_study2,B,18.0,feminino,right,Upper secondary,4,L3,68.0,yes,3.0,2.0,4.0,4.0,yes,yes,-0.0063461038996450725,A,2
283,s106,R,Unsyncopated_study2,B,18.0,feminino,right,Upper secondary,4,L3,68.0,yes,3.0,2.0,4.0,4.0,yes,yes,0.09009484847858329,C,2
284,s107,R,Unsyncopated_study2,B,23.0,feminino,right,Bachelor degree,1,L3,45.0,yes,4.0,2.0,3.0,4.0,yes,no,0.04060714285715905,C,2
285,s107,R,Unsyncopated_study2,B,23.0,feminino,right,Bachelor degree,1,L3,45.0,yes,4.0,2.0,3.0,4.0,yes,no,0.04527380952382987,A,2
286,s108,R,Unsyncopated_study2,B,26.0,masculino,right,Master degree,4,L3,58.0,yes,3.0,3.0,5.0,4.0,no,yes,-0.0030714285731004987,A,2
287,s108,R,Unsyncopated_study2,B,26.0,masculino,right,Master degree,4,L3,58.0,yes,3.0,3.0,5.0,4.0,no,yes,0.02744615384373772,C,2
288,s109,R,Unsyncopated_study2,B,21.0,masculino,right,Bachelor degree,2,L3,17.0,yes,4.0,3.0,4.0,1.0,no,no,-0.0698988095210038,A,2
289,s109,R,Unsyncopated_study2,B,21.0,masculino,right,Bachelor degree,2,L3,17.0,yes,4.0,3.0,4.0,1.0,no,no,0.09644642857994767,C,2
290,s11,R,Unsyncopated1,A,25.0,feminino,right,Bachelor degree,1,L2,45.0,yes,3.0,3.0,3.0,3.0,yes,no,-0.15841857707506835,C,2
291,s11,R,Unsyncopated1,A,25.0,feminino,right,Bachelor degree,1,L2,45.0,yes,3.0,3.0,3.0,3.0,yes,no,-0.06172701863346275,A,2
292,s110,R,Unsyncopated_study2,B,25.0,feminino,right,Bachelor degree,3,L3,68.0,no,2.0,1.0,4.0,3.0,yes,no,0.0026142857141943088,A,2
293,s110,R,Unsyncopated_study2,B,25.0,feminino,right,Bachelor degree,3,L3,68.0,no,2.0,1.0,4.0,3.0,yes,no,0.029418181818085642,C,2
294,s112,R,Unsyncopated_study2,A,22.0,feminino,right,Bachelor degree,3,L3,49.0,yes,4.0,2.0,5.0,3.0,yes,no,-0.07147874999987514,C,2
295,s112,R,Unsyncopated_study2,A,22.0,feminino,right,Bachelor degree,3,L3,49.0,yes,4.0,2.0,5.0,3.0,yes,no,-0.03061000000000713,A,2
296,s113,R,Unsyncopated_study2,A,29.0,feminino,right,Bachelor degree,4,L3,62.0,yes,2.0,2.0,4.0,1.0,yes,no,-0.053161038954466666,A,2
297,s113,R,Unsyncopated_study2,A,29.0,feminino,right,Bachelor degree,4,L3,62.0,yes,2.0,2.0,4.0,1.0,yes,no,-0.048828181819832395,C,2
298,s114,R,Unsyncopated_study2,A,18.0,feminino,right,Upper secondary,4,L3,75.0,yes,3.0,3.0,4.0,3.0,no,no,0.05458000000071794,A,2
299,s114,R,Unsyncopated_study2,A,18.0,feminino,right,Upper secondary,4,L3,75.0,yes,3.0,3.0,4.0,3.0,no,no,0.11528750000086374,C,2
300,s115,R,Unsyncopated_study2,B,19.0,feminino,right,Upper secondary,1,L3,58.0,yes,3.0,1.0,3.0,2.0,no,no,0.027754166666708935,A,2
301,s115,R,Unsyncopated_study2,B,19.0,feminino,right,Upper secondary,1,L3,58.0,yes,3.0,1.0,3.0,2.0,no,no,0.16627559523805685,C,2
302,s116,R,Unsyncopated_study2,B,21.0,feminino,right,Upper secondary,3,L3,62.0,yes,5.0,2.0,4.0,4.0,yes,yes,0.10673516485465973,C,2
303,s116,R,Unsyncopated_study2,B,21.0,feminino,right,Upper secondary,3,L3,62.0,yes,5.0,2.0,4.0,4.0,yes,yes,0.12057230769680227,A,2
304,s117,R,Unsyncopated_study2,B,23.0,feminino,right,Master degree,3,L3,71.0,yes,3.0,3.0,4.0,5.0,no,no,-0.056980128146102316,A,2
305,s117,R,Unsyncopated_study2,B,23.0,feminino,right,Master degree,3,L3,71.0,yes,3.0,3.0,4.0,5.0,no,no,0.08908690487475401,C,2
306,s118,R,Unsyncopated_study3,A,23.0,feminino,right,Bachelor degree,4,L4,61.0,no,3.0,2.0,4.0,4.0,yes,no,-0.009310000032313415,C,2
307,s118,R,Unsyncopated_study3,A,23.0,feminino,right,Bachelor degree,4,L4,61.0,no,3.0,2.0,4.0,4.0,yes,no,0.012368181805702427,A,2
308,s119,R,Unsyncopated_study3,A,18.0,feminino,right,Upper secondary,3,L4,60.0,yes,2.0,2.0,3.0,2.0,no,no,0.03273285714342278,C,2
309,s119,R,Unsyncopated_study3,A,18.0,feminino,right,Upper secondary,3,L4,60.0,yes,2.0,2.0,3.0,2.0,no,no,0.038821428599883356,A,2
310,s12,R,Unsyncopated1,A,19.0,feminino,left,Upper secondary,2,L2,70.0,yes,5.0,3.0,4.0,4.0,no,yes,-0.01807789473681276,C,2
311,s12,R,Unsyncopated1,A,19.0,feminino,left,Upper secondary,2,L2,70.0,yes,5.0,3.0,4.0,4.0,no,yes,0.009614832535821183,A,2
312,s120,R,Unsyncopated_study3,A,21.0,feminino,right,Bachelor degree,4,L4,68.0,yes,3.0,2.0,5.0,3.0,no,yes,-0.06863333335104915,C,2
313,s120,R,Unsyncopated_study3,A,21.0,feminino,right,Bachelor degree,4,L4,68.0,yes,3.0,2.0,5.0,3.0,no,yes,0.03898492067109893,A,2
314,s121,R,Unsyncopated_study3,A,21.0,feminino,right,Upper secondary,4,L4,67.0,no,3.0,2.0,3.0,4.0,no,no,0.044150769230858256,C,2
315,s121,R,Unsyncopated_study3,A,21.0,feminino,right,Upper secondary,4,L4,67.0,no,3.0,2.0,3.0,4.0,no,no,0.13373666666686168,A,2
316,s122,R,Unsyncopated_study3,A,19.0,feminino,right,Upper secondary,4,L4,80.0,yes,4.0,2.0,4.0,2.0,yes,no,-0.22470579710856387,A,2
317,s122,R,Unsyncopated_study3,A,19.0,feminino,right,Upper secondary,4,L4,80.0,yes,4.0,2.0,4.0,2.0,yes,no,0.0634224080256327,C,2
318,s123,R,Unsyncopated_study3,A,24.0,masculino,right,Upper secondary,4,L4,66.0,yes,4.0,2.0,5.0,3.0,yes,no,0.09483750000006463,A,2
319,s123,R,Unsyncopated_study3,A,24.0,masculino,right,Upper secondary,4,L4,66.0,yes,4.0,2.0,5.0,3.0,yes,no,0.09535333333344309,C,2
320,s124,R,Unsyncopated_study3,A,20.0,feminino,right,Upper secondary,1,L4,68.0,yes,3.0,2.0,3.0,3.0,yes,no,0.0038911111487094363,C,2
321,s124,R,Unsyncopated_study3,A,20.0,feminino,right,Upper secondary,1,L4,68.0,yes,3.0,2.0,3.0,3.0,yes,no,0.011603968309950807,A,2
322,s125,R,Unsyncopated_study3,A,18.0,feminino,right,Upper secondary,1,L4,69.0,yes,3.0,2.0,1.0,6.0,yes,no,-0.09926666666668027,A,2
323,s125,R,Unsyncopated_study3,A,18.0,feminino,right,Upper secondary,1,L4,69.0,yes,3.0,2.0,1.0,6.0,yes,no,-0.0822666666666737,C,2
324,s126,R,Unsyncopated_study3,A,21.0,feminino,right,Bachelor degree,1,L4,77.0,yes,4.0,3.0,4.0,5.0,yes,no,0.07160208331668683,A,2
325,s126,R,Unsyncopated_study3,A,21.0,feminino,right,Bachelor degree,1,L4,77.0,yes,4.0,3.0,4.0,5.0,yes,no,0.0786940476163781,C,2
326,s128,R,Unsyncopated_study3,A,18.0,masculino,right,Upper secondary,2,L4,57.0,yes,3.0,2.0,2.0,2.0,yes,no,-0.012502820523873859,C,2
327,s128,R,Unsyncopated_study3,A,18.0,masculino,right,Upper secondary,2,L4,57.0,yes,3.0,2.0,2.0,2.0,yes,no,0.028347596166187983,A,2
328,s129,R,Unsyncopated_study3,A,18.0,masculino,right,Upper secondary,1,L4,71.0,yes,4.0,3.0,4.0,3.0,yes,no,0.029189632108876817,A,2
329,s129,R,Unsyncopated_study3,A,18.0,masculino,right,Upper secondary,1,L4,71.0,yes,4.0,3.0,4.0,3.0,yes,no,0.05320711463134081,C,2
330,s13,R,Unsyncopated1,A,26.0,masculino,right,Master degree,4,L2,46.0,yes,3.0,3.0,2.0,2.0,no,no,-0.10116993008286546,A,2
331,s13,R,Unsyncopated1,A,26.0,masculino,right,Master degree,4,L2,46.0,yes,3.0,3.0,2.0,2.0,no,no,-0.06487902096594256,C,2
332,s130,R,Unsyncopated_study3,A,19.0,feminino,right,Bachelor degree,2,L4,70.0,yes,5.0,3.0,3.0,5.0,no,no,0.0028192982493778773,C,2
333,s130,R,Unsyncopated_study3,A,19.0,feminino,right,Bachelor degree,2,L4,70.0,yes,5.0,3.0,3.0,5.0,no,no,0.09244013158267594,A,2
