,participant,condition,expName,group,age,sex,hand,education_level,block,language,BMRQ_score,music_exp,n_lang,n_lang_used,ability_learn_l2,tendence_mix_lan,partiture,music_use,meanRTs,syllable,info_index
33,s112,B,Unsyncopated_study2,A,22.0,feminino,right,Bachelor degree,4,L4,49.0,yes,4.0,2.0,5.0,3.0,yes,no,0.18506068376088847,C,1
34,s114,B,Unsyncopated_study2,A,18.0,feminino,right,Upper secondary,3,L4,75.0,yes,3.0,3.0,4.0,3.0,no,no,-0.04194791666720421,C,1
35,s114,B,Unsyncopated_study2,A,18.0,feminino,right,Upper secondary,3,L4,75.0,yes,3.0,3.0,4.0,3.0,no,no,0.07828627450970371,A,1
36,s115,B,Unsyncopated_study2,B,19.0,feminino,right,Upper secondary,4,L4,58.0,yes,3.0,1.0,3.0,2.0,no,no,0.05867362637368001,A,1
37,s115,B,Unsyncopated_study2,B,19.0,feminino,right,Upper secondary,4,L4,58.0,yes,3.0,1.0,3.0,2.0,no,no,0.14128076923086375,C,1
38,s116,B,Unsyncopated_study2,B,21.0,feminino,right,Upper secondary,4,L4,62.0,yes,5.0,2.0,4.0,4.0,yes,yes,-0.3700966667371513,A,1
39,s116,B,Unsyncopated_study2,B,21.0,feminino,right,Upper secondary,4,L4,62.0,yes,5.0,2.0,4.0,4.0,yes,yes,-0.29017666672043735,C,1
40,s117,B,Unsyncopated_study2,B,23.0,feminino,right,Master degree,2,L4,71.0,yes,3.0,3.0,4.0,5.0,no,no,-0.17876555557245732,A,1
41,s117,B,Unsyncopated_study2,B,23.0,feminino,right,Master degree,2,L4,71.0,yes,3.0,3.0,4.0,5.0,no,no,0.02180915031719588,C,1
42,s118,B,Unsyncopated_study3,A,23.0,feminino,right,Bachelor degree,1,L1,61.0,no,3.0,2.0,4.0,4.0,yes,no,-0.029762499998853942,A,1
43,s118,B,Unsyncopated_study3,A,23.0,feminino,right,Bachelor degree,1,L1,61.0,no,3.0,2.0,4.0,4.0,yes,no,0.015530833344173156,C,1
44,s119,B,Unsyncopated_study3,A,18.0,feminino,right,Upper secondary,2,L1,60.0,yes,2.0,2.0,3.0,2.0,no,no,0.03264230772947818,A,1
45,s119,B,Unsyncopated_study3,A,18.0,feminino,right,Upper secondary,2,L1,60.0,yes,2.0,2.0,3.0,2.0,no,no,0.0754673076557596,C,1
46,s12,B,Unsyncopated1,A,19.0,feminino,left,Upper secondary,3,L3,70.0,yes,5.0,3.0,4.0,4.0,no,yes,-0.06391111111100989,A,1
47,s12,B,Unsyncopated1,A,19.0,feminino,left,Upper secondary,3,L3,70.0,yes,5.0,3.0,4.0,4.0,no,yes,-0.006370085469872722,C,1
48,s120,B,Unsyncopated_study3,A,21.0,feminino,right,Bachelor degree,3,L1,68.0,yes,3.0,2.0,5.0,3.0,no,yes,-0.10753166657316815,A,1
49,s120,B,Unsyncopated_study3,A,21.0,feminino,right,Bachelor degree,3,L1,68.0,yes,3.0,2.0,5.0,3.0,no,yes,-0.01905818168393092,C,1
