"pregunta	L1	L2	L3	L4"
"¿Cuál de los cuatro lenguajes te parece más complejo?	ConjL1_unsync.wav	WhatL2_unsync.wav	WhenL3_unsync.wav	ConjL4_sync.wav"
"¿Cuál de los cuatro lenguajes te gusta más?	ConjL1_unsync.wav	WhatL2_unsync.wav	WhenL3_unsync.wav	ConjL4_sync.wav"
