Unnamed: 0,date,expName,participant,age,sex,hand,residence,native_lang,education_level,lang_deficit,aud_deficit,group,block,condition,language,rhythm,rule structure online,rule type online,order_trial_on,trial_online,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,catch_syll_resp,rts_syll_catch,clean_rts,time_syll,beat_no_beat,catch_rtsTR,catch_rts,syllable_catch.keys,cond_syll,syll_to_catch,test_offline,block_off,condition_off,rhythm_off,rule,rule_str_off,rule_norule,conds_offline,language_off,Partz_no_partm.keys,Partz_no_partm.rt,security_1_7.keys,accuracy,security_1_7.rt,n_lang,n_lang_used,lang_1,age_l1,lang_2,age_l2,lang_3,age_l3,lang_4,age_l4,lang_5,age_l5,ability_learn_l2,tendence_mix_lan,music_experience,muisc_use,partiture,instr_1,age_M1,preguntas_musica1,BMRQ_answer.response,final comment,BMRQ_Score,bilingual
0,2023-10-09_12h16.53.811,Unsyncopated1,s12,19.0,feminino,left,España,"Español, catalán",Upper secondary,no,no,A,1,conjunction_syn,L4,syncopated,s2,r1,0,Online_conjL4_syn//c.bu.da22.0.222.wav,bu,da,bo,zi,sil,re,ru,lo,sil1,ñi,sil2,['miss'],,,0.0,beat,,,,da,3,testConjL4Syn//dep_viol.r2.s2.0.wav,1.0,conjunction_syn,syncopated,b,s2,no_rule,dep,L4,z,0.6879,5.0,0.0,5.4519,5.0,3.0,Español,0.0,Catalán,0.0,Inglés,3.0,Francés,13.0,Italiano,18.0,4.0,4.0,yes,yes,no,Canto,13,1. Cuando comparto música con alguien siento una complicidad especial con aquella persona.,4.0,"He tenido múltiples interrupciones mientras hacía el experimento, especialmente en los dos últimos idiomas. ¡Gracias! ",70.0,yes
1,2023-10-09_12h16.53.811,Unsyncopated1,s12,19.0,feminino,left,España,"Español, catalán",Upper secondary,no,no,A,1,conjunction_syn,L4,syncopated,s2,r2,1,Online_conjL4_syn//c.bu.da21.none.none.wav,ña,re,po,ja,sil,de,ñi,nu,sil1,ru,sil2,['-'],,,none,none,,,,da,3,testConjL4Syn//r2.s1.2.wav,1.0,conjunction_syn,syncopated,b,s1,rule,rule,L4,z,1.3869,4.0,1.0,4.7672,5.0,3.0,Español,0.0,Catalán,0.0,Inglés,3.0,Francés,13.0,Italiano,18.0,4.0,4.0,yes,yes,no,Canto,13,2. En mi tiempo libre apenas escucho música.,5.0,"He tenido múltiples interrupciones mientras hacía el experimento, especialmente en los dos últimos idiomas. ¡Gracias! ",70.0,yes
2,2023-10-09_12h16.53.811,Unsyncopated1,s12,19.0,feminino,left,España,"Español, catalán",Upper secondary,no,no,A,1,conjunction_syn,L4,syncopated,s1,r2,2,Online_conjL4_syn//c.bu.da20.444.1332.wav,ja,pe,bu,nu,sil,ci,da,re,sil1,ru,sil2,['miss'],,,0.444,no_beat,,,,da,3,testConjL4Syn//time_viol.r2.s1.0.wav,1.0,conjunction_syn,syncopated,b,s1,no_rule,time,L4,z,4.7674,4.0,0.0,3.8369,5.0,3.0,Español,0.0,Catalán,0.0,Inglés,3.0,Francés,13.0,Italiano,18.0,4.0,4.0,yes,yes,no,Canto,13,3. Algunas canciones me ponen los pelos de punta,3.0,"He tenido múltiples interrupciones mientras hacía el experimento, especialmente en los dos últimos idiomas. ¡Gracias! ",70.0,yes
3,2023-10-09_12h16.53.811,Unsyncopated1,s12,19.0,feminino,left,España,"Español, catalán",Upper secondary,no,no,A,1,conjunction_syn,L4,syncopated,s2,r2,3,Online_conjL4_syn//c.bu.da23.444.1110.wav,ña,re,bu,ja,sil,da,de,nu,sil1,ci,sil2,['miss'],,,0.444,no_beat,,,,da,3,testConjL4Syn//r2.s1.0.wav,1.0,conjunction_syn,syncopated,b,s1,rule,rule,L4,m,1.083,5.0,0.0,2.3581,5.0,3.0,Español,0.0,Catalán,0.0,Inglés,3.0,Francés,13.0,Italiano,18.0,4.0,4.0,yes,yes,no,Canto,13,4. La música me hace compañía cuando estoy solo,3.0,"He tenido múltiples interrupciones mientras hacía el experimento, especialmente en los dos últimos idiomas. ¡Gracias! ",70.0,yes
4,2023-10-09_12h16.53.811,Unsyncopated1,s12,19.0,feminino,left,España,"Español, catalán",Upper secondary,no,no,A,1,conjunction_syn,L4,syncopated,s2,r2,4,Online_conjL4_syn//b.ja.nu31.666.1554.wav,po,ru,ña,ja,sil,da,ci,nu,sil1,re,sil2,['miss'],,,0.666,no_beat,,,,nu,1,testConjL4Syn//r1.s2.0.wav,1.0,conjunction_syn,syncopated,a,s2,rule,rule,L4,m,3.1476,5.0,0.0,3.2176,5.0,3.0,Español,0.0,Catalán,0.0,Inglés,3.0,Francés,13.0,Italiano,18.0,4.0,4.0,yes,yes,no,Canto,13,5. No me apetece bailar ni con la música que más me gusta,5.0,"He tenido múltiples interrupciones mientras hacía el experimento, especialmente en los dos últimos idiomas. ¡Gracias! ",70.0,yes
5,2023-10-09_12h16.53.811,Unsyncopated1,s12,19.0,feminino,left,España,"Español, catalán",Upper secondary,no,no,A,1,conjunction_syn,L4,syncopated,s1,r1,5,Online_conjL4_syn//b.ja.nu28.none.none.wav,zi,ña,bu,lo,sil,re,de,ci,sil1,pe,sil2,['false alarm'],[1.0737000000000307],[1.0737000000000307],none,none,,,"[""space""]",nu,1,testConjL4Syn//r2.s2.2.wav,1.0,conjunction_syn,syncopated,b,s2,rule,rule,L4,z,2.4635,4.0,1.0,1.9613,5.0,3.0,Español,0.0,Catalán,0.0,Inglés,3.0,Francés,13.0,Italiano,18.0,4.0,4.0,yes,yes,no,Canto,13,6. La música me hace conectar con la gente,3.0,"He tenido múltiples interrupciones mientras hacía el experimento, especialmente en los dos últimos idiomas. ¡Gracias! ",70.0,yes
6,2023-10-09_12h16.53.811,Unsyncopated1,s12,19.0,feminino,left,España,"Español, catalán",Upper secondary,no,no,A,1,conjunction_syn,L4,syncopated,s2,r1,6,Online_conjL4_syn//b.ja.nu30.none.none.wav,ci,ña,ru,zi,sil,bo,pe,lo,sil1,bu,sil2,['-'],,,none,none,,,,nu,1,testConjL4Syn//dep_viol.r1.s1.0.wav,1.0,conjunction_syn,syncopated,a,s1,no_rule,dep,L4,m,1.9162,3.0,1.0,4.8318,5.0,3.0,Español,0.0,Catalán,0.0,Inglés,3.0,Francés,13.0,Italiano,18.0,4.0,4.0,yes,yes,no,Canto,13,7. Me informo sobre la música que me gusta.,1.0,"He tenido múltiples interrupciones mientras hacía el experimento, especialmente en los dos últimos idiomas. ¡Gracias! ",70.0,yes
7,2023-10-09_12h16.53.811,Unsyncopated1,s12,19.0,feminino,left,España,"Español, catalán",Upper secondary,no,no,A,1,conjunction_syn,L4,syncopated,s2,r1,7,Online_conjL4_syn//b.ja.nu29.none.none.wav,da,po,ña,zi,sil,pe,re,lo,sil1,bo,sil2,['-'],,,none,none,,,,nu,1,testConjL4Syn//dep_viol.r1.s2.0.wav,1.0,conjunction_syn,syncopated,a,s2,no_rule,dep,L4,z,0.3697,5.0,0.0,3.5966,5.0,3.0,Español,0.0,Catalán,0.0,Inglés,3.0,Francés,13.0,Italiano,18.0,4.0,4.0,yes,yes,no,Canto,13,8.Me emociono escuchando ciertas canciones.,4.0,"He tenido múltiples interrupciones mientras hacía el experimento, especialmente en los dos últimos idiomas. ¡Gracias! ",70.0,yes
8,2023-10-09_12h16.53.811,Unsyncopated1,s12,19.0,feminino,left,España,"Español, catalán",Upper secondary,no,no,A,1,conjunction_syn,L4,syncopated,s2,r2,8,Online_conjL4_syn//b.ja.nu8.666.1554.wav,da,bu,de,ja,sil,ci,pe,nu,sil1,re,sil2,['miss'],,,0.666,no_beat,,,,nu,1,testConjL4Syn//time_viol.r1.s1.0.wav,1.0,conjunction_syn,syncopated,a,s1,no_rule,time,L4,m,0.2007,6.0,1.0,1.8638,5.0,3.0,Español,0.0,Catalán,0.0,Inglés,3.0,Francés,13.0,Italiano,18.0,4.0,4.0,yes,yes,no,Canto,13,9.La música me tranquiliza y me relaja.,4.0,"He tenido múltiples interrupciones mientras hacía el experimento, especialmente en los dos últimos idiomas. ¡Gracias! ",70.0,yes
9,2023-10-09_12h16.53.811,Unsyncopated1,s12,19.0,feminino,left,España,"Español, catalán",Upper secondary,no,no,A,1,conjunction_syn,L4,syncopated,s2,r2,9,Online_conjL4_syn//b.ja.nu9.666.1554.wav,bo,ñi,po,ja,sil,da,re,nu,sil1,ru,sil2,['miss'],,,0.666,no_beat,,,,nu,1,testConjL4Syn//r1.s2.2.wav,1.0,conjunction_syn,syncopated,a,s2,rule,rule,L4,m,7.8788,2.0,0.0,2.0931,5.0,3.0,Español,0.0,Catalán,0.0,Inglés,3.0,Francés,13.0,Italiano,18.0,4.0,4.0,yes,yes,no,Canto,13,10.La música me hace bailar,3.0,"He tenido múltiples interrupciones mientras hacía el experimento, especialmente en los dos últimos idiomas. ¡Gracias! ",70.0,yes
10,2023-10-09_12h16.53.811,Unsyncopated1,s12,19.0,feminino,left,España,"Español, catalán",Upper secondary,no,no,A,1,conjunction_syn,L4,syncopated,s1,r2,10,Online_conjL4_syn//b.ja.nu10.0.666.wav,ja,pe,ñi,nu,sil,bu,ci,de,sil1,ru,sil2,['miss'],,,0.0,beat,,,,nu,1,testConjL4Syn//time_viol.r2.s2.0.wav,1.0,conjunction_syn,syncopated,b,s2,no_rule,time,L4,m,2.052,3.0,1.0,1.8138,5.0,3.0,Español,0.0,Catalán,0.0,Inglés,3.0,Francés,13.0,Italiano,18.0,4.0,4.0,yes,yes,no,Canto,13,11.Busco novedades musicales continuamente,4.0,"He tenido múltiples interrupciones mientras hacía el experimento, especialmente en los dos últimos idiomas. ¡Gracias! ",70.0,yes
11,2023-10-09_12h16.53.811,Unsyncopated1,s12,19.0,feminino,left,España,"Español, catalán",Upper secondary,no,no,A,1,conjunction_syn,L4,syncopated,s2,r2,11,Online_conjL4_syn//b.ja.nu11.666.1554.wav,de,ru,po,ja,sil,ci,pe,nu,sil1,ña,sil2,['miss'],,,0.666,no_beat,,,,nu,1,testConjL4Syn//r1.s1.0.wav,1.0,conjunction_syn,syncopated,a,s1,rule,rule,L4,m,1.3149,5.0,0.0,1.7041,5.0,3.0,Español,0.0,Catalán,0.0,Inglés,3.0,Francés,13.0,Italiano,18.0,4.0,4.0,yes,yes,no,Canto,13,12. Puedo llorar cuando escucho algunas melodías que me gustan mucho.,3.0,"He tenido múltiples interrupciones mientras hacía el experimento, especialmente en los dos últimos idiomas. ¡Gracias! ",70.0,yes
