Unnamed: 0,date,expName,participant,age,sex,hand,residence,native_lang,education_level,lang_deficit,aud_deficit,group,block,condition,language,rhythm,rule structure online,rule type online,order_trial_on,trial_online,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,catch_syll_resp,rts_syll_catch,clean_rts,time_syll,beat_no_beat,catch_rtsTR,catch_rts,syllable_catch.keys,cond_syll,syll_to_catch,test_offline,block_off,condition_off,rhythm_off,rule,rule_str_off,rule_norule,conds_offline,language_off,Partz_no_partm.keys,Partz_no_partm.rt,security_1_7.keys,accuracy,security_1_7.rt,n_lang,n_lang_used,lang_1,age_l1,lang_2,age_l2,lang_3,age_l3,lang_4,age_l4,lang_5,age_l5,lang_6,age_l6,ability_learn_l2,tendence_mix_lan,music_experience,muisc_use,partiture,instr_1,age_M1,preguntas_musica1,BMRQ_answer.response,final comment,BMRQ_Score,bilingual
327,2024-03-12_19h11.04.864,Unsyncopated_study3,s141,21.0,masculino,right,España,Catalán y castellano,Upper secondary,no,no,B,3,when,L1,unsyncopated,when,when,71,Online_whenL1//b.ta33.none.wav,ro,cho,be,sil,la,pu,ri,sil1,lu,zu,sil2,['-'],,,none,none,,,,ta,2,,,,,,,,,,,,,,,6.0,2.0,Catalán,0.0,Castellano,0.0,Francés,4.0,Inglés,5.0,Chino,14.0,Italiano,21.0,5.0,1.0,yes,no,yes,Piano,5,,,"No ha ocurrido nada, todo ha ido muy bien. Solamente querría comentar que me ha salido una ventana emergente de la actualización del sistema durante una fase 3 no recuerdo de qué lenguaje.",51.0,yes
328,2024-03-12_19h11.04.864,Unsyncopated_study3,s141,21.0,masculino,right,España,Catalán y castellano,Upper secondary,no,no,B,3,when,L1,unsyncopated,when,when,72,Online_whenL1//a.ki20.0.wav,ki,ne,zu,sil,ri,ni,cho,sil1,lu,pu,sil2,['catch'],[0.6520000000000437],[0.6520000000000437],0.0,beat,0.6520000000000437,0.6520000000000437,"[""space""]",ki,1,,,,,,,,,,,,,,,6.0,2.0,Catalán,0.0,Castellano,0.0,Francés,4.0,Inglés,5.0,Chino,14.0,Italiano,21.0,5.0,1.0,yes,no,yes,Piano,5,,,"No ha ocurrido nada, todo ha ido muy bien. Solamente querría comentar que me ha salido una ventana emergente de la actualización del sistema durante una fase 3 no recuerdo de qué lenguaje.",51.0,yes
329,2024-03-12_19h11.04.864,Unsyncopated_study3,s141,21.0,masculino,right,España,Catalán y castellano,Upper secondary,no,no,B,3,when,L1,unsyncopated,when,when,73,Online_whenL1//a.ki23.1110.wav,be,ri,zu,sil,ro,ki,ni,sil1,la,ne,sil2,['catch'],[1.7363000000120792],[1.7363000000120792],1.11,no_beat,0.6263000000120791,0.6263000000120791,"[""space""]",ki,1,,,,,,,,,,,,,,,6.0,2.0,Catalán,0.0,Castellano,0.0,Francés,4.0,Inglés,5.0,Chino,14.0,Italiano,21.0,5.0,1.0,yes,no,yes,Piano,5,,,"No ha ocurrido nada, todo ha ido muy bien. Solamente querría comentar que me ha salido una ventana emergente de la actualización del sistema durante una fase 3 no recuerdo de qué lenguaje.",51.0,yes
330,2024-03-12_19h11.04.864,Unsyncopated_study3,s141,21.0,masculino,right,España,Catalán y castellano,Upper secondary,no,no,B,3,when,L1,unsyncopated,when,when,74,Online_whenL1//a.ki22.444.wav,zu,pu,ki,sil,ze,cho,ne,sil1,ni,ro,sil2,['catch'],[0.9876000000090244],[0.9876000000090244],0.444,no_beat,0.5436000000090244,0.5436000000090244,"[""space""]",ki,1,,,,,,,,,,,,,,,6.0,2.0,Catalán,0.0,Castellano,0.0,Francés,4.0,Inglés,5.0,Chino,14.0,Italiano,21.0,5.0,1.0,yes,no,yes,Piano,5,,,"No ha ocurrido nada, todo ha ido muy bien. Solamente querría comentar que me ha salido una ventana emergente de la actualización del sistema durante una fase 3 no recuerdo de qué lenguaje.",51.0,yes
331,2024-03-12_19h11.04.864,Unsyncopated_study3,s141,21.0,masculino,right,España,Catalán y castellano,Upper secondary,no,no,B,3,when,L1,unsyncopated,when,when,75,Online_whenL1//a.ki21.0.wav,ki,ni,cho,sil,fo,ri,lu,sil1,ze,be,sil2,['catch'],[0.4479000000060296],[0.4479000000060296],0.0,beat,0.4479000000060296,0.4479000000060296,"[""space""]",ki,1,,,,,,,,,,,,,,,6.0,2.0,Catalán,0.0,Castellano,0.0,Francés,4.0,Inglés,5.0,Chino,14.0,Italiano,21.0,5.0,1.0,yes,no,yes,Piano,5,,,"No ha ocurrido nada, todo ha ido muy bien. Solamente querría comentar que me ha salido una ventana emergente de la actualización del sistema durante una fase 3 no recuerdo de qué lenguaje.",51.0,yes
332,2024-03-12_19h11.04.864,Unsyncopated_study3,s141,21.0,masculino,right,España,Catalán y castellano,Upper secondary,no,no,B,3,when,L1,unsyncopated,when,when,76,Online_whenL1//a.ki32.1110.wav,cho,ro,ne,sil,ri,ki,zu,sil1,ze,be,sil2,['miss'],,,1.11,no_beat,,,,ki,1,,,,,,,,,,,,,,,6.0,2.0,Catalán,0.0,Castellano,0.0,Francés,4.0,Inglés,5.0,Chino,14.0,Italiano,21.0,5.0,1.0,yes,no,yes,Piano,5,,,"No ha ocurrido nada, todo ha ido muy bien. Solamente querría comentar que me ha salido una ventana emergente de la actualización del sistema durante una fase 3 no recuerdo de qué lenguaje.",51.0,yes
333,2024-03-12_19h11.04.864,Unsyncopated_study3,s141,21.0,masculino,right,España,Catalán y castellano,Upper secondary,no,no,B,3,when,L1,unsyncopated,when,when,77,Online_whenL1//a.ki35.none.wav,ne,la,fo,sil,cho,ta,ni,sil1,ri,be,sil2,['-'],,,none,none,,,,ki,1,,,,,,,,,,,,,,,6.0,2.0,Catalán,0.0,Castellano,0.0,Francés,4.0,Inglés,5.0,Chino,14.0,Italiano,21.0,5.0,1.0,yes,no,yes,Piano,5,,,"No ha ocurrido nada, todo ha ido muy bien. Solamente querría comentar que me ha salido una ventana emergente de la actualización del sistema durante una fase 3 no recuerdo de qué lenguaje.",51.0,yes
334,2024-03-12_19h11.04.864,Unsyncopated_study3,s141,21.0,masculino,right,España,Catalán y castellano,Upper secondary,no,no,B,3,when,L1,unsyncopated,when,when,78,Online_whenL1//a.ki34.none.wav,ni,be,ro,sil,fo,cho,pu,sil1,ri,ze,sil2,['-'],,,none,none,,,,ki,1,,,,,,,,,,,,,,,6.0,2.0,Catalán,0.0,Castellano,0.0,Francés,4.0,Inglés,5.0,Chino,14.0,Italiano,21.0,5.0,1.0,yes,no,yes,Piano,5,,,"No ha ocurrido nada, todo ha ido muy bien. Solamente querría comentar que me ha salido una ventana emergente de la actualización del sistema durante una fase 3 no recuerdo de qué lenguaje.",51.0,yes
335,2024-03-12_19h11.04.864,Unsyncopated_study3,s141,21.0,masculino,right,España,Catalán y castellano,Upper secondary,no,no,B,3,when,L1,unsyncopated,when,when,79,Online_whenL1//a.ki33.1332.wav,fa,be,ne,sil,la,ni,ki,sil1,ro,zu,sil2,['catch'],[1.9104999999999563],[1.9104999999999563],1.332,no_beat,0.5784999999999563,0.5784999999999563,"[""space""]",ki,1,,,,,,,,,,,,,,,6.0,2.0,Catalán,0.0,Castellano,0.0,Francés,4.0,Inglés,5.0,Chino,14.0,Italiano,21.0,5.0,1.0,yes,no,yes,Piano,5,,,"No ha ocurrido nada, todo ha ido muy bien. Solamente querría comentar que me ha salido una ventana emergente de la actualización del sistema durante una fase 3 no recuerdo de qué lenguaje.",51.0,yes
336,2024-03-12_19h11.04.864,Unsyncopated_study3,s141,21.0,masculino,right,España,Catalán y castellano,Upper secondary,no,no,B,3,when,L1,unsyncopated,when,when,80,Online_whenL1//d.ne6.444.wav,fo,pu,ne,sil,cho,ro,lu,sil1,ki,zu,sil2,['catch'],[0.911299999997027],[0.911299999997027],0.444,no_beat,0.467299999997027,0.467299999997027,"[""space""]",ne,4,,,,,,,,,,,,,,,6.0,2.0,Catalán,0.0,Castellano,0.0,Francés,4.0,Inglés,5.0,Chino,14.0,Italiano,21.0,5.0,1.0,yes,no,yes,Piano,5,,,"No ha ocurrido nada, todo ha ido muy bien. Solamente querría comentar que me ha salido una ventana emergente de la actualización del sistema durante una fase 3 no recuerdo de qué lenguaje.",51.0,yes
