Unnamed: 0,date,expName,participant,age,sex,hand,residence,native_lang,education_level,lang_deficit,aud_deficit,group,block,condition,language,rhythm,rule structure online,rule type online,order_trial_on,trial_online,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,catch_syll_resp,rts_syll_catch,clean_rts,time_syll,beat_no_beat,catch_rtsTR,catch_rts,syllable_catch.keys,cond_syll,syll_to_catch,test_offline,block_off,condition_off,rhythm_off,rule,rule_str_off,rule_norule,conds_offline,language_off,Partz_no_partm.keys,Partz_no_partm.rt,security_1_7.keys,accuracy,security_1_7.rt,n_lang,n_lang_used,lang_1,age_l1,lang_2,age_l2,lang_3,age_l3,ability_learn_l2,tendence_mix_lan,music_experience,muisc_use,partiture,instr_1,age_M1,instr_2,age_M2,instr_3,age_M3,preguntas_musica1,BMRQ_answer.response,final comment,BMRQ_Score,bilingual
0,2024-05-09_00h08.26.996,Unsyncopated_study3,s149,36.0,masculino,left,España,Español y catalán.,Secondary,no,no,B,1,conjunction_syn,L2,syncopated,s1,r1,0,Online_conjL2_syn//d.si.ñu0.1554.1110.wav,go,su,bi,du,sil,ñu,ba,si,sil1,ño,sil2,['catch'],[1.852999999999156],[1.852999999999156],1.11,no_beat,0.7429999999991559,0.7429999999991559,"[""space""]",ñu,4,testConjL2Syn//cat_viol.r1.s2.0.wav,1.0,conjunction_syn,syncopated,a,s2,no_rule,cat,L2,z,1.602,7.0,0.0,1.688,3.0,3.0,Español,0.0,Catalán,0.0,Inglés,6.0,4.0,2.0,yes,no,yes,Flauta,6,Violín,6,Guitarra,6,1. Cuando comparto música con alguien siento una complicidad especial con aquella persona.,3.0,nada ,54.0,yes
1,2024-05-09_00h08.26.996,Unsyncopated_study3,s149,36.0,masculino,left,España,Español y catalán.,Secondary,no,no,B,1,conjunction_syn,L2,syncopated,s1,r1,1,Online_conjL2_syn//d.si.ñu3.none.none.wav,go,to,cha,du,sil,bi,te,mi,sil1,ño,sil2,['-'],,,none,none,,,,ñu,4,testConjL2Syn//dep_viol.r2.s2.0.wav,1.0,conjunction_syn,syncopated,b,s2,no_rule,dep,L2,z,2.099,6.0,0.0,1.642,3.0,3.0,Español,0.0,Catalán,0.0,Inglés,6.0,4.0,2.0,yes,no,yes,Flauta,6,Violín,6,Guitarra,6,2. En mi tiempo libre apenas escucho música.,5.0,nada ,54.0,yes
2,2024-05-09_00h08.26.996,Unsyncopated_study3,s149,36.0,masculino,left,España,Español y catalán.,Secondary,no,no,B,1,conjunction_syn,L2,syncopated,s1,r1,2,Online_conjL2_syn//d.si.ñu1.none.none.wav,go,te,ba,du,sil,bi,mi,me,sil1,to,sil2,['-'],,,none,none,,,,ñu,4,testConjL2Syn//r1.s1.1.wav,1.0,conjunction_syn,syncopated,a,s1,rule,rule,L2,z,1.76,7.0,1.0,2.128,3.0,3.0,Español,0.0,Catalán,0.0,Inglés,6.0,4.0,2.0,yes,no,yes,Flauta,6,Violín,6,Guitarra,6,3. Algunas canciones me ponen los pelos de punta,0.0,nada ,54.0,yes
3,2024-05-09_00h08.26.996,Unsyncopated_study3,s149,36.0,masculino,left,España,Español y catalán.,Secondary,no,no,B,1,conjunction_syn,L2,syncopated,s1,r2,3,Online_conjL2_syn//d.si.ñu2.none.none.wav,fe,bi,me,ra,sil,te,mi,to,sil1,cha,sil2,['-'],,,none,none,,,,ñu,4,testConjL2Syn//r1.s1.0.wav,1.0,conjunction_syn,syncopated,a,s1,rule,rule,L2,m,4.037,5.0,0.0,1.794,3.0,3.0,Español,0.0,Catalán,0.0,Inglés,6.0,4.0,2.0,yes,no,yes,Flauta,6,Violín,6,Guitarra,6,4. La música me hace compañía cuando estoy solo,4.0,nada ,54.0,yes
4,2024-05-09_00h08.26.996,Unsyncopated_study3,s149,36.0,masculino,left,España,Español y catalán.,Secondary,no,no,B,1,conjunction_syn,L2,syncopated,s2,r1,4,Online_conjL2_syn//c.cha.me16.none.none.wav,mi,ñu,ba,go,sil,to,ño,du,sil1,si,sil2,['-'],,,none,none,,,,me,3,testConjL2Syn//cat_viol.r1.s1.0.wav,1.0,conjunction_syn,syncopated,a,s1,no_rule,cat,L2,m,5.813,4.0,1.0,1.894,3.0,3.0,Español,0.0,Catalán,0.0,Inglés,6.0,4.0,2.0,yes,no,yes,Flauta,6,Violín,6,Guitarra,6,5. No me apetece bailar ni con la música que más me gusta,4.0,nada ,54.0,yes
5,2024-05-09_00h08.26.996,Unsyncopated_study3,s149,36.0,masculino,left,España,Español y catalán.,Secondary,no,no,B,1,conjunction_syn,L2,syncopated,s1,r1,5,Online_conjL2_syn//c.cha.me18.1332.222.wav,go,me,to,du,sil,te,cha,mi,sil1,si,sil2,['catch'],[1.065999999998894],[1.065999999998894],0.222,no_beat,0.8439999999988941,0.8439999999988941,"[""space""]",me,3,testConjL2Syn//time_viol.r2.s1.0.wav,1.0,conjunction_syn,syncopated,b,s1,no_rule,time,L2,z,1.124,6.0,0.0,1.391,3.0,3.0,Español,0.0,Catalán,0.0,Inglés,6.0,4.0,2.0,yes,no,yes,Flauta,6,Violín,6,Guitarra,6,6. La música me hace conectar con la gente,3.0,nada ,54.0,yes
6,2024-05-09_00h08.26.996,Unsyncopated_study3,s149,36.0,masculino,left,España,Español y catalán.,Secondary,no,no,B,1,conjunction_syn,L2,syncopated,s1,r2,6,Online_conjL2_syn//c.cha.me17.1110.222.wav,fe,me,ñu,ra,sil,cha,ba,mi,sil1,te,sil2,['catch'],[2.0750000000007276],[2.0750000000007276],0.222,no_beat,,1.853000000000728,"[""space""]",me,3,testConjL2Syn//r1.s2.0.wav,1.0,conjunction_syn,syncopated,a,s2,rule,rule,L2,z,1.22,6.0,1.0,1.175,3.0,3.0,Español,0.0,Catalán,0.0,Inglés,6.0,4.0,2.0,yes,no,yes,Flauta,6,Violín,6,Guitarra,6,7. Me informo sobre la música que me gusta.,2.0,nada ,54.0,yes
7,2024-05-09_00h08.26.996,Unsyncopated_study3,s149,36.0,masculino,left,España,Español y catalán.,Secondary,no,no,B,1,conjunction_syn,L2,syncopated,s2,r1,7,Online_conjL2_syn//c.cha.me19.none.none.wav,te,ño,ba,go,sil,ñu,si,du,sil1,bi,sil2,['-'],,,none,none,,,,me,3,testConjL2Syn//r1.s2.2.wav,1.0,conjunction_syn,syncopated,a,s2,rule,rule,L2,m,1.275,4.0,0.0,3.337,3.0,3.0,Español,0.0,Catalán,0.0,Inglés,6.0,4.0,2.0,yes,no,yes,Flauta,6,Violín,6,Guitarra,6,8.Me emociono escuchando ciertas canciones.,3.0,nada ,54.0,yes
8,2024-05-09_00h08.26.996,Unsyncopated_study3,s149,36.0,masculino,left,España,Español y catalán.,Secondary,no,no,B,1,conjunction_syn,L2,syncopated,s2,r2,8,Online_conjL2_syn//a.go.du20.none.none.wav,to,ba,me,fe,sil,su,te,ra,sil1,ñu,sil2,['-'],,,none,none,,,,go,1,testConjL2Syn//dep_viol.r1.s2.0.wav,1.0,conjunction_syn,syncopated,a,s2,no_rule,dep,L2,z,2.759,3.0,0.0,7.139,3.0,3.0,Español,0.0,Catalán,0.0,Inglés,6.0,4.0,2.0,yes,no,yes,Flauta,6,Violín,6,Guitarra,6,9.La música me tranquiliza y me relaja.,3.0,nada ,54.0,yes
9,2024-05-09_00h08.26.996,Unsyncopated_study3,s149,36.0,masculino,left,España,Español y catalán.,Secondary,no,no,B,1,conjunction_syn,L2,syncopated,s2,r2,9,Online_conjL2_syn//a.go.du21.none.none.wav,cha,te,to,fe,sil,si,ba,ra,sil1,bi,sil2,['-'],,,none,none,,,,go,1,testConjL2Syn//r2.s2.1.wav,1.0,conjunction_syn,syncopated,b,s2,rule,rule,L2,m,1.174,6.0,0.0,1.573,3.0,3.0,Español,0.0,Catalán,0.0,Inglés,6.0,4.0,2.0,yes,no,yes,Flauta,6,Violín,6,Guitarra,6,10.La música me hace bailar,3.0,nada ,54.0,yes
10,2024-05-09_00h08.26.996,Unsyncopated_study3,s149,36.0,masculino,left,España,Español y catalán.,Secondary,no,no,B,1,conjunction_syn,L2,syncopated,s1,r1,10,Online_conjL2_syn//a.go.du23.0.666.wav,go,te,ba,du,sil,bi,si,su,sil1,ñu,sil2,['catch'],[0.43100000000049477],[0.43100000000049477],0.0,beat,0.4310000000004947,0.4310000000004947,"[""space""]",go,1,testConjL2Syn//dep_viol.r2.s1.0.wav,1.0,conjunction_syn,syncopated,b,s1,no_rule,dep,L2,z,1.449,5.0,0.0,1.995,3.0,3.0,Español,0.0,Catalán,0.0,Inglés,6.0,4.0,2.0,yes,no,yes,Flauta,6,Violín,6,Guitarra,6,11.Busco novedades musicales continuamente,1.0,nada ,54.0,yes
