Unnamed: 0,date,expName,participant,age,sex,hand,residence,native_lang,education_level,lang_deficit,aud_deficit,group,block,condition,language,rhythm,rule structure online,rule type online,order_trial_on,trial_online,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,catch_syll_resp,rts_syll_catch,clean_rts,time_syll,beat_no_beat,catch_rtsTR,catch_rts,syllable_catch.keys,cond_syll,syll_to_catch,test_offline,block_off,condition_off,rhythm_off,rule,rule_str_off,rule_norule,conds_offline,language_off,Partz_no_partm.keys,Partz_no_partm.rt,security_1_7.keys,accuracy,security_1_7.rt,n_lang,n_lang_used,lang_1,age_l1,lang_2,age_l2,lang_3,age_l3,lang_4,age_l4,ability_learn_l2,tendence_mix_lan,music_experience,muisc_use,partiture,instr_1,age_M1,instr_2,age_M2,instr_3,age_M3,preguntas_musica1,BMRQ_answer.response,final comment,BMRQ_Score,bilingual
0,2024-02-04_23h15.00.771,Unsyncopated_study2,s107,23.0,feminino,right,españa,catalan y castellano ,Bachelor degree,no,no,B,1,what,L3,unsyncopated,s2,r2,0,Online_whatL3//d.ji.li29.1554.222.wav,je,li,ga,sil2,ñe,do,ji,sil,sa,gu,sil1,['miss'],,,0.222,no_beat,,,,li,4,testWhatL3Uns//r2.s2.1.wav,1.0,what,unsyncopated,b,s2,rule,rule,L3,z,3.539,6.0,1.0,3.587,4 ,2.0,español,0.0,catalán,0.0,inglés,7.0,francés,9.0,3.0,4.0,yes,no,yes,piano,6,flauta ,6,canto,6,1. Cuando comparto música con alguien siento una complicidad especial con aquella persona.,3.0,  todo genial ,45.0,yes
1,2024-02-04_23h15.00.771,Unsyncopated_study2,s107,23.0,feminino,right,españa,catalan y castellano ,Bachelor degree,no,no,B,1,what,L3,unsyncopated,s2,r2,1,Online_whatL3//d.ji.li30.none.none.wav,gu,di,fu,sil,ñe,je,le,sil1,sa,ko,sil2,['false alarm'],[0.7130000000000791],[0.7130000000000791],none,none,,,"[""space""]",li,4,testWhatL3Uns//dep_viol.r2.s2.0.wav,1.0,what,unsyncopated,b,s2,no_rule,dep,L3,z,1.116,7.0,0.0,1.701,4 ,2.0,español,0.0,catalán,0.0,inglés,7.0,francés,9.0,3.0,4.0,yes,no,yes,piano,6,flauta ,6,canto,6,2. En mi tiempo libre apenas escucho música.,2.0,  todo genial ,45.0,yes
2,2024-02-04_23h15.00.771,Unsyncopated_study2,s107,23.0,feminino,right,españa,catalan y castellano ,Bachelor degree,no,no,B,1,what,L3,unsyncopated,s1,r2,2,Online_whatL3//d.ji.li28.none.none.wav,ñe,ka,di,sil2,sa,le,ko,sil,je,ga,sil1,['-'],,,none,none,,,,li,4,testWhatL3Uns//r1.s2.0.wav,1.0,what,unsyncopated,a,s2,rule,rule,L3,z,1.868,5.0,1.0,2.069,4 ,2.0,español,0.0,catalán,0.0,inglés,7.0,francés,9.0,3.0,4.0,yes,no,yes,piano,6,flauta ,6,canto,6,3. Algunas canciones me ponen los pelos de punta,3.0,  todo genial ,45.0,yes
3,2024-02-04_23h15.00.771,Unsyncopated_study2,s107,23.0,feminino,right,españa,catalan y castellano ,Bachelor degree,no,no,B,1,what,L3,unsyncopated,s1,r1,3,Online_whatL3//d.ji.li31.1332.444.wav,chu,gu,li,sil,mo,ka,ji,sil2,ga,je,sil1,['catch'],[0.9660000000000082],[0.9660000000000082],0.444,no_beat,0.5220000000000082,0.5220000000000082,"[""space""]",li,4,testWhatL3Uns//dep_viol.r1.s2.0.wav,1.0,what,unsyncopated,a,s2,no_rule,dep,L3,m,2.687,4.0,1.0,2.368,4 ,2.0,español,0.0,catalán,0.0,inglés,7.0,francés,9.0,3.0,4.0,yes,no,yes,piano,6,flauta ,6,canto,6,4. La música me hace compañía cuando estoy solo,0.0,  todo genial ,45.0,yes
4,2024-02-04_23h15.00.771,Unsyncopated_study2,s107,23.0,feminino,right,españa,catalan y castellano ,Bachelor degree,no,no,B,1,what,L3,unsyncopated,s2,r2,4,Online_whatL3//a.chu.mo13.none.none.wav,ko,ka,li,sil2,ñe,fu,gu,sil,sa,ji,sil1,['-'],,,none,none,,,,chu,1,testWhatL3Uns//r1.s2.1.wav,1.0,what,unsyncopated,a,s2,rule,rule,L3,z,0.98,7.0,1.0,1.502,4 ,2.0,español,0.0,catalán,0.0,inglés,7.0,francés,9.0,3.0,4.0,yes,no,yes,piano,6,flauta ,6,canto,6,5. No me apetece bailar ni con la música que más me gusta,3.0,  todo genial ,45.0,yes
5,2024-02-04_23h15.00.771,Unsyncopated_study2,s107,23.0,feminino,right,españa,catalan y castellano ,Bachelor degree,no,no,B,1,what,L3,unsyncopated,s1,r1,5,Online_whatL3//a.chu.mo14.0.888.wav,chu,fu,do,sil,mo,ko,je,sil2,ga,ji,sil1,['catch'],[0.3929999999999154],[0.3929999999999154],0.0,beat,0.3929999999999154,0.3929999999999154,"[""space""]",chu,1,testWhatL3Uns//r1.s2.2.wav,1.0,what,unsyncopated,a,s2,rule,rule,L3,m,1.484,3.0,0.0,3.453,4 ,2.0,español,0.0,catalán,0.0,inglés,7.0,francés,9.0,3.0,4.0,yes,no,yes,piano,6,flauta ,6,canto,6,6. La música me hace conectar con la gente,2.0,  todo genial ,45.0,yes
6,2024-02-04_23h15.00.771,Unsyncopated_study2,s107,23.0,feminino,right,españa,catalan y castellano ,Bachelor degree,no,no,B,1,what,L3,unsyncopated,s1,r2,6,Online_whatL3//a.chu.mo15.none.none.wav,ñe,gu,li,sil,sa,ko,ji,sil2,je,ka,sil1,['-'],,,none,none,,,,chu,1,testWhatL3Uns//dep_viol.r1.s1.0.wav,1.0,what,unsyncopated,a,s1,no_rule,dep,L3,z,0.618,6.0,0.0,1.767,4 ,2.0,español,0.0,catalán,0.0,inglés,7.0,francés,9.0,3.0,4.0,yes,no,yes,piano,6,flauta ,6,canto,6,7. Me informo sobre la música que me gusta.,2.0,  todo genial ,45.0,yes
7,2024-02-04_23h15.00.771,Unsyncopated_study2,s107,23.0,feminino,right,españa,catalan y castellano ,Bachelor degree,no,no,B,1,what,L3,unsyncopated,s2,r1,7,Online_whatL3//a.chu.mo12.1110.1998.wav,gu,do,le,sil2,chu,ko,ji,sil,mo,li,sil1,['catch'],[1.6259999999999764],[1.6259999999999764],1.11,no_beat,0.5159999999999763,0.5159999999999763,"[""space""]",chu,1,testWhatL3Uns//r2.s1.1.wav,1.0,what,unsyncopated,b,s1,rule,rule,L3,m,1.968,4.0,0.0,1.768,4 ,2.0,español,0.0,catalán,0.0,inglés,7.0,francés,9.0,3.0,4.0,yes,no,yes,piano,6,flauta ,6,canto,6,8.Me emociono escuchando ciertas canciones.,3.0,  todo genial ,45.0,yes
8,2024-02-04_23h15.00.771,Unsyncopated_study2,s107,23.0,feminino,right,españa,catalan y castellano ,Bachelor degree,no,no,B,1,what,L3,unsyncopated,s1,r1,8,Online_whatL3//b.ñe.sa6.none.none.wav,chu,ji,gu,sil,mo,li,fu,sil2,ka,do,sil1,['-'],,,none,none,,,,sa,2,testWhatL3Uns//r2.s2.0.wav,1.0,what,unsyncopated,b,s2,rule,rule,L3,z,0.367,5.0,1.0,1.77,4 ,2.0,español,0.0,catalán,0.0,inglés,7.0,francés,9.0,3.0,4.0,yes,no,yes,piano,6,flauta ,6,canto,6,9.La música me tranquiliza y me relaja.,3.0,  todo genial ,45.0,yes
9,2024-02-04_23h15.00.771,Unsyncopated_study2,s107,23.0,feminino,right,españa,catalan y castellano ,Bachelor degree,no,no,B,1,what,L3,unsyncopated,s2,r2,9,Online_whatL3//b.ñe.sa5.888.1998.wav,di,je,do,sil,ñe,gu,li,sil2,sa,le,sil1,['catch'],[2.4269999999999072],[2.4269999999999072],1.998,no_beat,0.4289999999999072,0.4289999999999072,"[""space""]",sa,2,testWhatL3Uns//r2.s1.2.wav,1.0,what,unsyncopated,b,s1,rule,rule,L3,z,0.417,5.0,1.0,4.172,4 ,2.0,español,0.0,catalán,0.0,inglés,7.0,francés,9.0,3.0,4.0,yes,no,yes,piano,6,flauta ,6,canto,6,10.La música me hace bailar,2.0,  todo genial ,45.0,yes
