Unnamed: 0,date,expName,participant,age,sex,hand,residence,native_lang,education_level,lang_deficit,aud_deficit,group,block,condition,language,rhythm,rule structure online,rule type online,order_trial_on,trial_online,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,catch_syll_resp,rts_syll_catch,clean_rts,time_syll,beat_no_beat,catch_rtsTR,catch_rts,syllable_catch.keys,cond_syll,syll_to_catch,test_offline,block_off,condition_off,rhythm_off,rule,rule_str_off,rule_norule,conds_offline,language_off,Partz_no_partm.keys,Partz_no_partm.rt,security_1_7.keys,accuracy,security_1_7.rt,n_lang,n_lang_used,lang_1,age_l1,lang_2,age_l2,lang_3,age_l3,ability_learn_l2,tendence_mix_lan,music_experience,muisc_use,partiture,instr_1,age_M1,preguntas_musica1,BMRQ_answer.response,final comment,BMRQ_Score,bilingual
0,2024-04-22_21h18.49.889,Unsyncopated_study3,s139,31.0,feminino,right,España,Catalán y castellano,Doctorate,no,no,B,1,conjunction_syn,L2,syncopated,s1,r1,0,Online_conjL2_syn//a.go.du31.0.666.wav,go,ba,su,du,sil,ñu,si,bi,sil1,me,sil2,['miss'],,,0.0,beat,,,,go,1,testConjL2Syn//r1.s2.1.wav,1.0,conjunction_syn,syncopated,a,s2,rule,rule,L2,z,4.2711,7.0,1.0,7.9546,3.0,2.0,Catalán,0.0,Castellano,0.0,Inglés,5.0,3.0,6.0,yes,no,yes,Flauta,7,1. Cuando comparto música con alguien siento una complicidad especial con aquella persona.,4.0,Nada ,71.0,yes
1,2024-04-22_21h18.49.889,Unsyncopated_study3,s139,31.0,feminino,right,España,Catalán y castellano,Doctorate,no,no,B,1,conjunction_syn,L2,syncopated,s2,r2,1,Online_conjL2_syn//a.go.du30.none.none.wav,to,ñu,me,fe,sil,bi,ño,ra,sil1,su,sil2,['-'],,,none,none,,,,go,1,testConjL2Syn//r1.s1.0.wav,1.0,conjunction_syn,syncopated,a,s1,rule,rule,L2,z,1.1685,7.0,1.0,1.215,3.0,2.0,Catalán,0.0,Castellano,0.0,Inglés,5.0,3.0,6.0,yes,no,yes,Flauta,7,2. En mi tiempo libre apenas escucho música.,5.0,Nada ,71.0,yes
2,2024-04-22_21h18.49.889,Unsyncopated_study3,s139,31.0,feminino,right,España,Catalán y castellano,Doctorate,no,no,B,1,conjunction_syn,L2,syncopated,s2,r2,2,Online_conjL2_syn//a.go.du28.none.none.wav,me,su,ba,fe,sil,mi,to,ra,sil1,cha,sil2,['-'],,,none,none,,,,go,1,testConjL2Syn//r1.s2.2.wav,1.0,conjunction_syn,syncopated,a,s2,rule,rule,L2,z,0.9517,7.0,1.0,0.7684,3.0,2.0,Catalán,0.0,Castellano,0.0,Inglés,5.0,3.0,6.0,yes,no,yes,Flauta,7,3. Algunas canciones me ponen los pelos de punta,4.0,Nada ,71.0,yes
3,2024-04-22_21h18.49.889,Unsyncopated_study3,s139,31.0,feminino,right,España,Catalán y castellano,Doctorate,no,no,B,1,conjunction_syn,L2,syncopated,s1,r1,3,Online_conjL2_syn//a.go.du29.0.666.wav,go,ñu,su,du,sil,si,me,to,sil1,bi,sil2,['catch'],[0.3986000000237482],[0.3986000000237482],0.0,beat,0.3986000000237482,0.3986000000237482,"[""space""]",go,1,testConjL2Syn//dep_viol.r1.s2.0.wav,1.0,conjunction_syn,syncopated,a,s2,no_rule,dep,L2,z,1.0022,7.0,0.0,0.5515,3.0,2.0,Catalán,0.0,Castellano,0.0,Inglés,5.0,3.0,6.0,yes,no,yes,Flauta,7,4. La música me hace compañía cuando estoy solo,4.0,Nada ,71.0,yes
4,2024-04-22_21h18.49.889,Unsyncopated_study3,s139,31.0,feminino,right,España,Catalán y castellano,Doctorate,no,no,B,1,conjunction_syn,L2,syncopated,s1,r2,4,Online_conjL2_syn//c.cha.me21.222.444.wav,fe,cha,me,ra,sil,su,ñu,to,sil1,mi,sil2,['catch'],[2.5121000000237927],[2.5121000000237927],0.444,no_beat,,2.068100000023793,"[""space""]",me,3,testConjL2Syn//r2.s1.0.wav,1.0,conjunction_syn,syncopated,b,s1,rule,rule,L2,z,0.8311,7.0,1.0,0.4683,3.0,2.0,Catalán,0.0,Castellano,0.0,Inglés,5.0,3.0,6.0,yes,no,yes,Flauta,7,5. No me apetece bailar ni con la música que más me gusta,5.0,Nada ,71.0,yes
5,2024-04-22_21h18.49.889,Unsyncopated_study3,s139,31.0,feminino,right,España,Catalán y castellano,Doctorate,no,no,B,1,conjunction_syn,L2,syncopated,s1,r1,5,Online_conjL2_syn//c.cha.me20.none.none.wav,go,mi,si,du,sil,bi,ba,ño,sil1,su,sil2,['false alarm'],[2.0909999999998945],[2.0909999999998945],none,none,,,"[""space""]",me,3,testConjL2Syn//cat_viol.r2.s2.0.wav,1.0,conjunction_syn,syncopated,b,s2,no_rule,cat,L2,z,0.7689,7.0,0.0,0.4838,3.0,2.0,Catalán,0.0,Castellano,0.0,Inglés,5.0,3.0,6.0,yes,no,yes,Flauta,7,6. La música me hace conectar con la gente,3.0,Nada ,71.0,yes
6,2024-04-22_21h18.49.889,Unsyncopated_study3,s139,31.0,feminino,right,España,Catalán y castellano,Doctorate,no,no,B,1,conjunction_syn,L2,syncopated,s1,r1,6,Online_conjL2_syn//c.cha.me22.1554.444.wav,go,bi,me,du,sil,to,ba,cha,sil1,ño,sil2,['miss'],,,0.444,no_beat,,,,me,3,testConjL2Syn//dep_viol.r2.s2.0.wav,1.0,conjunction_syn,syncopated,b,s2,no_rule,dep,L2,z,2.7924,7.0,0.0,0.283,3.0,2.0,Catalán,0.0,Castellano,0.0,Inglés,5.0,3.0,6.0,yes,no,yes,Flauta,7,7. Me informo sobre la música que me gusta.,3.0,Nada ,71.0,yes
7,2024-04-22_21h18.49.889,Unsyncopated_study3,s139,31.0,feminino,right,España,Catalán y castellano,Doctorate,no,no,B,1,conjunction_syn,L2,syncopated,s1,r2,7,Online_conjL2_syn//c.cha.me23.none.none.wav,fe,bi,ñu,ra,sil,ba,su,to,sil1,te,sil2,['-'],,,none,none,,,,me,3,testConjL2Syn//r2.s2.0.wav,1.0,conjunction_syn,syncopated,b,s2,rule,rule,L2,m,2.0327,3.0,0.0,3.9387,3.0,2.0,Catalán,0.0,Castellano,0.0,Inglés,5.0,3.0,6.0,yes,no,yes,Flauta,7,8.Me emociono escuchando ciertas canciones.,4.0,Nada ,71.0,yes
8,2024-04-22_21h18.49.889,Unsyncopated_study3,s139,31.0,feminino,right,España,Catalán y castellano,Doctorate,no,no,B,1,conjunction_syn,L2,syncopated,s2,r2,8,Online_conjL2_syn//d.si.ñu25.none.none.wav,mi,to,ño,fe,sil,bi,ba,ra,sil1,su,sil2,['false alarm'],[1.0648999999762054],[1.0648999999762054],none,none,,,"[""space""]",ñu,4,testConjL2Syn//r2.s1.1.wav,1.0,conjunction_syn,syncopated,b,s1,rule,rule,L2,z,0.5716,7.0,1.0,1.0355,3.0,2.0,Catalán,0.0,Castellano,0.0,Inglés,5.0,3.0,6.0,yes,no,yes,Flauta,7,9.La música me tranquiliza y me relaja.,4.0,Nada ,71.0,yes
9,2024-04-22_21h18.49.889,Unsyncopated_study3,s139,31.0,feminino,right,España,Catalán y castellano,Doctorate,no,no,B,1,conjunction_syn,L2,syncopated,s2,r2,9,Online_conjL2_syn//d.si.ñu24.222.1110.wav,ba,si,cha,fe,sil,ñu,su,ra,sil1,ño,sil2,['catch'],[1.6261000000238255],[1.6261000000238255],1.11,no_beat,0.5161000000238254,0.5161000000238254,"[""space""]",ñu,4,testConjL2Syn//r1.s1.1.wav,1.0,conjunction_syn,syncopated,a,s1,rule,rule,L2,z,0.6694,7.0,1.0,0.3507,3.0,2.0,Catalán,0.0,Castellano,0.0,Inglés,5.0,3.0,6.0,yes,no,yes,Flauta,7,10.La música me hace bailar,4.0,Nada ,71.0,yes
