Unnamed: 0,date,expName,participant,age,sex,hand,residence,native_lang,education_level,lang_deficit,aud_deficit,group,block,condition,language,rhythm,rule structure online,rule type online,order_trial_on,trial_online,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,catch_syll_resp,rts_syll_catch,clean_rts,time_syll,beat_no_beat,catch_rtsTR,catch_rts,syllable_catch.keys,cond_syll,syll_to_catch,test_offline,block_off,condition_off,rhythm_off,rule,rule_str_off,rule_norule,conds_offline,language_off,Partz_no_partm.keys,Partz_no_partm.rt,security_1_7.keys,accuracy,security_1_7.rt,n_lang,n_lang_used,lang_1,age_l1,lang_2,age_l2,lang_3,age_l3,ability_learn_l2,tendence_mix_lan,music_experience,muisc_use,partiture,instr_1,age_M1,instr_2,age_M2,preguntas_musica1,BMRQ_answer.response,final comment,BMRQ_Score,bilingual
0,2023-10-30_18h41.49.248,Unsyncopated1,s27,20.0,feminino,right,España,catalán y castellano,Bachelor degree,no,no,B,1,what,L2,unsyncopated,s2,r2,0,Online_whatL2//d.si.ñu7.1332.0.wav,ñu,to,me,sil,fe,su,si,sil1,ra,bi,sil2,['catch'],[0.84310000002381],[0.84310000002381],0.0,beat,0.84310000002381,0.84310000002381,"[""space""]",ñu,4,testWhatL2Uns//cat_viol.r1.s1.0.wav,1.0,what,unsyncopated,a,s1,no_rule,cat,L2,m,3.9144,3.0,1.0,4.0203,3.0,2 ,catalán,0.0,castellano,0.0,inglés,3.0,3.0,2.0,yes,no,no,flauta,12,guitarra,12,1. Cuando comparto música con alguien siento una complicidad especial con aquella persona.,4.0,nada,82.0,yes
1,2023-10-30_18h41.49.248,Unsyncopated1,s27,20.0,feminino,right,España,catalán y castellano,Bachelor degree,no,no,B,1,what,L2,unsyncopated,s1,r2,1,Online_whatL2//d.si.ñu4.1776.1110.wav,fe,su,to,sil,ra,ñu,cha,sil1,si,me,sil2,['catch'],[2.303699999988055],[2.303699999988055],1.11,no_beat,1.1936999999880549,1.1936999999880549,"[""space""]",ñu,4,testWhatL2Uns//time_viol.r1.s2.0.wav,1.0,what,unsyncopated,a,s2,no_rule,time,L2,z,0.5532,5.0,0.0,3.201,3.0,2 ,catalán,0.0,castellano,0.0,inglés,3.0,3.0,2.0,yes,no,no,flauta,12,guitarra,12,2. En mi tiempo libre apenas escucho música.,5.0,nada,82.0,yes
2,2023-10-30_18h41.49.248,Unsyncopated1,s27,20.0,feminino,right,España,catalán y castellano,Bachelor degree,no,no,B,1,what,L2,unsyncopated,s1,r1,2,Online_whatL2//d.si.ñu5.none.none.wav,go,to,me,sil2,du,mi,ño,sil,ba,su,sil1,['-'],,,none,none,,,,ñu,4,testWhatL2Uns//r2.s1.0.wav,1.0,what,unsyncopated,b,s1,rule,rule,L2,z,0.6171,4.0,1.0,3.2008,3.0,2 ,catalán,0.0,castellano,0.0,inglés,3.0,3.0,2.0,yes,no,no,flauta,12,guitarra,12,3. Algunas canciones me ponen los pelos de punta,4.0,nada,82.0,yes
3,2023-10-30_18h41.49.248,Unsyncopated1,s27,20.0,feminino,right,España,catalán y castellano,Bachelor degree,no,no,B,1,what,L2,unsyncopated,s2,r1,3,Online_whatL2//d.si.ñu6.none.none.wav,te,me,mi,sil2,go,su,to,sil,du,bi,sil1,['-'],,,none,none,,,,ñu,4,testWhatL2Uns//r1.s2.2.wav,1.0,what,unsyncopated,a,s2,rule,rule,L2,m,0.5168,3.0,0.0,2.475,3.0,2 ,catalán,0.0,castellano,0.0,inglés,3.0,3.0,2.0,yes,no,no,flauta,12,guitarra,12,4. La música me hace compañía cuando estoy solo,4.0,nada,82.0,yes
4,2023-10-30_18h41.49.248,Unsyncopated1,s27,20.0,feminino,right,España,catalán y castellano,Bachelor degree,no,no,B,1,what,L2,unsyncopated,s1,r2,4,Online_whatL2//b.fe.ra31.0.888.wav,fe,bi,to,sil,ra,ño,me,sil1,su,te,sil2,['catch'],[1.4851999999880832],[1.4851999999880832],0.888,beat,0.5971999999880832,0.5971999999880832,"[""space""]",ra,2,testWhatL2Uns//r2.s2.1.wav,1.0,what,unsyncopated,b,s2,rule,rule,L2,m,0.2674,5.0,0.0,3.0188,3.0,2 ,catalán,0.0,castellano,0.0,inglés,3.0,3.0,2.0,yes,no,no,flauta,12,guitarra,12,5. No me apetece bailar ni con la música que más me gusta,5.0,nada,82.0,yes
5,2023-10-30_18h41.49.248,Unsyncopated1,s27,20.0,feminino,right,España,catalán y castellano,Bachelor degree,no,no,B,1,what,L2,unsyncopated,s2,r1,5,Online_whatL2//b.fe.ra30.none.none.wav,si,cha,bi,sil,go,ba,to,sil1,du,me,sil2,['-'],,,none,none,,,,ra,2,testWhatL2Uns//r1.s1.0.wav,1.0,what,unsyncopated,a,s1,rule,rule,L2,m,0.3342,5.0,0.0,0.9507,3.0,2 ,catalán,0.0,castellano,0.0,inglés,3.0,3.0,2.0,yes,no,no,flauta,12,guitarra,12,6. La música me hace conectar con la gente,4.0,nada,82.0,yes
6,2023-10-30_18h41.49.248,Unsyncopated1,s27,20.0,feminino,right,España,catalán y castellano,Bachelor degree,no,no,B,1,what,L2,unsyncopated,s1,r2,6,Online_whatL2//b.fe.ra28.0.888.wav,fe,me,mi,sil,ra,cha,bi,sil2,su,to,sil1,['catch'],[1.388099999964254],[1.388099999964254],0.888,beat,0.500099999964254,0.500099999964254,"[""space""]",ra,2,testWhatL2Uns//cat_viol.r2.s2.0.wav,1.0,what,unsyncopated,b,s2,no_rule,cat,L2,m,0.318,4.0,1.0,0.6012,3.0,2 ,catalán,0.0,castellano,0.0,inglés,3.0,3.0,2.0,yes,no,no,flauta,12,guitarra,12,7. Me informo sobre la música que me gusta.,4.0,nada,82.0,yes
7,2023-10-30_18h41.49.248,Unsyncopated1,s27,20.0,feminino,right,España,catalán y castellano,Bachelor degree,no,no,B,1,what,L2,unsyncopated,s2,r2,7,Online_whatL2//b.fe.ra29.1110.1998.wav,ñu,si,cha,sil2,fe,ba,ño,sil,ra,me,sil1,['catch'],[2.596499999999992],[2.596499999999992],1.998,no_beat,0.5984999999999918,0.5984999999999918,"[""space""]",ra,2,testWhatL2Uns//dep_viol.r1.s1.0.wav,1.0,what,unsyncopated,a,s1,no_rule,dep,L2,z,0.6674,6.0,0.0,1.3013,3.0,2 ,catalán,0.0,castellano,0.0,inglés,3.0,3.0,2.0,yes,no,no,flauta,12,guitarra,12,8.Me emociono escuchando ciertas canciones.,4.0,nada,82.0,yes
8,2023-10-30_18h41.49.248,Unsyncopated1,s27,20.0,feminino,right,España,catalán y castellano,Bachelor degree,no,no,B,1,what,L2,unsyncopated,s1,r1,8,Online_whatL2//c.cha.me16.none.none.wav,go,ñu,bi,sil2,du,to,te,sil,ño,mi,sil1,['false alarm'],[0.8834000000357491],[0.8834000000357491],none,none,,,"[""space""]",me,3,testWhatL2Uns//time_viol.r1.s1.0.wav,1.0,what,unsyncopated,a,s1,no_rule,time,L2,m,0.5061,4.0,1.0,0.5674,3.0,2 ,catalán,0.0,castellano,0.0,inglés,3.0,3.0,2.0,yes,no,no,flauta,12,guitarra,12,9.La música me tranquiliza y me relaja.,4.0,nada,82.0,yes
9,2023-10-30_18h41.49.248,Unsyncopated1,s27,20.0,feminino,right,España,catalán y castellano,Bachelor degree,no,no,B,1,what,L2,unsyncopated,s1,r1,9,Online_whatL2//c.cha.me19.none.none.wav,go,su,bi,sil,du,ño,to,sil2,ñu,ba,sil1,['-'],,,none,none,,,,me,3,testWhatL2Uns//r2.s2.2.wav,1.0,what,unsyncopated,b,s2,rule,rule,L2,m,0.3175,6.0,0.0,0.3833,3.0,2 ,catalán,0.0,castellano,0.0,inglés,3.0,3.0,2.0,yes,no,no,flauta,12,guitarra,12,10.La música me hace bailar,4.0,nada,82.0,yes
10,2023-10-30_18h41.49.248,Unsyncopated1,s27,20.0,feminino,right,España,catalán y castellano,Bachelor degree,no,no,B,1,what,L2,unsyncopated,s2,r1,10,Online_whatL2//c.cha.me17.0.444.wav,cha,te,me,sil2,go,bi,ñu,sil,du,mi,sil1,['miss'],,,0.444,no_beat,,,,me,3,testWhatL2Uns//dep_viol.r2.s1.0.wav,1.0,what,unsyncopated,b,s1,no_rule,dep,L2,z,0.4164,3.0,0.0,0.7001,3.0,2 ,catalán,0.0,castellano,0.0,inglés,3.0,3.0,2.0,yes,no,no,flauta,12,guitarra,12,11.Busco novedades musicales continuamente,4.0,nada,82.0,yes
