Unnamed: 0,date,expName,participant,age,sex,hand,residence,native_lang,education_level,lang_deficit,aud_deficit,group,block,condition,language,rhythm,rule structure online,rule type online,order_trial_on,trial_online,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,catch_syll_resp,rts_syll_catch,clean_rts,time_syll,beat_no_beat,catch_rtsTR,catch_rts,syllable_catch.keys,cond_syll,syll_to_catch,test_offline,block_off,condition_off,rhythm_off,rule,rule_str_off,rule_norule,conds_offline,language_off,Partz_no_partm.keys,Partz_no_partm.rt,security_1_7.keys,accuracy,security_1_7.rt,n_lang,n_lang_used,lang_1,age_l1,lang_2,age_l2,lang_3,age_l3,lang_4,age_l4,lang_5,ability_learn_l2,tendence_mix_lan,music_experience,muisc_use,partiture,instr_1,age_M1,preguntas_musica1,BMRQ_answer.response,final comment,BMRQ_Score,bilingual
427,2024-04-28_14h48.04.519,Experiment4_uns,s174,24 ,feminino,right,españa,"catalan,español, ",Bachelor degree,no,no,B,4,conjunction_syn,L3,syncopated,s1,r1,35,Online_conjL3_syn//d.ji.li1.1554.444.wav,chu,gu,li,mo,sil,ga,je,ji,sil1,do,sil2,['miss'],,,0.444,no_beat,,,,li,4,,,,,,,,,,,,,,,5.0,2 o 3,español,2.0,catalan,2.0,urdu,4.0,punjabi,4.0,ingles,3.0,3.0,no,no,no,no,,,, ha estabo bien ,53.0,yes
428,2024-04-28_14h48.04.519,Experiment4_uns,s174,24 ,feminino,right,españa,"catalan,español, ",Bachelor degree,no,no,B,4,conjunction_syn,L3,syncopated,s1,r1,36,Online_conjL3_syn//d.ji.li6.none.none.wav,chu,je,fu,mo,sil,ka,ga,le,sil1,do,sil2,['-'],,,none,none,,,,li,4,,,,,,,,,,,,,,,5.0,2 o 3,español,2.0,catalan,2.0,urdu,4.0,punjabi,4.0,ingles,3.0,3.0,no,no,no,no,,,, ha estabo bien ,53.0,yes
429,2024-04-28_14h48.04.519,Experiment4_uns,s174,24 ,feminino,right,españa,"catalan,español, ",Bachelor degree,no,no,B,4,conjunction_syn,L3,syncopated,s1,r2,37,Online_conjL3_syn//d.ji.li5.1332.222.wav,ñe,li,do,sa,sil,le,ji,di,sil1,ko,sil2,['miss'],,,0.222,no_beat,,,,li,4,,,,,,,,,,,,,,,5.0,2 o 3,español,2.0,catalan,2.0,urdu,4.0,punjabi,4.0,ingles,3.0,3.0,no,no,no,no,,,, ha estabo bien ,53.0,yes
430,2024-04-28_14h48.04.519,Experiment4_uns,s174,24 ,feminino,right,españa,"catalan,español, ",Bachelor degree,no,no,B,4,conjunction_syn,L3,syncopated,s2,r1,38,Online_conjL3_syn//d.ji.li7.1332.0.wav,li,ko,di,chu,sil,le,ji,mo,sil1,do,sil2,['catch'],[0.6207999999969616],[0.6207999999969616],0.0,beat,0.6207999999969616,0.6207999999969616,"[""space""]",li,4,,,,,,,,,,,,,,,5.0,2 o 3,español,2.0,catalan,2.0,urdu,4.0,punjabi,4.0,ingles,3.0,3.0,no,no,no,no,,,, ha estabo bien ,53.0,yes
431,2024-04-28_14h48.04.519,Experiment4_uns,s174,24 ,feminino,right,españa,"catalan,español, ",Bachelor degree,no,no,B,4,conjunction_syn,L3,syncopated,s2,r1,39,Online_conjL3_syn//d.ji.li4.0.222.wav,ji,li,ka,chu,sil,le,di,mo,sil1,gu,sil2,['miss'],,,0.222,no_beat,,,,li,4,,,,,,,,,,,,,,,5.0,2 o 3,español,2.0,catalan,2.0,urdu,4.0,punjabi,4.0,ingles,3.0,3.0,no,no,no,no,,,, ha estabo bien ,53.0,yes
432,2024-04-28_14h48.04.519,Experiment4_uns,s174,24 ,feminino,right,españa,"catalan,español, ",Bachelor degree,no,no,B,4,conjunction_syn,L3,syncopated,s2,r2,40,Online_conjL3_syn//d.ji.li22.0.1110.wav,ji,do,le,ñe,sil,li,ga,sa,sil1,je,sil2,['miss'],,,1.11,no_beat,,,,li,4,,,,,,,,,,,,,,,5.0,2 o 3,español,2.0,catalan,2.0,urdu,4.0,punjabi,4.0,ingles,3.0,3.0,no,no,no,no,,,, ha estabo bien ,53.0,yes
433,2024-04-28_14h48.04.519,Experiment4_uns,s174,24 ,feminino,right,españa,"catalan,español, ",Bachelor degree,no,no,B,4,conjunction_syn,L3,syncopated,s2,r1,41,Online_conjL3_syn//d.ji.li21.none.none.wav,ko,gu,je,chu,sil,ka,ga,mo,sil1,di,sil2,['-'],,,none,none,,,,li,4,,,,,,,,,,,,,,,5.0,2 o 3,español,2.0,catalan,2.0,urdu,4.0,punjabi,4.0,ingles,3.0,3.0,no,no,no,no,,,, ha estabo bien ,53.0,yes
434,2024-04-28_14h48.04.519,Experiment4_uns,s174,24 ,feminino,right,españa,"catalan,español, ",Bachelor degree,no,no,B,4,conjunction_syn,L3,syncopated,s2,r1,42,Online_conjL3_syn//d.ji.li20.none.none.wav,di,le,ko,chu,sil,ka,do,mo,sil1,gu,sil2,['false alarm'],[0.6234000000063133],[0.6234000000063133],none,none,,,"[""space""]",li,4,,,,,,,,,,,,,,,5.0,2 o 3,español,2.0,catalan,2.0,urdu,4.0,punjabi,4.0,ingles,3.0,3.0,no,no,no,no,,,, ha estabo bien ,53.0,yes
435,2024-04-28_14h48.04.519,Experiment4_uns,s174,24 ,feminino,right,españa,"catalan,español, ",Bachelor degree,no,no,B,4,conjunction_syn,L3,syncopated,s1,r2,43,Online_conjL3_syn//d.ji.li23.none.none.wav,ñe,ga,ko,sa,sil,fu,do,le,sil1,gu,sil2,['-'],,,none,none,,,,li,4,,,,,,,,,,,,,,,5.0,2 o 3,español,2.0,catalan,2.0,urdu,4.0,punjabi,4.0,ingles,3.0,3.0,no,no,no,no,,,, ha estabo bien ,53.0,yes
436,2024-04-28_14h48.04.519,Experiment4_uns,s174,24 ,feminino,right,españa,"catalan,español, ",Bachelor degree,no,no,B,4,conjunction_syn,L3,syncopated,s1,r1,44,Online_conjL3_syn//d.ji.li14.444.1332.wav,chu,gu,ji,mo,sil,do,li,fu,sil1,le,sil2,['miss'],,,1.332,no_beat,,,,li,4,,,,,,,,,,,,,,,5.0,2 o 3,español,2.0,catalan,2.0,urdu,4.0,punjabi,4.0,ingles,3.0,3.0,no,no,no,no,,,, ha estabo bien ,53.0,yes
