Unnamed: 0,date,expName,participant,age,sex,hand,residence,native_lang,education_level,lang_deficit,aud_deficit,group,block,condition,language,rhythm,rule structure online,rule type online,order_trial_on,trial_online,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,catch_syll_resp,rts_syll_catch,clean_rts,time_syll,beat_no_beat,catch_rtsTR,catch_rts,syllable_catch.keys,cond_syll,syll_to_catch,test_offline,block_off,condition_off,rhythm_off,rule,rule_str_off,rule_norule,conds_offline,language_off,Partz_no_partm.keys,Partz_no_partm.rt,security_1_7.keys,accuracy,security_1_7.rt,n_lang,n_lang_used,lang_1,age_l1,lang_2,age_l2,ability_learn_l2,tendence_mix_lan,music_experience,muisc_use,partiture,instr_1,age_M1,preguntas_musica1,BMRQ_answer.response,BMRQ_Score,bilingual
310,2023-07-30_17h24.25.873,Unsyncopated1,s4,30 ,feminino,right, España,CatalánCastellano,Upper secondary,no,yes,A,3,when,L3,unsyncopated,when,when,54,Online_whenL3//d.ji15.444.wav,ga,do,ji,sil,mo,sa,ko,sil1,fu,gu,sil2,"['catch', 'false alarm']","[0.5644999999999527, 1.43019999998819]",[0.5644999999999527],0.444,no_beat,0.1204999999999527,0.1204999999999527,"[""space"",""space""]",ji,4,,,,,,,,,,,,,,,2 ,2.0,catalan,6.0,castellano,0.0,3.0,4.0,yes,no,yes,piano,10,,,59.0,yes
311,2023-07-30_17h24.25.873,Unsyncopated1,s4,30 ,feminino,right, España,CatalánCastellano,Upper secondary,no,yes,A,3,when,L3,unsyncopated,when,when,55,Online_whenL3//d.ji12.1332.wav,sa,le,gu,sil,ka,ga,ji,sil1,di,mo,sil2,['miss'],,,1.332,no_beat,,,,ji,4,,,,,,,,,,,,,,,2 ,2.0,catalan,6.0,castellano,0.0,3.0,4.0,yes,no,yes,piano,10,,,59.0,yes
312,2023-07-30_17h24.25.873,Unsyncopated1,s4,30 ,feminino,right, España,CatalánCastellano,Upper secondary,no,yes,A,3,when,L3,unsyncopated,when,when,56,Online_whenL3//d.ji25.none.wav,do,li,je,sil,fu,ka,mo,sil1,ñe,di,sil2,['-'],,,none,none,,,,ji,4,,,,,,,,,,,,,,,2 ,2.0,catalan,6.0,castellano,0.0,3.0,4.0,yes,no,yes,piano,10,,,59.0,yes
313,2023-07-30_17h24.25.873,Unsyncopated1,s4,30 ,feminino,right, España,CatalánCastellano,Upper secondary,no,yes,A,3,when,L3,unsyncopated,when,when,57,Online_whenL3//d.ji24.1998.wav,do,sa,gu,sil,li,chu,ka,sil1,ko,ji,sil2,['miss'],,,1.998,no_beat,,,,ji,4,,,,,,,,,,,,,,,2 ,2.0,catalan,6.0,castellano,0.0,3.0,4.0,yes,no,yes,piano,10,,,59.0,yes
314,2023-07-30_17h24.25.873,Unsyncopated1,s4,30 ,feminino,right, España,CatalánCastellano,Upper secondary,no,yes,A,3,when,L3,unsyncopated,when,when,58,Online_whenL3//d.ji27.none.wav,chu,ka,di,sil,ñe,je,fu,sil1,do,gu,sil2,['-'],,,none,none,,,,ji,4,,,,,,,,,,,,,,,2 ,2.0,catalan,6.0,castellano,0.0,3.0,4.0,yes,no,yes,piano,10,,,59.0,yes
315,2023-07-30_17h24.25.873,Unsyncopated1,s4,30 ,feminino,right, España,CatalánCastellano,Upper secondary,no,yes,A,3,when,L3,unsyncopated,when,when,59,Online_whenL3//d.ji26.none.wav,chu,fu,je,sil,ko,gu,ka,sil1,mo,di,sil2,['-'],,,none,none,,,,ji,4,,,,,,,,,,,,,,,2 ,2.0,catalan,6.0,castellano,0.0,3.0,4.0,yes,no,yes,piano,10,,,59.0,yes
316,2023-07-30_17h24.25.873,Unsyncopated1,s4,30 ,feminino,right, España,CatalánCastellano,Upper secondary,no,yes,A,3,when,L3,unsyncopated,when,when,60,Online_whenL3//c.gu15.none.wav,je,chu,li,sil,mo,ko,di,sil1,ji,do,sil2,['-'],,,none,none,,,,gu,3,,,,,,,,,,,,,,,2 ,2.0,catalan,6.0,castellano,0.0,3.0,4.0,yes,no,yes,piano,10,,,59.0,yes
317,2023-07-30_17h24.25.873,Unsyncopated1,s4,30 ,feminino,right, España,CatalánCastellano,Upper secondary,no,yes,A,3,when,L3,unsyncopated,when,when,61,Online_whenL3//c.gu13.none.wav,ñe,ko,chu,sil,di,je,fu,sil1,do,le,sil2,['-'],,,none,none,,,,gu,3,,,,,,,,,,,,,,,2 ,2.0,catalan,6.0,castellano,0.0,3.0,4.0,yes,no,yes,piano,10,,,59.0,yes
318,2023-07-30_17h24.25.873,Unsyncopated1,s4,30 ,feminino,right, España,CatalánCastellano,Upper secondary,no,yes,A,3,when,L3,unsyncopated,when,when,62,Online_whenL3//c.gu12.0.wav,gu,sa,ji,sil,je,ko,do,sil1,le,chu,sil2,['miss'],,,0.0,beat,,,,gu,3,,,,,,,,,,,,,,,2 ,2.0,catalan,6.0,castellano,0.0,3.0,4.0,yes,no,yes,piano,10,,,59.0,yes
319,2023-07-30_17h24.25.873,Unsyncopated1,s4,30 ,feminino,right, España,CatalánCastellano,Upper secondary,no,yes,A,3,when,L3,unsyncopated,when,when,63,Online_whenL3//c.gu14.444.wav,ka,le,gu,sil,chu,mo,do,sil1,fu,ji,sil2,['miss'],,,0.444,no_beat,,,,gu,3,,,,,,,,,,,,,,,2 ,2.0,catalan,6.0,castellano,0.0,3.0,4.0,yes,no,yes,piano,10,,,59.0,yes
