Unnamed: 0,date,expName,participant,age,sex,hand,residence,native_lang,education_level,lang_deficit,aud_deficit,group,block,condition,language,rhythm,rule structure online,rule type online,order_trial_on,trial_online,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,catch_syll_resp,rts_syll_catch,clean_rts,time_syll,beat_no_beat,catch_rtsTR,catch_rts,syllable_catch.keys,cond_syll,syll_to_catch,test_offline,block_off,condition_off,rhythm_off,rule,rule_str_off,rule_norule,conds_offline,language_off,Partz_no_partm.keys,Partz_no_partm.rt,security_1_7.keys,accuracy,security_1_7.rt,n_lang,n_lang_used,lang_1,age_l1,lang_2,age_l2,lang_3,age_l3,lang_4,age_l4,ability_learn_l2,tendence_mix_lan,music_experience,muisc_use,partiture,instr_1,age_M1,preguntas_musica1,BMRQ_answer.response,final comment,BMRQ_Score,bilingual
254,2024-01-16_09h55.46.063,Unsyncopated_study2,s89,21.0,feminino,right,España,CatalanCastellano,Upper secondary,no,no,A,2,conjunction_syn,L1,syncopated,s2,r1,126,Online_conjL1_syn//d.ne.ni19.none.none.wav,la,ro,cho,pu,sil,ri,zu,ki,sil1,fo,sil2,['-'],,,none,none,,,,ne,4,,,,,,,,,,,,,,,3.0,3.0,Catalan,0.0,Castellano,0.0,Ingles,5.0,Aleman,18.0,4.0,1.0,no,no,no,nada,,,,nada,74.0,yes
255,2024-01-16_09h55.46.063,Unsyncopated_study2,s89,21.0,feminino,right,España,CatalanCastellano,Upper secondary,no,no,A,2,conjunction_syn,L1,syncopated,s2,r2,127,Online_conjL1_syn//d.ne.ni17.none.none.wav,ze,lu,ri,ta,sil,fo,cho,be,sil1,fa,sil2,['-'],,,none,none,,,,ne,4,,,,,,,,,,,,,,,3.0,3.0,Catalan,0.0,Castellano,0.0,Ingles,5.0,Aleman,18.0,4.0,1.0,no,no,no,nada,,,,nada,74.0,yes
256,2024-01-16_09h55.46.063,Unsyncopated_study2,s89,21.0,feminino,right,España,CatalanCastellano,Upper secondary,no,no,A,3,what,L3,unsyncopated,s2,r1,0,Online_whatL3//c.gu.je20.0.1110.wav,gu,li,ko,sil,chu,je,ga,sil2,mo,le,sil1,['miss'],,,0.0,beat,,,,gu,3,,,,,,,,,,,,,,,3.0,3.0,Catalan,0.0,Castellano,0.0,Ingles,5.0,Aleman,18.0,4.0,1.0,no,no,no,nada,,,,nada,74.0,yes
257,2024-01-16_09h55.46.063,Unsyncopated_study2,s89,21.0,feminino,right,España,CatalanCastellano,Upper secondary,no,no,A,3,what,L3,unsyncopated,s1,r2,1,Online_whatL3//c.gu.je23.222.1110.wav,ñe,gu,li,sil,sa,je,do,sil2,ka,ko,sil1,['miss'],,,0.222,no_beat,,,,gu,3,,,,,,,,,,,,,,,3.0,3.0,Catalan,0.0,Castellano,0.0,Ingles,5.0,Aleman,18.0,4.0,1.0,no,no,no,nada,,,,nada,74.0,yes
258,2024-01-16_09h55.46.063,Unsyncopated_study2,s89,21.0,feminino,right,España,CatalanCastellano,Upper secondary,no,no,A,3,what,L3,unsyncopated,s1,r1,2,Online_whatL3//c.gu.je21.1332.444.wav,chu,li,je,sil,mo,ka,gu,sil1,do,ga,sil2,['catch'],[2.112600000024031],[2.112600000024031],1.332,no_beat,0.780600000024031,0.780600000024031,"[""space""]",gu,3,,,,,,,,,,,,,,,3.0,3.0,Catalan,0.0,Castellano,0.0,Ingles,5.0,Aleman,18.0,4.0,1.0,no,no,no,nada,,,,nada,74.0,yes
259,2024-01-16_09h55.46.063,Unsyncopated_study2,s89,21.0,feminino,right,España,CatalanCastellano,Upper secondary,no,no,A,3,what,L3,unsyncopated,s2,r2,3,Online_whatL3//c.gu.je22.0.444.wav,gu,li,je,sil2,ñe,ji,ko,sil,sa,ga,sil1,['catch'],[0.9974999999999454],[0.9974999999999454],0.0,beat,0.9974999999999454,0.9974999999999454,"[""space""]",gu,3,,,,,,,,,,,,,,,3.0,3.0,Catalan,0.0,Castellano,0.0,Ingles,5.0,Aleman,18.0,4.0,1.0,no,no,no,nada,,,,nada,74.0,yes
260,2024-01-16_09h55.46.063,Unsyncopated_study2,s89,21.0,feminino,right,España,CatalanCastellano,Upper secondary,no,no,A,3,what,L3,unsyncopated,s2,r2,4,Online_whatL3//c.gu.je18.none.none.wav,ko,do,ji,sil,ñe,li,ga,sil2,sa,di,sil1,['-'],,,none,none,,,,gu,3,,,,,,,,,,,,,,,3.0,3.0,Catalan,0.0,Castellano,0.0,Ingles,5.0,Aleman,18.0,4.0,1.0,no,no,no,nada,,,,nada,74.0,yes
261,2024-01-16_09h55.46.063,Unsyncopated_study2,s89,21.0,feminino,right,España,CatalanCastellano,Upper secondary,no,no,A,3,what,L3,unsyncopated,s1,r2,5,Online_whatL3//c.gu.je17.none.none.wav,ñe,ga,li,sil2,sa,ko,ji,sil,do,ka,sil1,['-'],,,none,none,,,,gu,3,,,,,,,,,,,,,,,3.0,3.0,Catalan,0.0,Castellano,0.0,Ingles,5.0,Aleman,18.0,4.0,1.0,no,no,no,nada,,,,nada,74.0,yes
262,2024-01-16_09h55.46.063,Unsyncopated_study2,s89,21.0,feminino,right,España,CatalanCastellano,Upper secondary,no,no,A,3,what,L3,unsyncopated,s2,r2,6,Online_whatL3//c.gu.je19.0.1110.wav,gu,do,li,sil,ñe,je,ji,sil2,sa,di,sil1,['miss'],,,0.0,beat,,,,gu,3,,,,,,,,,,,,,,,3.0,3.0,Catalan,0.0,Castellano,0.0,Ingles,5.0,Aleman,18.0,4.0,1.0,no,no,no,nada,,,,nada,74.0,yes
263,2024-01-16_09h55.46.063,Unsyncopated_study2,s89,21.0,feminino,right,España,CatalanCastellano,Upper secondary,no,no,A,3,what,L3,unsyncopated,s1,r1,7,Online_whatL3//c.gu.je16.1332.444.wav,chu,fu,je,sil,mo,di,gu,sil1,li,ko,sil2,['miss'],,,1.332,no_beat,,,,gu,3,,,,,,,,,,,,,,,3.0,3.0,Catalan,0.0,Castellano,0.0,Ingles,5.0,Aleman,18.0,4.0,1.0,no,no,no,nada,,,,nada,74.0,yes
