Unnamed: 0,date,expName,participant,age,sex,hand,residence,native_lang,education_level,lang_deficit,aud_deficit,group,block,condition,language,rhythm,rule structure online,rule type online,order_trial_on,trial_online,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,catch_syll_resp,rts_syll_catch,clean_rts,time_syll,beat_no_beat,catch_rtsTR,catch_rts,syllable_catch.keys,cond_syll,syll_to_catch,test_offline,block_off,condition_off,rhythm_off,rule,rule_str_off,rule_norule,conds_offline,language_off,Partz_no_partm.keys,Partz_no_partm.rt,security_1_7.keys,accuracy,security_1_7.rt,n_lang,n_lang_used,lang_1,age_l1,lang_2,age_l2,lang_3,age_l3,ability_learn_l2,tendence_mix_lan,music_experience,muisc_use,partiture,instr_1,age_M1,instr_2,age_M2,instr_3,age_M3,preguntas_musica1,BMRQ_answer.response,final comment,BMRQ_Score,bilingual
341,2024-04-13_18h18.46.940,Experiment4_uns,s162,21.0,feminino,right,España,CatalánEspañol,Bachelor degree,no,no,A,3,when,L2,unsyncopated,when,when,85,Online_whenL2//c.cha16.none.wav,te,su,to,sil,du,ra,me,sil1,si,mi,sil2,['-'],,,none,none,,,,cha,3,,,,,,,,,,,,,,,3.0,2.0,Catalán,0.0,Español,3.0,Inglés,6.0,4.0,3.0,yes,no,yes,Piano,5,Clarinete,5,Canto,5,,,Durante el último lenguaje mi cabeza ya estaba muy cansada y he empezado a tener un dolor de cabeza muy leve. ,61.0,yes
342,2024-04-13_18h18.46.940,Experiment4_uns,s162,21.0,feminino,right,España,CatalánEspañol,Bachelor degree,no,no,A,3,when,L2,unsyncopated,when,when,86,Online_whenL2//c.cha17.none.wav,te,ñu,su,sil,mi,go,me,sil1,ra,si,sil2,['-'],,,none,none,,,,cha,3,,,,,,,,,,,,,,,3.0,2.0,Catalán,0.0,Español,3.0,Inglés,6.0,4.0,3.0,yes,no,yes,Piano,5,Clarinete,5,Canto,5,,,Durante el último lenguaje mi cabeza ya estaba muy cansada y he empezado a tener un dolor de cabeza muy leve. ,61.0,yes
343,2024-04-13_18h18.46.940,Experiment4_uns,s162,21.0,feminino,right,España,CatalánEspañol,Bachelor degree,no,no,A,3,when,L2,unsyncopated,when,when,87,Online_whenL2//c.cha18.1776.wav,ra,ñu,ño,sil,si,to,te,sil1,cha,du,sil2,['catch'],[2.571899999991274],[2.571899999991274],1.776,beat,0.7958999999912739,0.7958999999912739,"[""space""]",cha,3,,,,,,,,,,,,,,,3.0,2.0,Catalán,0.0,Español,3.0,Inglés,6.0,4.0,3.0,yes,no,yes,Piano,5,Clarinete,5,Canto,5,,,Durante el último lenguaje mi cabeza ya estaba muy cansada y he empezado a tener un dolor de cabeza muy leve. ,61.0,yes
344,2024-04-13_18h18.46.940,Experiment4_uns,s162,21.0,feminino,right,España,CatalánEspañol,Bachelor degree,no,no,A,3,when,L2,unsyncopated,when,when,88,Online_whenL2//b.fe17.222.wav,te,fe,ño,sil,su,mi,ra,sil1,si,ñu,sil2,['catch'],[0.9845999999938613],[0.9845999999938613],0.222,no_beat,0.7625999999938613,0.7625999999938613,"[""space""]",fe,1,,,,,,,,,,,,,,,3.0,2.0,Catalán,0.0,Español,3.0,Inglés,6.0,4.0,3.0,yes,no,yes,Piano,5,Clarinete,5,Canto,5,,,Durante el último lenguaje mi cabeza ya estaba muy cansada y he empezado a tener un dolor de cabeza muy leve. ,61.0,yes
345,2024-04-13_18h18.46.940,Experiment4_uns,s162,21.0,feminino,right,España,CatalánEspañol,Bachelor degree,no,no,A,3,when,L2,unsyncopated,when,when,89,Online_whenL2//b.fe19.none.wav,ño,ra,su,sil,cha,du,to,sil1,si,me,sil2,['-'],,,none,none,,,,fe,1,,,,,,,,,,,,,,,3.0,2.0,Catalán,0.0,Español,3.0,Inglés,6.0,4.0,3.0,yes,no,yes,Piano,5,Clarinete,5,Canto,5,,,Durante el último lenguaje mi cabeza ya estaba muy cansada y he empezado a tener un dolor de cabeza muy leve. ,61.0,yes
346,2024-04-13_18h18.46.940,Experiment4_uns,s162,21.0,feminino,right,España,CatalánEspañol,Bachelor degree,no,no,A,3,when,L2,unsyncopated,when,when,90,Online_whenL2//b.fe18.none.wav,mi,go,su,sil,ba,ra,si,sil1,cha,bi,sil2,['-'],,,none,none,,,,fe,1,,,,,,,,,,,,,,,3.0,2.0,Catalán,0.0,Español,3.0,Inglés,6.0,4.0,3.0,yes,no,yes,Piano,5,Clarinete,5,Canto,5,,,Durante el último lenguaje mi cabeza ya estaba muy cansada y he empezado a tener un dolor de cabeza muy leve. ,61.0,yes
347,2024-04-13_18h18.46.940,Experiment4_uns,s162,21.0,feminino,right,España,CatalánEspañol,Bachelor degree,no,no,A,3,when,L2,unsyncopated,when,when,91,Online_whenL2//b.fe16.1998.wav,cha,ba,te,sil,ra,ño,si,sil1,me,fe,sil2,['catch'],[2.6215000000001965],[2.6215000000001965],1.998,no_beat,0.6235000000001965,0.6235000000001965,"[""space""]",fe,1,,,,,,,,,,,,,,,3.0,2.0,Catalán,0.0,Español,3.0,Inglés,6.0,4.0,3.0,yes,no,yes,Piano,5,Clarinete,5,Canto,5,,,Durante el último lenguaje mi cabeza ya estaba muy cansada y he empezado a tener un dolor de cabeza muy leve. ,61.0,yes
348,2024-04-13_18h18.46.940,Experiment4_uns,s162,21.0,feminino,right,España,CatalánEspañol,Bachelor degree,no,no,A,3,when,L2,unsyncopated,when,when,92,Online_whenL2//a.du20.none.wav,su,go,te,sil,ra,si,bi,sil1,ñu,cha,sil2,['-'],,,none,none,,,,du,2,,,,,,,,,,,,,,,3.0,2.0,Catalán,0.0,Español,3.0,Inglés,6.0,4.0,3.0,yes,no,yes,Piano,5,Clarinete,5,Canto,5,,,Durante el último lenguaje mi cabeza ya estaba muy cansada y he empezado a tener un dolor de cabeza muy leve. ,61.0,yes
349,2024-04-13_18h18.46.940,Experiment4_uns,s162,21.0,feminino,right,España,CatalánEspañol,Bachelor degree,no,no,A,3,when,L2,unsyncopated,when,when,93,Online_whenL2//a.du21.none.wav,cha,si,bi,sil,ñu,ra,ño,sil1,ba,go,sil2,['-'],,,none,none,,,,du,2,,,,,,,,,,,,,,,3.0,2.0,Catalán,0.0,Español,3.0,Inglés,6.0,4.0,3.0,yes,no,yes,Piano,5,Clarinete,5,Canto,5,,,Durante el último lenguaje mi cabeza ya estaba muy cansada y he empezado a tener un dolor de cabeza muy leve. ,61.0,yes
350,2024-04-13_18h18.46.940,Experiment4_uns,s162,21.0,feminino,right,España,CatalánEspañol,Bachelor degree,no,no,A,3,when,L2,unsyncopated,when,when,94,Online_whenL2//a.du23.888.wav,si,fe,to,sil,du,su,ño,sil1,me,ba,sil2,['catch'],[1.63799999999992],[1.63799999999992],0.888,beat,0.74999999999992,0.74999999999992,"[""space""]",du,2,,,,,,,,,,,,,,,3.0,2.0,Catalán,0.0,Español,3.0,Inglés,6.0,4.0,3.0,yes,no,yes,Piano,5,Clarinete,5,Canto,5,,,Durante el último lenguaje mi cabeza ya estaba muy cansada y he empezado a tener un dolor de cabeza muy leve. ,61.0,yes
351,2024-04-13_18h18.46.940,Experiment4_uns,s162,21.0,feminino,right,España,CatalánEspañol,Bachelor degree,no,no,A,3,when,L2,unsyncopated,when,when,95,Online_whenL2//a.du22.444.wav,me,fe,du,sil,to,ba,te,sil1,su,ñu,sil2,['catch'],[1.1787999999969543],[1.1787999999969543],0.444,no_beat,0.7347999999969543,0.7347999999969543,"[""space""]",du,2,,,,,,,,,,,,,,,3.0,2.0,Catalán,0.0,Español,3.0,Inglés,6.0,4.0,3.0,yes,no,yes,Piano,5,Clarinete,5,Canto,5,,,Durante el último lenguaje mi cabeza ya estaba muy cansada y he empezado a tener un dolor de cabeza muy leve. ,61.0,yes
