Unnamed: 0,date,expName,participant,age,sex,hand,residence,native_lang,education_level,lang_deficit,aud_deficit,group,block,condition,language,rhythm,rule structure online,rule type online,order_trial_on,trial_online,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,catch_syll_resp,rts_syll_catch,clean_rts,time_syll,beat_no_beat,catch_rtsTR,catch_rts,syllable_catch.keys,cond_syll,syll_to_catch,test_offline,block_off,condition_off,rhythm_off,rule,rule_str_off,rule_norule,conds_offline,language_off,Partz_no_partm.keys,Partz_no_partm.rt,security_1_7.keys,accuracy,security_1_7.rt,n_lang,n_lang_used,lang_1,age_l1,lang_2,age_l2,lang_3,age_l3,ability_learn_l2,tendence_mix_lan,music_experience,muisc_use,partiture,instr_1,age_M1,instr_2,age_M2,instr_3,age_M3,preguntas_musica1,BMRQ_answer.response,BMRQ_Score,bilingual
451,2024-02-10_09h59.33.855,Unsyncopated_study2,s108,26.0,masculino,right,España,"Català, Castellano",Master degree,no,no,B,4,what,L3,unsyncopated,s1,r1,59,Online_whatL3//a.chu.mo30.0.888.wav,chu,ko,li,sil,mo,gu,le,sil2,je,fu,sil1,['catch'],[0.910099999994145],[0.910099999994145],0.0,beat,0.910099999994145,0.910099999994145,"[""space""]",chu,1,,,,,,,,,,,,,,,3.0,3.0,Català,0.0,Castellano,6.0,English,6.0,5.0,4.0,yes,yes,no,Flauta,6,Guitarra,6,Batería,6,,,58.0,yes
452,2024-02-10_09h59.33.855,Unsyncopated_study2,s108,26.0,masculino,right,España,"Català, Castellano",Master degree,no,no,B,4,what,L3,unsyncopated,s1,r2,60,Online_whatL3//b.ñe.sa9.0.1110.wav,ñe,fu,di,sil2,sa,ka,le,sil,li,je,sil1,['catch'],[1.9712999999969725],[1.9712999999969725],1.11,no_beat,0.8612999999969724,0.8612999999969724,"[""space""]",sa,2,,,,,,,,,,,,,,,3.0,3.0,Català,0.0,Castellano,6.0,English,6.0,5.0,4.0,yes,yes,no,Flauta,6,Guitarra,6,Batería,6,,,58.0,yes
453,2024-02-10_09h59.33.855,Unsyncopated_study2,s108,26.0,masculino,right,España,"Català, Castellano",Master degree,no,no,B,4,what,L3,unsyncopated,s2,r2,61,Online_whatL3//b.ñe.sa10.1110.1998.wav,ga,le,gu,sil2,ñe,di,li,sil,sa,ji,sil1,['catch_delay'],[0.9260999999940542],[0.9260999999940542],1.998,no_beat,0.9260999999940542,0.9260999999940542,,sa,2,,,,,,,,,,,,,,,3.0,3.0,Català,0.0,Castellano,6.0,English,6.0,5.0,4.0,yes,yes,no,Flauta,6,Guitarra,6,Batería,6,,,58.0,yes
454,2024-02-10_09h59.33.855,Unsyncopated_study2,s108,26.0,masculino,right,España,"Català, Castellano",Master degree,no,no,B,4,what,L3,unsyncopated,s2,r2,62,Online_whatL3//b.ñe.sa11.1110.1998.wav,li,ko,ka,sil2,ñe,je,ji,sil,sa,fu,sil1,['catch_delay'],[1.1524000000061425],[1.1524000000061425],1.998,no_beat,1.1524000000061425,1.1524000000061425,"[""space""]",sa,2,,,,,,,,,,,,,,,3.0,3.0,Català,0.0,Castellano,6.0,English,6.0,5.0,4.0,yes,yes,no,Flauta,6,Guitarra,6,Batería,6,,,58.0,yes
455,2024-02-10_09h59.33.855,Unsyncopated_study2,s108,26.0,masculino,right,España,"Català, Castellano",Master degree,no,no,B,4,what,L3,unsyncopated,s2,r2,63,Online_whatL3//b.ñe.sa8.1110.1998.wav,li,do,di,sil2,ñe,gu,ji,sil,sa,je,sil1,['catch_delay'],[0.7834000000060006],[0.7834000000060006],1.998,no_beat,0.7834000000060006,0.7834000000060006,"[""space""]",sa,2,,,,,,,,,,,,,,,3.0,3.0,Català,0.0,Castellano,6.0,English,6.0,5.0,4.0,yes,yes,no,Flauta,6,Guitarra,6,Batería,6,,,58.0,yes
456,2024-02-10_09h59.33.855,Unsyncopated_study2,s108,26.0,masculino,right,España,"Català, Castellano",Master degree,no,no,B,4,what,L3,unsyncopated,s1,r2,64,Online_whatL3//c.gu.je13.1332.222.wav,ñe,je,fu,sil,sa,ko,gu,sil1,di,li,sil2,['catch'],"[0.11740000000600048, 0.8297999999967942]",[0.8297999999967942],0.222,no_beat,0.6077999999967942,0.6077999999967942,"[""space"",""space""]",je,3,,,,,,,,,,,,,,,3.0,3.0,Català,0.0,Castellano,6.0,English,6.0,5.0,4.0,yes,yes,no,Flauta,6,Guitarra,6,Batería,6,,,58.0,yes
457,2024-02-10_09h59.33.855,Unsyncopated_study2,s108,26.0,masculino,right,España,"Català, Castellano",Master degree,no,no,B,4,what,L3,unsyncopated,s2,r1,65,Online_whatL3//c.gu.je12.none.none.wav,ga,di,li,sil,chu,do,fu,sil2,mo,le,sil1,['-'],,,none,none,,,,je,3,,,,,,,,,,,,,,,3.0,3.0,Català,0.0,Castellano,6.0,English,6.0,5.0,4.0,yes,yes,no,Flauta,6,Guitarra,6,Batería,6,,,58.0,yes
458,2024-02-10_09h59.33.855,Unsyncopated_study2,s108,26.0,masculino,right,España,"Català, Castellano",Master degree,no,no,B,4,what,L3,unsyncopated,s2,r1,66,Online_whatL3//c.gu.je15.1332.0.wav,je,ji,ko,sil,chu,ka,gu,sil2,mo,ga,sil1,['catch'],[0.7717999999968015],[0.7717999999968015],0.0,beat,0.7717999999968015,0.7717999999968015,"[""space""]",je,3,,,,,,,,,,,,,,,3.0,3.0,Català,0.0,Castellano,6.0,English,6.0,5.0,4.0,yes,yes,no,Flauta,6,Guitarra,6,Batería,6,,,58.0,yes
459,2024-02-10_09h59.33.855,Unsyncopated_study2,s108,26.0,masculino,right,España,"Català, Castellano",Master degree,no,no,B,4,what,L3,unsyncopated,s2,r1,67,Online_whatL3//c.gu.je14.none.none.wav,do,ga,fu,sil2,chu,li,ji,sil,mo,ka,sil1,['-'],,,none,none,,,,je,3,,,,,,,,,,,,,,,3.0,3.0,Català,0.0,Castellano,6.0,English,6.0,5.0,4.0,yes,yes,no,Flauta,6,Guitarra,6,Batería,6,,,58.0,yes
460,2024-02-10_09h59.33.855,Unsyncopated_study2,s108,26.0,masculino,right,España,"Català, Castellano",Master degree,no,no,B,4,what,L3,unsyncopated,s2,r2,68,Online_whatL3//b.ñe.sa5.888.1998.wav,di,je,do,sil,ñe,gu,li,sil2,sa,le,sil1,['catch_delay'],[0.6850999999940688],[0.6850999999940688],1.998,no_beat,0.6850999999940688,0.6850999999940688,,sa,2,,,,,,,,,,,,,,,3.0,3.0,Català,0.0,Castellano,6.0,English,6.0,5.0,4.0,yes,yes,no,Flauta,6,Guitarra,6,Batería,6,,,58.0,yes
461,2024-02-10_09h59.33.855,Unsyncopated_study2,s108,26.0,masculino,right,España,"Català, Castellano",Master degree,no,no,B,4,what,L3,unsyncopated,s2,r1,69,Online_whatL3//b.ñe.sa7.none.none.wav,gu,di,le,sil,chu,ga,ka,sil1,mo,ko,sil2,['-'],[0.01909999999406864],[0.01909999999406864],none,none,,,"[""space""]",sa,2,,,,,,,,,,,,,,,3.0,3.0,Català,0.0,Castellano,6.0,English,6.0,5.0,4.0,yes,yes,no,Flauta,6,Guitarra,6,Batería,6,,,58.0,yes
462,2024-02-10_09h59.33.855,Unsyncopated_study2,s108,26.0,masculino,right,España,"Català, Castellano",Master degree,no,no,B,4,what,L3,unsyncopated,s1,r1,70,Online_whatL3//b.ñe.sa4.none.none.wav,chu,ka,le,sil,mo,je,ga,sil1,do,ji,sil2,['-'],,,none,none,,,,sa,2,,,,,,,,,,,,,,,3.0,3.0,Català,0.0,Castellano,6.0,English,6.0,5.0,4.0,yes,yes,no,Flauta,6,Guitarra,6,Batería,6,,,58.0,yes
463,2024-02-10_09h59.33.855,Unsyncopated_study2,s108,26.0,masculino,right,España,"Català, Castellano",Master degree,no,no,B,4,what,L3,unsyncopated,s1,r1,71,Online_whatL3//b.ñe.sa6.none.none.wav,chu,ji,gu,sil,mo,li,fu,sil2,ka,do,sil1,['-'],,,none,none,,,,sa,2,,,,,,,,,,,,,,,3.0,3.0,Català,0.0,Castellano,6.0,English,6.0,5.0,4.0,yes,yes,no,Flauta,6,Guitarra,6,Batería,6,,,58.0,yes
464,2024-02-10_09h59.33.855,Unsyncopated_study2,s108,26.0,masculino,right,España,"Català, Castellano",Master degree,no,no,B,4,what,L3,unsyncopated,s1,r2,72,Online_whatL3//d.ji.li17.none.none.wav,ñe,ko,gu,sil,sa,le,do,sil2,je,ga,sil1,['-'],,,none,none,,,,li,4,,,,,,,,,,,,,,,3.0,3.0,Català,0.0,Castellano,6.0,English,6.0,5.0,4.0,yes,yes,no,Flauta,6,Guitarra,6,Batería,6,,,58.0,yes
465,2024-02-10_09h59.33.855,Unsyncopated_study2,s108,26.0,masculino,right,España,"Català, Castellano",Master degree,no,no,B,4,what,L3,unsyncopated,s2,r1,73,Online_whatL3//d.ji.li19.1554.222.wav,le,li,do,sil2,chu,ka,ji,sil,mo,di,sil1,['miss'],,,0.222,no_beat,,,,li,4,,,,,,,,,,,,,,,3.0,3.0,Català,0.0,Castellano,6.0,English,6.0,5.0,4.0,yes,yes,no,Flauta,6,Guitarra,6,Batería,6,,,58.0,yes
466,2024-02-10_09h59.33.855,Unsyncopated_study2,s108,26.0,masculino,right,España,"Català, Castellano",Master degree,no,no,B,4,what,L3,unsyncopated,s1,r2,74,Online_whatL3//d.ji.li16.1776.1110.wav,ñe,le,ko,sil,sa,li,je,sil1,ji,fu,sil2,['catch'],[1.9887999999968997],[1.9887999999968997],1.11,no_beat,0.8787999999968996,0.8787999999968996,"[""space""]",li,4,,,,,,,,,,,,,,,3.0,3.0,Català,0.0,Castellano,6.0,English,6.0,5.0,4.0,yes,yes,no,Flauta,6,Guitarra,6,Batería,6,,,58.0,yes
467,2024-02-10_09h59.33.855,Unsyncopated_study2,s108,26.0,masculino,right,España,"Català, Castellano",Master degree,no,no,B,4,what,L3,unsyncopated,s1,r2,75,Online_whatL3//d.ji.li18.222.1332.wav,ñe,ji,di,sil2,sa,li,gu,sil,ko,fu,sil1,['catch'],[2.192299999996976],[2.192299999996976],1.332,no_beat,0.860299999996976,0.860299999996976,"[""space""]",li,4,,,,,,,,,,,,,,,3.0,3.0,Català,0.0,Castellano,6.0,English,6.0,5.0,4.0,yes,yes,no,Flauta,6,Guitarra,6,Batería,6,,,58.0,yes
468,2024-02-10_09h59.33.855,Unsyncopated_study2,s108,26.0,masculino,right,España,"Català, Castellano",Master degree,no,no,B,4,what,L3,unsyncopated,s2,r1,76,Online_whatL3//a.chu.mo23.888.1998.wav,fu,ko,li,sil,chu,ga,je,sil2,mo,ji,sil1,['catch'],[1.5340000000001055],[1.5340000000001055],0.888,beat,0.6460000000001055,0.6460000000001055,"[""space""]",chu,1,,,,,,,,,,,,,,,3.0,3.0,Català,0.0,Castellano,6.0,English,6.0,5.0,4.0,yes,yes,no,Flauta,6,Guitarra,6,Batería,6,,,58.0,yes
