Unnamed: 0,date,expName,participant,age,sex,hand,residence,native_lang,education_level,lang_deficit,aud_deficit,group,block,condition,language,rhythm,rule structure online,rule type online,order_trial_on,trial_online,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,catch_syll_resp,rts_syll_catch,clean_rts,time_syll,beat_no_beat,catch_rtsTR,catch_rts,syllable_catch.keys,cond_syll,syll_to_catch,test_offline,block_off,condition_off,rhythm_off,rule,rule_str_off,rule_norule,conds_offline,language_off,Partz_no_partm.keys,Partz_no_partm.rt,security_1_7.keys,accuracy,security_1_7.rt,n_lang,n_lang_used,lang_1,age_l1,lang_2,age_l2,lang_3,age_l3,lang_4,age_l4,lang_5,age_l5,lang_6,age_l6,ability_learn_l2,tendence_mix_lan,music_experience,muisc_use,partiture,instr_1,age_M1,preguntas_musica1,BMRQ_answer.response,final comment,BMRQ_Score,bilingual
0,2024-02-10_15h45.25.365,Unsyncopated_study2,s97,22.0,feminino,left,"España
","Catalán y español
",Master degree,no,no,B,1,conjunction_syn,L1,syncopated,s1,r1,0,Online_conjL1_syn//d.ne.ni4.222.1332.wav,pu,ne,cho,ki,sil,ri,ni,ro,sil1,zu,sil2,['miss'],,,1.332,no_beat,,,,100:104,4,testConjL1Syn//dep_viol.r1.s2.0.wav,1.0,conjunction_syn,syncopated,a,s2,no_rule,dep,L1,m,5.589,4.0,1.0,3.186,6 ,4 ,Catalán,0.0,Español,0.0,Inglés,5.0,Francés,14.0,Alemán,18.0,Italiano,21.0,5.0,5.0,yes,no,no,Canto,6,1. Cuando comparto música con alguien siento una complicidad especial con aquella persona.,2.0,Me gustó pero me pareció muy larga y iba perdiendo la concentración a medida que avanzaba la tarea ,55.0,yes
1,2024-02-10_15h45.25.365,Unsyncopated_study2,s97,22.0,feminino,left,"España
","Catalán y español
",Master degree,no,no,B,1,conjunction_syn,L1,syncopated,s1,r1,1,Online_conjL1_syn//d.ne.ni7.444.1110.wav,pu,lu,ne,ki,sil,ni,ri,ze,sil1,zu,sil2,['miss'],,,1.11,no_beat,,,,100:104,4,testConjL1Syn//dep_viol.r2.s1.0.wav,1.0,conjunction_syn,syncopated,b,s1,no_rule,dep,L1,m,1.115,4.0,1.0,1.4,6 ,4 ,Catalán,0.0,Español,0.0,Inglés,5.0,Francés,14.0,Alemán,18.0,Italiano,21.0,5.0,5.0,yes,no,no,Canto,6,2. En mi tiempo libre apenas escucho música.,4.0,Me gustó pero me pareció muy larga y iba perdiendo la concentración a medida que avanzaba la tarea ,55.0,yes
2,2024-02-10_15h45.25.365,Unsyncopated_study2,s97,22.0,feminino,left,"España
","Catalán y español
",Master degree,no,no,B,1,conjunction_syn,L1,syncopated,s2,r1,2,Online_conjL1_syn//d.ne.ni5.none.none.wav,zu,ri,ze,pu,sil,cho,fa,ki,sil1,la,sil2,['-'],,,none,none,,,,100:104,4,testConjL1Syn//r2.s1.0.wav,1.0,conjunction_syn,syncopated,b,s1,rule,rule,L1,z,0.636,5.0,1.0,1.792,6 ,4 ,Catalán,0.0,Español,0.0,Inglés,5.0,Francés,14.0,Alemán,18.0,Italiano,21.0,5.0,5.0,yes,no,no,Canto,6,3. Algunas canciones me ponen los pelos de punta,3.0,Me gustó pero me pareció muy larga y iba perdiendo la concentración a medida que avanzaba la tarea ,55.0,yes
3,2024-02-10_15h45.25.365,Unsyncopated_study2,s97,22.0,feminino,left,"España
","Catalán y español
",Master degree,no,no,B,1,conjunction_syn,L1,syncopated,s1,r2,3,Online_conjL1_syn//d.ne.ni6.444.1110.wav,ta,zu,ne,be,sil,ni,ze,la,sil1,fa,sil2,['miss'],,,1.11,no_beat,,,,100:104,4,testConjL1Syn//cat_viol.r2.s1.0.wav,1.0,conjunction_syn,syncopated,b,s1,no_rule,cat,L1,z,1.377,5.0,0.0,1.138,6 ,4 ,Catalán,0.0,Español,0.0,Inglés,5.0,Francés,14.0,Alemán,18.0,Italiano,21.0,5.0,5.0,yes,no,no,Canto,6,4. La música me hace compañía cuando estoy solo,2.0,Me gustó pero me pareció muy larga y iba perdiendo la concentración a medida que avanzaba la tarea ,55.0,yes
4,2024-02-10_15h45.25.365,Unsyncopated_study2,s97,22.0,feminino,left,"España
","Catalán y español
",Master degree,no,no,B,1,conjunction_syn,L1,syncopated,s2,r2,4,Online_conjL1_syn//c.ro.fo31.none.none.wav,ri,fa,la,ta,sil,lu,ne,be,sil1,zu,sil2,['-'],,,none,none,,,,92:96,3,testConjL1Syn//r2.s1.2.wav,1.0,conjunction_syn,syncopated,b,s1,rule,rule,L1,z,0.761,5.0,1.0,0.838,6 ,4 ,Catalán,0.0,Español,0.0,Inglés,5.0,Francés,14.0,Alemán,18.0,Italiano,21.0,5.0,5.0,yes,no,no,Canto,6,5. No me apetece bailar ni con la música que más me gusta,5.0,Me gustó pero me pareció muy larga y iba perdiendo la concentración a medida que avanzaba la tarea ,55.0,yes
5,2024-02-10_15h45.25.365,Unsyncopated_study2,s97,22.0,feminino,left,"España
","Catalán y español
",Master degree,no,no,B,1,conjunction_syn,L1,syncopated,s1,r2,5,Online_conjL1_syn//c.ro.fo29.none.none.wav,ta,zu,ri,be,sil,la,ni,fa,sil1,lu,sil2,['-'],,,none,none,,,,92:96,3,testConjL1Syn//r1.s1.0.wav,1.0,conjunction_syn,syncopated,a,s1,rule,rule,L1,m,0.576,4.0,0.0,1.404,6 ,4 ,Catalán,0.0,Español,0.0,Inglés,5.0,Francés,14.0,Alemán,18.0,Italiano,21.0,5.0,5.0,yes,no,no,Canto,6,6. La música me hace conectar con la gente,3.0,Me gustó pero me pareció muy larga y iba perdiendo la concentración a medida que avanzaba la tarea ,55.0,yes
6,2024-02-10_15h45.25.365,Unsyncopated_study2,s97,22.0,feminino,left,"España
","Catalán y español
",Master degree,no,no,B,1,conjunction_syn,L1,syncopated,s2,r2,6,Online_conjL1_syn//c.ro.fo30.1110.0.wav,fo,ze,fa,ta,sil,ro,ri,be,sil1,ni,sil2,['miss'],,,0.0,beat,,,,92:96,3,testConjL1Syn//r2.s2.0.wav,1.0,conjunction_syn,syncopated,b,s2,rule,rule,L1,z,0.472,5.0,1.0,0.76,6 ,4 ,Catalán,0.0,Español,0.0,Inglés,5.0,Francés,14.0,Alemán,18.0,Italiano,21.0,5.0,5.0,yes,no,no,Canto,6,7. Me informo sobre la música que me gusta.,2.0,Me gustó pero me pareció muy larga y iba perdiendo la concentración a medida que avanzaba la tarea ,55.0,yes
7,2024-02-10_15h45.25.365,Unsyncopated_study2,s97,22.0,feminino,left,"España
","Catalán y español
",Master degree,no,no,B,1,conjunction_syn,L1,syncopated,s1,r1,7,Online_conjL1_syn//c.ro.fo28.none.none.wav,pu,ni,lu,ki,sil,ne,la,ze,sil1,fa,sil2,['-'],,,none,none,,,,92:96,3,testConjL1Syn//cat_viol.r2.s2.0.wav,1.0,conjunction_syn,syncopated,b,s2,no_rule,cat,L1,z,0.419,5.0,0.0,0.667,6 ,4 ,Catalán,0.0,Español,0.0,Inglés,5.0,Francés,14.0,Alemán,18.0,Italiano,21.0,5.0,5.0,yes,no,no,Canto,6,8.Me emociono escuchando ciertas canciones.,4.0,Me gustó pero me pareció muy larga y iba perdiendo la concentración a medida que avanzaba la tarea ,55.0,yes
8,2024-02-10_15h45.25.365,Unsyncopated_study2,s97,22.0,feminino,left,"España
","Catalán y español
",Master degree,no,no,B,1,conjunction_syn,L1,syncopated,s2,r1,8,Online_conjL1_syn//d.ne.ni23.0.444.wav,ne,fo,ni,pu,sil,ri,fa,ki,sil1,lu,sil2,['miss'],,,0.444,no_beat,,,,116:120,4,testConjL1Syn//r1.s2.1.wav,1.0,conjunction_syn,syncopated,a,s2,rule,rule,L1,z,0.35,5.0,1.0,0.621,6 ,4 ,Catalán,0.0,Español,0.0,Inglés,5.0,Francés,14.0,Alemán,18.0,Italiano,21.0,5.0,5.0,yes,no,no,Canto,6,9.La música me tranquiliza y me relaja.,2.0,Me gustó pero me pareció muy larga y iba perdiendo la concentración a medida que avanzaba la tarea ,55.0,yes
9,2024-02-10_15h45.25.365,Unsyncopated_study2,s97,22.0,feminino,left,"España
","Catalán y español
",Master degree,no,no,B,1,conjunction_syn,L1,syncopated,s2,r2,9,Online_conjL1_syn//d.ne.ni20.none.none.wav,ze,lu,ro,ta,sil,fa,ri,be,sil1,cho,sil2,['-'],,,none,none,,,,116:120,4,testConjL1Syn//dep_viol.r2.s2.0.wav,1.0,conjunction_syn,syncopated,b,s2,no_rule,dep,L1,z,0.385,5.0,0.0,0.518,6 ,4 ,Catalán,0.0,Español,0.0,Inglés,5.0,Francés,14.0,Alemán,18.0,Italiano,21.0,5.0,5.0,yes,no,no,Canto,6,10.La música me hace bailar,4.0,Me gustó pero me pareció muy larga y iba perdiendo la concentración a medida que avanzaba la tarea ,55.0,yes
