Unnamed: 0,date,expName,participant,age,sex,hand,residence,native_lang,education_level,lang_deficit,aud_deficit,group,block,condition,language,rhythm,rule structure online,rule type online,order_trial_on,trial_online,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,catch_syll_resp,rts_syll_catch,clean_rts,time_syll,beat_no_beat,catch_rtsTR,catch_rts,syllable_catch.keys,cond_syll,syll_to_catch,test_offline,block_off,condition_off,rhythm_off,rule,rule_str_off,rule_norule,conds_offline,language_off,Partz_no_partm.keys,Partz_no_partm.rt,security_1_7.keys,accuracy,security_1_7.rt,n_lang,n_lang_used,lang_1,age_l1,lang_2,age_l2,ability_learn_l2,tendence_mix_lan,music_experience,muisc_use,partiture,instr_1,age_M1,instr_2,age_M2,instr_3,age_M3,preguntas_musica1,BMRQ_answer.response,final comment,BMRQ_Score,bilingual
0,2023-07-18_18h27.49.725,Unsyncopated1,s1,35 ,feminino,right,España,castellano,Doctorate,no,yes,A,1,what,L2,unsyncopated,s1,r1,0,Online_whatL2//a.go.du12.0.888.wav,go,su,cha,sil,du,to,te,sil2,me,mi,sil1,['miss'],,,0.888,beat,,,,du,2,testWhatL2Uns//cat_viol.r1.s2.0.wav,1.0,what,unsyncopated,a,s2,no_rule,cat,L2,z,3.2443,3.0,0.0,8.2575,2 ,2.0,español,2 años,inglés,10 años,3.0,2.0,yes,no,yes,guitarra,8,flauta,8,teclado,8,1. Cuando comparto música con alguien siento una complicidad especial con aquella persona.,3.0,Me pasó que mi atención fue oscilando entre baja y alta porque no conocía los idiomas,78.0,yes
1,2023-07-18_18h27.49.725,Unsyncopated1,s1,35 ,feminino,right,España,castellano,Doctorate,no,yes,A,1,what,L2,unsyncopated,s1,r1,1,Online_whatL2//a.go.du15.0.888.wav,go,cha,mi,sil,du,ñu,to,sil1,ba,ño,sil2,"['catch', 'false alarm']","[1.711999999999989, 2.478099999427741]",[1.711999999999989],0.888,beat,0.8239999999999891,0.8239999999999891,"[""space"",""space""]",du,2,testWhatL2Uns//r1.s2.1.wav,1.0,what,unsyncopated,a,s2,rule,rule,L2,z,2.119,4.0,1.0,6.518299999,2 ,2.0,español,2 años,inglés,10 años,3.0,2.0,yes,no,yes,guitarra,8,flauta,8,teclado,8,2. En mi tiempo libre apenas escucho música.,5.0,Me pasó que mi atención fue oscilando entre baja y alta porque no conocía los idiomas,78.0,yes
2,2023-07-18_18h27.49.725,Unsyncopated1,s1,35 ,feminino,right,España,castellano,Doctorate,no,yes,A,1,what,L2,unsyncopated,s2,r2,2,Online_whatL2//a.go.du13.none.none.wav,te,si,ño,sil2,fe,su,ñu,sil,ra,mi,sil1,['-'],,,none,none,,,,du,2,testWhatL2Uns//dep_viol.r2.s2.0.wav,1.0,what,unsyncopated,b,s2,no_rule,dep,L2,m,3.9228,2.0,1.0,3.265700001,2 ,2.0,español,2 años,inglés,10 años,3.0,2.0,yes,no,yes,guitarra,8,flauta,8,teclado,8,3. Algunas canciones me ponen los pelos de punta,3.0,Me pasó que mi atención fue oscilando entre baja y alta porque no conocía los idiomas,78.0,yes
3,2023-07-18_18h27.49.725,Unsyncopated1,s1,35 ,feminino,right,España,castellano,Doctorate,no,yes,A,1,what,L2,unsyncopated,s2,r2,3,Online_whatL2//a.go.du14.none.none.wav,bi,me,mi,sil2,fe,to,ñu,sil,ra,su,sil1,['false alarm'],[2.162800000190714],[2.162800000190714],none,none,,,"[""space""]",du,2,testWhatL2Uns//cat_viol.r1.s1.0.wav,1.0,what,unsyncopated,a,s1,no_rule,cat,L2,z,0.367900001,4.0,0.0,4.055,2 ,2.0,español,2 años,inglés,10 años,3.0,2.0,yes,no,yes,guitarra,8,flauta,8,teclado,8,4. La música me hace compañía cuando estoy solo,4.0,Me pasó que mi atención fue oscilando entre baja y alta porque no conocía los idiomas,78.0,yes
4,2023-07-18_18h27.49.725,Unsyncopated1,s1,35 ,feminino,right,España,castellano,Doctorate,no,yes,A,1,what,L2,unsyncopated,s2,r2,4,Online_whatL2//a.go.du24.none.none.wav,me,cha,bi,sil,fe,ño,su,sil2,ra,to,sil1,['-'],,,none,none,,,,du,2,testWhatL2Uns//dep_viol.r1.s2.0.wav,1.0,what,unsyncopated,a,s2,no_rule,dep,L2,m,3.4445,3.0,1.0,2.815799999,2 ,2.0,español,2 años,inglés,10 años,3.0,2.0,yes,no,yes,guitarra,8,flauta,8,teclado,8,5. No me apetece bailar ni con la música que más me gusta,5.0,Me pasó que mi atención fue oscilando entre baja y alta porque no conocía los idiomas,78.0,yes
5,2023-07-18_18h27.49.725,Unsyncopated1,s1,35 ,feminino,right,España,castellano,Doctorate,no,yes,A,1,what,L2,unsyncopated,s1,r1,5,Online_whatL2//a.go.du25.0.888.wav,go,bi,ñu,sil,du,mi,si,sil2,su,cha,sil1,['catch'],[1.680899999618532],[1.680899999618532],0.888,beat,0.7928999996185321,0.7928999996185321,"[""space""]",du,2,testWhatL2Uns//cat_viol.r2.s2.0.wav,1.0,what,unsyncopated,b,s2,no_rule,cat,L2,z,0.8848,4.0,0.0,3.0765,2 ,2.0,español,2 años,inglés,10 años,3.0,2.0,yes,no,yes,guitarra,8,flauta,8,teclado,8,6. La música me hace conectar con la gente,4.0,Me pasó que mi atención fue oscilando entre baja y alta porque no conocía los idiomas,78.0,yes
6,2023-07-18_18h27.49.725,Unsyncopated1,s1,35 ,feminino,right,España,castellano,Doctorate,no,yes,A,1,what,L2,unsyncopated,s1,r2,6,Online_whatL2//a.go.du26.none.none.wav,fe,te,si,sil2,ra,ba,to,sil,su,bi,sil1,['-'],,,none,none,,,,du,2,testWhatL2Uns//r1.s2.0.wav,1.0,what,unsyncopated,a,s2,rule,rule,L2,m,1.250299999,5.0,0.0,2.3338,2 ,2.0,español,2 años,inglés,10 años,3.0,2.0,yes,no,yes,guitarra,8,flauta,8,teclado,8,7. Me informo sobre la música que me gusta.,4.0,Me pasó que mi atención fue oscilando entre baja y alta porque no conocía los idiomas,78.0,yes
7,2023-07-18_18h27.49.725,Unsyncopated1,s1,35 ,feminino,right,España,castellano,Doctorate,no,yes,A,1,what,L2,unsyncopated,s2,r2,7,Online_whatL2//a.go.du27.none.none.wav,mi,cha,ba,sil,fe,bi,su,sil2,ra,ño,sil1,['-'],,,none,none,,,,du,2,testWhatL2Uns//r2.s2.0.wav,1.0,what,unsyncopated,b,s2,rule,rule,L2,z,0.1383,4.0,1.0,2.6829,2 ,2.0,español,2 años,inglés,10 años,3.0,2.0,yes,no,yes,guitarra,8,flauta,8,teclado,8,8.Me emociono escuchando ciertas canciones.,4.0,Me pasó que mi atención fue oscilando entre baja y alta porque no conocía los idiomas,78.0,yes
8,2023-07-18_18h27.49.725,Unsyncopated1,s1,35 ,feminino,right,España,castellano,Doctorate,no,yes,A,1,what,L2,unsyncopated,s1,r2,8,Online_whatL2//b.fe.ra19.0.888.wav,fe,si,ñu,sil,ra,me,su,sil2,cha,to,sil1,['catch'],[0.10459999942781906],[0.10459999942781906],0.0,beat,0.104599999427819,0.104599999427819,"[""space""]",fe,1,testWhatL2Uns//r2.s2.1.wav,1.0,what,unsyncopated,b,s2,rule,rule,L2,z,0.2391,4.0,1.0,1.917400001,2 ,2.0,español,2 años,inglés,10 años,3.0,2.0,yes,no,yes,guitarra,8,flauta,8,teclado,8,9.La música me tranquiliza y me relaja.,4.0,Me pasó que mi atención fue oscilando entre baja y alta porque no conocía los idiomas,78.0,yes
9,2023-07-18_18h27.49.725,Unsyncopated1,s1,35 ,feminino,right,España,castellano,Doctorate,no,yes,A,1,what,L2,unsyncopated,s2,r1,9,Online_whatL2//b.fe.ra17.none.none.wav,ñu,su,to,sil,go,te,bi,sil2,du,si,sil1,['-'],,,none,none,,,,fe,1,testWhatL2Uns//time_viol.r2.s2.0.wav,1.0,what,unsyncopated,b,s2,no_rule,time,L2,m,3.317,4.0,1.0,1.4783,2 ,2.0,español,2 años,inglés,10 años,3.0,2.0,yes,no,yes,guitarra,8,flauta,8,teclado,8,10.La música me hace bailar,4.0,Me pasó que mi atención fue oscilando entre baja y alta porque no conocía los idiomas,78.0,yes
