Unnamed: 0,date,expName,participant,age,sex,hand,residence,native_lang,education_level,lang_deficit,aud_deficit,group,block,condition,language,rhythm,rule structure online,rule type online,order_trial_on,trial_online,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,catch_syll_resp,rts_syll_catch,clean_rts,time_syll,beat_no_beat,catch_rtsTR,catch_rts,syllable_catch.keys,cond_syll,syll_to_catch,test_offline,block_off,condition_off,rhythm_off,rule,rule_str_off,rule_norule,conds_offline,language_off,Partz_no_partm.keys,Partz_no_partm.rt,security_1_7.keys,accuracy,security_1_7.rt,n_lang,n_lang_used,lang_1,age_l1,lang_2,age_l2,lang_3,age_l3,ability_learn_l2,tendence_mix_lan,music_experience,muisc_use,partiture,instr_1,age_M1,instr_2,age_M2,instr_3,age_M3,instr_4,age_M4,instr_5,age_M5,preguntas_musica1,BMRQ_answer.response,final comment,BMRQ_Score,bilingual
289,2023-09-20_24h30.41.970,Unsyncopated1,s18,30.0,masculino,right,españa,castellano,Bachelor degree,no,no,B,3,when,L3,unsyncopated,when,when,33,Online_whenL3//a.mo19.none.wav,fu,ka,ko,sil,chu,sa,do,sil1,li,le,sil2,['-'],,,none,none,,,,mo,1,,,,,,,,,,,,,,,3.0,3.0,catalan,3.0,castellano,o,ingles,16.0,4.0,4.0,yes,yes,no,BAJO ELECTRICO,14,GUITARRA,14,VOZ,14,ABLETON LIVE,19.0,PERCUSION,21.0,,,EN EL EJERCICIO CON EL ÚLTIMO LENGUAJE ME ENCONTRABA MENTALMENTE CANSADO Y NO HE CONSEGUIDO PRESTAR LA MISMA ATENCIÓN QUE EN LOS PRIMEROS ,78.0,yes
290,2023-09-20_24h30.41.970,Unsyncopated1,s18,30.0,masculino,right,españa,castellano,Bachelor degree,no,no,B,3,when,L3,unsyncopated,when,when,34,Online_whenL3//a.mo16.1998.wav,li,je,gu,sil,ka,chu,le,sil1,ji,mo,sil2,['catch'],[2.625300000000152],[2.625300000000152],1.998,no_beat,0.6273000000001521,0.6273000000001521,"[""space""]",mo,1,,,,,,,,,,,,,,,3.0,3.0,catalan,3.0,castellano,o,ingles,16.0,4.0,4.0,yes,yes,no,BAJO ELECTRICO,14,GUITARRA,14,VOZ,14,ABLETON LIVE,19.0,PERCUSION,21.0,,,EN EL EJERCICIO CON EL ÚLTIMO LENGUAJE ME ENCONTRABA MENTALMENTE CANSADO Y NO HE CONSEGUIDO PRESTAR LA MISMA ATENCIÓN QUE EN LOS PRIMEROS ,78.0,yes
291,2023-09-20_24h30.41.970,Unsyncopated1,s18,30.0,masculino,right,españa,castellano,Bachelor degree,no,no,B,3,when,L3,unsyncopated,when,when,35,Online_whenL3//a.mo18.888.wav,je,do,fu,sil,mo,sa,ga,sil1,di,le,sil2,['catch'],[1.633600000000115],[1.633600000000115],0.888,beat,0.745600000000115,0.745600000000115,"[""space""]",mo,1,,,,,,,,,,,,,,,3.0,3.0,catalan,3.0,castellano,o,ingles,16.0,4.0,4.0,yes,yes,no,BAJO ELECTRICO,14,GUITARRA,14,VOZ,14,ABLETON LIVE,19.0,PERCUSION,21.0,,,EN EL EJERCICIO CON EL ÚLTIMO LENGUAJE ME ENCONTRABA MENTALMENTE CANSADO Y NO HE CONSEGUIDO PRESTAR LA MISMA ATENCIÓN QUE EN LOS PRIMEROS ,78.0,yes
292,2023-09-20_24h30.41.970,Unsyncopated1,s18,30.0,masculino,right,españa,castellano,Bachelor degree,no,no,B,3,when,L3,unsyncopated,when,when,36,Online_whenL3//a.mo21.none.wav,ñe,gu,chu,sil,di,ko,le,sil1,fu,li,sil2,['-'],,,none,none,,,,mo,1,,,,,,,,,,,,,,,3.0,3.0,catalan,3.0,castellano,o,ingles,16.0,4.0,4.0,yes,yes,no,BAJO ELECTRICO,14,GUITARRA,14,VOZ,14,ABLETON LIVE,19.0,PERCUSION,21.0,,,EN EL EJERCICIO CON EL ÚLTIMO LENGUAJE ME ENCONTRABA MENTALMENTE CANSADO Y NO HE CONSEGUIDO PRESTAR LA MISMA ATENCIÓN QUE EN LOS PRIMEROS ,78.0,yes
293,2023-09-20_24h30.41.970,Unsyncopated1,s18,30.0,masculino,right,españa,castellano,Bachelor degree,no,no,B,3,when,L3,unsyncopated,when,when,37,Online_whenL3//a.mo22.none.wav,je,ga,ka,sil,ñe,chu,fu,sil1,li,ji,sil2,['-'],,,none,none,,,,mo,1,,,,,,,,,,,,,,,3.0,3.0,catalan,3.0,castellano,o,ingles,16.0,4.0,4.0,yes,yes,no,BAJO ELECTRICO,14,GUITARRA,14,VOZ,14,ABLETON LIVE,19.0,PERCUSION,21.0,,,EN EL EJERCICIO CON EL ÚLTIMO LENGUAJE ME ENCONTRABA MENTALMENTE CANSADO Y NO HE CONSEGUIDO PRESTAR LA MISMA ATENCIÓN QUE EN LOS PRIMEROS ,78.0,yes
294,2023-09-20_24h30.41.970,Unsyncopated1,s18,30.0,masculino,right,españa,castellano,Bachelor degree,no,no,B,3,when,L3,unsyncopated,when,when,38,Online_whenL3//a.mo20.1776.wav,ga,fu,ko,sil,li,sa,je,sil1,mo,ka,sil2,['catch_delay'],[1.003400000000591],[1.003400000000591],1.776,beat,1.003400000000591,1.003400000000591,,mo,1,,,,,,,,,,,,,,,3.0,3.0,catalan,3.0,castellano,o,ingles,16.0,4.0,4.0,yes,yes,no,BAJO ELECTRICO,14,GUITARRA,14,VOZ,14,ABLETON LIVE,19.0,PERCUSION,21.0,,,EN EL EJERCICIO CON EL ÚLTIMO LENGUAJE ME ENCONTRABA MENTALMENTE CANSADO Y NO HE CONSEGUIDO PRESTAR LA MISMA ATENCIÓN QUE EN LOS PRIMEROS ,78.0,yes
295,2023-09-20_24h30.41.970,Unsyncopated1,s18,30.0,masculino,right,españa,castellano,Bachelor degree,no,no,B,3,when,L3,unsyncopated,when,when,39,Online_whenL3//a.mo23.none.wav,ga,sa,je,sil,ko,fu,li,sil1,di,chu,sil2,['-'],[0.11540000000059081],[0.11540000000059081],none,none,,,"[""space""]",mo,1,,,,,,,,,,,,,,,3.0,3.0,catalan,3.0,castellano,o,ingles,16.0,4.0,4.0,yes,yes,no,BAJO ELECTRICO,14,GUITARRA,14,VOZ,14,ABLETON LIVE,19.0,PERCUSION,21.0,,,EN EL EJERCICIO CON EL ÚLTIMO LENGUAJE ME ENCONTRABA MENTALMENTE CANSADO Y NO HE CONSEGUIDO PRESTAR LA MISMA ATENCIÓN QUE EN LOS PRIMEROS ,78.0,yes
296,2023-09-20_24h30.41.970,Unsyncopated1,s18,30.0,masculino,right,españa,castellano,Bachelor degree,no,no,B,3,when,L3,unsyncopated,when,when,40,Online_whenL3//c.gu4.none.wav,do,ka,ko,sil,fu,chu,mo,sil1,le,ji,sil2,['false alarm'],[2.6386999999999716],[2.6386999999999716],none,none,,,"[""space""]",gu,3,,,,,,,,,,,,,,,3.0,3.0,catalan,3.0,castellano,o,ingles,16.0,4.0,4.0,yes,yes,no,BAJO ELECTRICO,14,GUITARRA,14,VOZ,14,ABLETON LIVE,19.0,PERCUSION,21.0,,,EN EL EJERCICIO CON EL ÚLTIMO LENGUAJE ME ENCONTRABA MENTALMENTE CANSADO Y NO HE CONSEGUIDO PRESTAR LA MISMA ATENCIÓN QUE EN LOS PRIMEROS ,78.0,yes
297,2023-09-20_24h30.41.970,Unsyncopated1,s18,30.0,masculino,right,españa,castellano,Bachelor degree,no,no,B,3,when,L3,unsyncopated,when,when,41,Online_whenL3//c.gu5.0.wav,gu,ko,ji,sil,sa,ñe,le,sil1,fu,di,sil2,['miss'],,,0.0,beat,,,,gu,3,,,,,,,,,,,,,,,3.0,3.0,catalan,3.0,castellano,o,ingles,16.0,4.0,4.0,yes,yes,no,BAJO ELECTRICO,14,GUITARRA,14,VOZ,14,ABLETON LIVE,19.0,PERCUSION,21.0,,,EN EL EJERCICIO CON EL ÚLTIMO LENGUAJE ME ENCONTRABA MENTALMENTE CANSADO Y NO HE CONSEGUIDO PRESTAR LA MISMA ATENCIÓN QUE EN LOS PRIMEROS ,78.0,yes
298,2023-09-20_24h30.41.970,Unsyncopated1,s18,30.0,masculino,right,españa,castellano,Bachelor degree,no,no,B,3,when,L3,unsyncopated,when,when,42,Online_whenL3//c.gu7.1776.wav,sa,ga,di,sil,mo,ka,ko,sil1,gu,le,sil2,['catch_delay'],[0.9669999999997236],[0.9669999999997236],1.776,beat,0.9669999999997236,0.9669999999997236,,gu,3,,,,,,,,,,,,,,,3.0,3.0,catalan,3.0,castellano,o,ingles,16.0,4.0,4.0,yes,yes,no,BAJO ELECTRICO,14,GUITARRA,14,VOZ,14,ABLETON LIVE,19.0,PERCUSION,21.0,,,EN EL EJERCICIO CON EL ÚLTIMO LENGUAJE ME ENCONTRABA MENTALMENTE CANSADO Y NO HE CONSEGUIDO PRESTAR LA MISMA ATENCIÓN QUE EN LOS PRIMEROS ,78.0,yes
