Unnamed: 0,date,expName,participant,age,sex,hand,residence,native_lang,education_level,lang_deficit,aud_deficit,group,block,condition,language,rhythm,rule structure online,rule type online,order_trial_on,trial_online,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,catch_syll_resp,rts_syll_catch,clean_rts,time_syll,beat_no_beat,catch_rtsTR,catch_rts,syllable_catch.keys,cond_syll,syll_to_catch,test_offline,block_off,condition_off,rhythm_off,rule,rule_str_off,rule_norule,conds_offline,language_off,Partz_no_partm.keys,Partz_no_partm.rt,security_1_7.keys,accuracy,security_1_7.rt,n_lang,n_lang_used,lang_1,age_l1,lang_2,age_l2,lang_3,age_l3,ability_learn_l2,tendence_mix_lan,music_experience,muisc_use,partiture,instr_1,age_M1,instr_2,age_M2,instr_4,preguntas_musica1,BMRQ_answer.response,final comment,BMRQ_Score,bilingual
287,2024-03-13_22h19.51.163,Unsyncopated_study3,s142,18.0,feminino,right,España,Castellano y Catalán,Upper secondary,no,no,B,3,when,L1,unsyncopated,when,when,31,Online_whenL1//b.ta21.1998.wav,fa,be,la,sil,zu,cho,fo,sil1,ni,ta,sil2,['miss'],,,1.998,no_beat,,,,ta,2,,,,,,,,,,,,,,,3.0,2.0,Castellano,0.0,Catalán,0.0,Inglés,12.0,4.0,4.0,no,no,no,Nada,,Nada,,   ,,,"Ha estado bien aunque se me ha hecho bastante larga y repetitiva (aunque de eso trata), y debido a esto me he descentrado un par de veces que no han tenido apenas repercusión en mis respuestas. Gracias. ",73.0,yes
288,2024-03-13_22h19.51.163,Unsyncopated_study3,s142,18.0,feminino,right,España,Castellano y Catalán,Upper secondary,no,no,B,3,when,L1,unsyncopated,when,when,32,Online_whenL1//a.ki34.none.wav,ni,be,ro,sil,fo,cho,pu,sil1,ri,ze,sil2,['false alarm'],[1.8963000000007924],[1.8963000000007924],none,none,,,"[""space""]",ki,1,,,,,,,,,,,,,,,3.0,2.0,Castellano,0.0,Catalán,0.0,Inglés,12.0,4.0,4.0,no,no,no,Nada,,Nada,,   ,,,"Ha estado bien aunque se me ha hecho bastante larga y repetitiva (aunque de eso trata), y debido a esto me he descentrado un par de veces que no han tenido apenas repercusión en mis respuestas. Gracias. ",73.0,yes
289,2024-03-13_22h19.51.163,Unsyncopated_study3,s142,18.0,feminino,right,España,Castellano y Catalán,Upper secondary,no,no,B,3,when,L1,unsyncopated,when,when,33,Online_whenL1//a.ki32.1110.wav,cho,ro,ne,sil,ri,ki,zu,sil1,ze,be,sil2,['miss'],,,1.11,no_beat,,,,ki,1,,,,,,,,,,,,,,,3.0,2.0,Castellano,0.0,Catalán,0.0,Inglés,12.0,4.0,4.0,no,no,no,Nada,,Nada,,   ,,,"Ha estado bien aunque se me ha hecho bastante larga y repetitiva (aunque de eso trata), y debido a esto me he descentrado un par de veces que no han tenido apenas repercusión en mis respuestas. Gracias. ",73.0,yes
290,2024-03-13_22h19.51.163,Unsyncopated_study3,s142,18.0,feminino,right,España,Castellano y Catalán,Upper secondary,no,no,B,3,when,L1,unsyncopated,when,when,34,Online_whenL1//a.ki35.none.wav,ne,la,fo,sil,cho,ta,ni,sil1,ri,be,sil2,['-'],,,none,none,,,,ki,1,,,,,,,,,,,,,,,3.0,2.0,Castellano,0.0,Catalán,0.0,Inglés,12.0,4.0,4.0,no,no,no,Nada,,Nada,,   ,,,"Ha estado bien aunque se me ha hecho bastante larga y repetitiva (aunque de eso trata), y debido a esto me he descentrado un par de veces que no han tenido apenas repercusión en mis respuestas. Gracias. ",73.0,yes
291,2024-03-13_22h19.51.163,Unsyncopated_study3,s142,18.0,feminino,right,España,Castellano y Catalán,Upper secondary,no,no,B,3,when,L1,unsyncopated,when,when,35,Online_whenL1//a.ki33.1332.wav,fa,be,ne,sil,la,ni,ki,sil1,ro,zu,sil2,"['false alarm', 'catch']","[0.7132999999967069, 2.313999999999851]",[2.313999999999851],1.332,no_beat,0.9819999999998508,0.9819999999998508,"[""space"",""space""]",ki,1,,,,,,,,,,,,,,,3.0,2.0,Castellano,0.0,Catalán,0.0,Inglés,12.0,4.0,4.0,no,no,no,Nada,,Nada,,   ,,,"Ha estado bien aunque se me ha hecho bastante larga y repetitiva (aunque de eso trata), y debido a esto me he descentrado un par de veces que no han tenido apenas repercusión en mis respuestas. Gracias. ",73.0,yes
292,2024-03-13_22h19.51.163,Unsyncopated_study3,s142,18.0,feminino,right,España,Castellano y Catalán,Upper secondary,no,no,B,3,when,L1,unsyncopated,when,when,36,Online_whenL1//c.ro12.444.wav,fa,la,ro,sil,ze,be,ki,sil1,fo,ni,sil2,['miss'],,,0.444,no_beat,,,,ro,3,,,,,,,,,,,,,,,3.0,2.0,Castellano,0.0,Catalán,0.0,Inglés,12.0,4.0,4.0,no,no,no,Nada,,Nada,,   ,,,"Ha estado bien aunque se me ha hecho bastante larga y repetitiva (aunque de eso trata), y debido a esto me he descentrado un par de veces que no han tenido apenas repercusión en mis respuestas. Gracias. ",73.0,yes
293,2024-03-13_22h19.51.163,Unsyncopated_study3,s142,18.0,feminino,right,España,Castellano y Catalán,Upper secondary,no,no,B,3,when,L1,unsyncopated,when,when,37,Online_whenL1//c.ro13.none.wav,ne,lu,be,sil,fo,ki,ri,sil1,ni,cho,sil2,['false alarm'],[0.7899999999999636],[0.7899999999999636],none,none,,,"[""space""]",ro,3,,,,,,,,,,,,,,,3.0,2.0,Castellano,0.0,Catalán,0.0,Inglés,12.0,4.0,4.0,no,no,no,Nada,,Nada,,   ,,,"Ha estado bien aunque se me ha hecho bastante larga y repetitiva (aunque de eso trata), y debido a esto me he descentrado un par de veces que no han tenido apenas repercusión en mis respuestas. Gracias. ",73.0,yes
294,2024-03-13_22h19.51.163,Unsyncopated_study3,s142,18.0,feminino,right,España,Castellano y Catalán,Upper secondary,no,no,B,3,when,L1,unsyncopated,when,when,38,Online_whenL1//c.ro14.none.wav,zu,ki,fa,sil,pu,ni,lu,sil1,fo,la,sil2,['-'],,,none,none,,,,ro,3,,,,,,,,,,,,,,,3.0,2.0,Castellano,0.0,Catalán,0.0,Inglés,12.0,4.0,4.0,no,no,no,Nada,,Nada,,   ,,,"Ha estado bien aunque se me ha hecho bastante larga y repetitiva (aunque de eso trata), y debido a esto me he descentrado un par de veces que no han tenido apenas repercusión en mis respuestas. Gracias. ",73.0,yes
295,2024-03-13_22h19.51.163,Unsyncopated_study3,s142,18.0,feminino,right,España,Castellano y Catalán,Upper secondary,no,no,B,3,when,L1,unsyncopated,when,when,39,Online_whenL1//c.ro15.0.wav,ro,ne,zu,sil,la,ri,pu,sil1,ki,ni,sil2,['catch'],[1.008899999998448],[1.008899999998448],0.0,beat,1.008899999998448,1.008899999998448,"[""space""]",ro,3,,,,,,,,,,,,,,,3.0,2.0,Castellano,0.0,Catalán,0.0,Inglés,12.0,4.0,4.0,no,no,no,Nada,,Nada,,   ,,,"Ha estado bien aunque se me ha hecho bastante larga y repetitiva (aunque de eso trata), y debido a esto me he descentrado un par de veces que no han tenido apenas repercusión en mis respuestas. Gracias. ",73.0,yes
296,2024-03-13_22h19.51.163,Unsyncopated_study3,s142,18.0,feminino,right,España,Castellano y Catalán,Upper secondary,no,no,B,3,when,L1,unsyncopated,when,when,40,Online_whenL1//c.ro18.none.wav,ki,ri,ni,sil,ne,ta,cho,sil1,fo,ze,sil2,['-'],,,none,none,,,,ro,3,,,,,,,,,,,,,,,3.0,2.0,Castellano,0.0,Catalán,0.0,Inglés,12.0,4.0,4.0,no,no,no,Nada,,Nada,,   ,,,"Ha estado bien aunque se me ha hecho bastante larga y repetitiva (aunque de eso trata), y debido a esto me he descentrado un par de veces que no han tenido apenas repercusión en mis respuestas. Gracias. ",73.0,yes
