Unnamed: 0,date,expName,participant,age,sex,hand,residence,native_lang,education_level,lang_deficit,aud_deficit,group,block,condition,language,rhythm,rule structure online,rule type online,order_trial_on,trial_online,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,catch_syll_resp,rts_syll_catch,clean_rts,time_syll,beat_no_beat,catch_rtsTR,catch_rts,syllable_catch.keys,cond_syll,syll_to_catch,test_offline,block_off,condition_off,rhythm_off,rule,rule_str_off,rule_norule,conds_offline,language_off,Partz_no_partm.keys,Partz_no_partm.rt,security_1_7.keys,accuracy,security_1_7.rt,n_lang,n_lang_used,lang_1,age_l1,lang_2,age_l2,ability_learn_l2,tendence_mix_lan,music_experience,muisc_use,partiture,instr_1,age_M1,instr_2,age_M2,preguntas_musica1,BMRQ_answer.response,final comment,BMRQ_Score,bilingual
0,2023-11-21_21h37.14.803,Unsyncopated1,s81,21.0,feminino,right,España,2.0,Bachelor degree,no,no,B,1,conjunction_un,L1,unsyncopated,s1,r1,0,Online_conjL1_un//a.pu.ki23.0.888.wav,pu,la,ze,sil,ki,cho,fo,sil1,ne,zu,sil2,['catch'],[2.405399999998508],[2.405399999998508],0.0,beat,,2.405399999998508,"[""space""]",pu,1,testConjL1Uns//dep_viol.r1.s1.0.wav,1.0,conjunction_un,unsyncopated,a,s1,no_rule,dep,L1,z,2.1975,6.0,0.0,6.9075,2 ,2.0,catalan,0.0,castellano,1.0,0.0,3.0,no,no,no,nada,0,nada,0,1. Cuando comparto música con alguien siento una complicidad especial con aquella persona.,4.0,nada ,78.0,yes
1,2023-11-21_21h37.14.803,Unsyncopated1,s81,21.0,feminino,right,España,2.0,Bachelor degree,no,no,B,1,conjunction_un,L1,unsyncopated,s2,r1,1,Online_conjL1_un//a.pu.ki22.888.1776.wav,la,ze,zu,sil,pu,ne,cho,sil1,ki,ri,sil2,['catch'],[1.3285999999995965],[1.3285999999995965],0.888,beat,0.4405999999995965,0.4405999999995965,"[""space""]",pu,1,testConjL1Uns//time_viol.r1.s1.0.wav,1.0,conjunction_un,unsyncopated,a,s1,no_rule,time,L1,m,0.1512,5.0,1.0,5.2527,2 ,2.0,catalan,0.0,castellano,1.0,0.0,3.0,no,no,no,nada,0,nada,0,2. En mi tiempo libre apenas escucho música.,5.0,nada ,78.0,yes
2,2023-11-21_21h37.14.803,Unsyncopated1,s81,21.0,feminino,right,España,2.0,Bachelor degree,no,no,B,1,conjunction_un,L1,unsyncopated,s2,r1,2,Online_conjL1_un//a.pu.ki21.888.1776.wav,zu,ri,ni,sil,pu,lu,fa,sil1,ki,ro,sil2,['catch'],[1.3555000000000064],[1.3555000000000064],0.888,beat,0.4675000000000063,0.4675000000000063,"[""space""]",pu,1,testConjL1Uns//cat_viol.r1.s1.0.wav,1.0,conjunction_un,unsyncopated,a,s1,no_rule,cat,L1,z,0.8317,6.0,0.0,2.0353,2 ,2.0,catalan,0.0,castellano,1.0,0.0,3.0,no,no,no,nada,0,nada,0,3. Algunas canciones me ponen los pelos de punta,4.0,nada ,78.0,yes
3,2023-11-21_21h37.14.803,Unsyncopated1,s81,21.0,feminino,right,España,2.0,Bachelor degree,no,no,B,1,conjunction_un,L1,unsyncopated,s1,r2,3,Online_conjL1_un//a.pu.ki20.none.none.wav,ta,ni,ze,sil,be,ri,ne,sil1,cho,fo,sil2,['-'],,,none,none,,,,pu,1,testConjL1Uns//cat_viol.r1.s2.0.wav,1.0,conjunction_un,unsyncopated,a,s2,no_rule,cat,L1,z,1.3394,6.0,0.0,2.6079,2 ,2.0,catalan,0.0,castellano,1.0,0.0,3.0,no,no,no,nada,0,nada,0,4. La música me hace compañía cuando estoy solo,4.0,nada ,78.0,yes
4,2023-11-21_21h37.14.803,Unsyncopated1,s81,21.0,feminino,right,España,2.0,Bachelor degree,no,no,B,1,conjunction_un,L1,unsyncopated,s1,r1,4,Online_conjL1_un//a.pu.ki5.0.888.wav,pu,lu,zu,sil,ki,fo,la,sil1,cho,ze,sil2,['catch'],[0.514099999999587],[0.514099999999587],0.0,beat,0.514099999999587,0.514099999999587,"[""space""]",pu,1,testConjL1Uns//r1.s1.0.wav,1.0,conjunction_un,unsyncopated,a,s1,rule,rule,L1,m,0.3687,6.0,0.0,4.0337,2 ,2.0,catalan,0.0,castellano,1.0,0.0,3.0,no,no,no,nada,0,nada,0,5. No me apetece bailar ni con la música que más me gusta,5.0,nada ,78.0,yes
5,2023-11-21_21h37.14.803,Unsyncopated1,s81,21.0,feminino,right,España,2.0,Bachelor degree,no,no,B,1,conjunction_un,L1,unsyncopated,s1,r1,5,Online_conjL1_un//a.pu.ki7.0.888.wav,pu,la,fa,sil,ki,ri,ze,sil1,lu,ro,sil2,['catch'],[0.4746000000014874],[0.4746000000014874],0.0,beat,0.4746000000014874,0.4746000000014874,"[""space""]",pu,1,testConjL1Uns//r2.s2.1.wav,1.0,conjunction_un,unsyncopated,b,s2,rule,rule,L1,z,0.5991,6.0,1.0,2.5354,2 ,2.0,catalan,0.0,castellano,1.0,0.0,3.0,no,no,no,nada,0,nada,0,6. La música me hace conectar con la gente,4.0,nada ,78.0,yes
6,2023-11-21_21h37.14.803,Unsyncopated1,s81,21.0,feminino,right,España,2.0,Bachelor degree,no,no,B,1,conjunction_un,L1,unsyncopated,s2,r1,6,Online_conjL1_un//a.pu.ki4.888.1776.wav,ni,cho,fa,sil,pu,fo,ne,sil1,ki,la,sil2,['catch'],[1.2925000000000182],[1.2925000000000182],0.888,beat,0.4045000000000182,0.4045000000000182,"[""space""]",pu,1,testConjL1Uns//cat_viol.r2.s2.0.wav,1.0,conjunction_un,unsyncopated,b,s2,no_rule,cat,L1,m,1.0881,5.0,1.0,2.3013,2 ,2.0,catalan,0.0,castellano,1.0,0.0,3.0,no,no,no,nada,0,nada,0,7. Me informo sobre la música que me gusta.,3.0,nada ,78.0,yes
7,2023-11-21_21h37.14.803,Unsyncopated1,s81,21.0,feminino,right,España,2.0,Bachelor degree,no,no,B,1,conjunction_un,L1,unsyncopated,s1,r1,7,Online_conjL1_un//a.pu.ki6.0.888.wav,pu,cho,fa,sil,ki,zu,ni,sil1,ne,ro,sil2,['miss'],,,0.0,beat,,,,pu,1,testConjL1Uns//r2.s1.1.wav,1.0,conjunction_un,unsyncopated,b,s1,rule,rule,L1,m,0.9863,4.0,0.0,1.7677,2 ,2.0,catalan,0.0,castellano,1.0,0.0,3.0,no,no,no,nada,0,nada,0,8.Me emociono escuchando ciertas canciones.,4.0,nada ,78.0,yes
8,2023-11-21_21h37.14.803,Unsyncopated1,s81,21.0,feminino,right,España,2.0,Bachelor degree,no,no,B,1,conjunction_un,L1,unsyncopated,s1,r2,8,Online_conjL1_un//b.ta.be8.0.888.wav,ta,la,ne,sil,be,lu,ni,sil1,ro,fa,sil2,['catch'],[1.3687999999988847],[1.3687999999988847],0.888,beat,0.4807999999988847,0.4807999999988847,"[""space""]",be,2,testConjL1Uns//r2.s1.2.wav,1.0,conjunction_un,unsyncopated,b,s1,rule,rule,L1,m,0.8687,6.0,0.0,1.1043,2 ,2.0,catalan,0.0,castellano,1.0,0.0,3.0,no,no,no,nada,0,nada,0,9.La música me tranquiliza y me relaja.,3.0,nada ,78.0,yes
9,2023-11-21_21h37.14.803,Unsyncopated1,s81,21.0,feminino,right,España,2.0,Bachelor degree,no,no,B,1,conjunction_un,L1,unsyncopated,s1,r2,9,Online_conjL1_un//b.ta.be11.0.888.wav,ta,fa,lu,sil,be,ni,ze,sil1,ri,ro,sil2,['catch'],[1.3414000000004194],[1.3414000000004194],0.888,beat,0.4534000000004193,0.4534000000004193,"[""space""]",be,2,testConjL1Uns//time_viol.r1.s2.0.wav,1.0,conjunction_un,unsyncopated,a,s2,no_rule,time,L1,m,0.7028,6.0,1.0,0.7674,2 ,2.0,catalan,0.0,castellano,1.0,0.0,3.0,no,no,no,nada,0,nada,0,10.La música me hace bailar,3.0,nada ,78.0,yes
