Unnamed: 0,date,expName,participant,age,sex,hand,residence,native_lang,education_level,lang_deficit,aud_deficit,group,block,condition,language,rhythm,rule structure online,rule type online,order_trial_on,trial_online,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,catch_syll_resp,rts_syll_catch,clean_rts,time_syll,beat_no_beat,catch_rtsTR,catch_rts,syllable_catch.keys,cond_syll,syll_to_catch,test_offline,block_off,condition_off,rhythm_off,rule,rule_str_off,rule_norule,conds_offline,language_off,Partz_no_partm.keys,Partz_no_partm.rt,security_1_7.keys,accuracy,security_1_7.rt,n_lang,n_lang_used,lang_1,age_l1,lang_2,age_l2,lang_3,age_l3,lang_4,age_l4,ability_learn_l2,tendence_mix_lan,music_experience,muisc_use,partiture,instr_1,age_M1,instr_2,age_M2,instr_3,age_M3,preguntas_musica1,BMRQ_answer.response,final comment,BMRQ_Score,bilingual
378,2023-09-15_07h14.23.051,Unsyncopated1,s23,21.0,feminino,right,Espanya,Català (i castellà),Upper secondary,no,no,B,3,conjunction_syn,L4,syncopated,s2,r2,114,Online_conjL4_syn//d.pe.po17.222.444.wav,bo,pe,po,ja,sil,re,ci,nu,sil1,ru,sil2,['catch'],[0.874000000000251],[0.874000000000251],0.444,no_beat,0.430000000000251,0.430000000000251,"[""space""]",po,4,,,,,,,,,,,,,,,4.0,2.0,Català,0.0,Castellà,0.0,Anglès,5.0,Italià,16.0,4.0,4.0,yes,no,yes,Cant,8,Piano,8,Guitarra,8,,,"La fase 1 del primer lenguaje ha sido mucho más larga que las demás, cosa que al principio me ha confundido porque dejaba de sonar la voz de los otros lenguajes mucho antes. Eso me ha distraído un poco al principio pero luego he visto que formaba parte del propio experimento. Muchas gracias!",54.0,yes
379,2023-09-15_07h14.23.051,Unsyncopated1,s23,21.0,feminino,right,Espanya,Català (i castellà),Upper secondary,no,no,B,3,conjunction_syn,L4,syncopated,s1,r1,115,Online_conjL4_syn//d.pe.po18.1554.1110.wav,zi,ña,da,lo,sil,po,bo,pe,sil1,ru,sil2,['catch'],[1.8546000000237655],[1.8546000000237655],1.11,no_beat,0.7446000000237654,0.7446000000237654,"[""space""]",po,4,,,,,,,,,,,,,,,4.0,2.0,Català,0.0,Castellà,0.0,Anglès,5.0,Italià,16.0,4.0,4.0,yes,no,yes,Cant,8,Piano,8,Guitarra,8,,,"La fase 1 del primer lenguaje ha sido mucho más larga que las demás, cosa que al principio me ha confundido porque dejaba de sonar la voz de los otros lenguajes mucho antes. Eso me ha distraído un poco al principio pero luego he visto que formaba parte del propio experimento. Muchas gracias!",54.0,yes
380,2023-09-15_07h14.23.051,Unsyncopated1,s23,21.0,feminino,right,Espanya,Català (i castellà),Upper secondary,no,no,B,3,conjunction_syn,L4,syncopated,s2,r1,116,Online_conjL4_syn//d.pe.po1.1332.222.wav,ñi,po,da,zi,sil,bu,pe,lo,sil1,bo,sil2,['miss'],,,0.222,no_beat,,,,po,4,,,,,,,,,,,,,,,4.0,2.0,Català,0.0,Castellà,0.0,Anglès,5.0,Italià,16.0,4.0,4.0,yes,no,yes,Cant,8,Piano,8,Guitarra,8,,,"La fase 1 del primer lenguaje ha sido mucho más larga que las demás, cosa que al principio me ha confundido porque dejaba de sonar la voz de los otros lenguajes mucho antes. Eso me ha distraído un poco al principio pero luego he visto que formaba parte del propio experimento. Muchas gracias!",54.0,yes
381,2023-09-15_07h14.23.051,Unsyncopated1,s23,21.0,feminino,right,Espanya,Català (i castellà),Upper secondary,no,no,B,3,conjunction_syn,L4,syncopated,s2,r2,117,Online_conjL4_syn//d.pe.po3.none.none.wav,re,ñi,ña,ja,sil,ci,da,nu,sil1,bo,sil2,['-'],,,none,none,,,,po,4,,,,,,,,,,,,,,,4.0,2.0,Català,0.0,Castellà,0.0,Anglès,5.0,Italià,16.0,4.0,4.0,yes,no,yes,Cant,8,Piano,8,Guitarra,8,,,"La fase 1 del primer lenguaje ha sido mucho más larga que las demás, cosa que al principio me ha confundido porque dejaba de sonar la voz de los otros lenguajes mucho antes. Eso me ha distraído un poco al principio pero luego he visto que formaba parte del propio experimento. Muchas gracias!",54.0,yes
382,2023-09-15_07h14.23.051,Unsyncopated1,s23,21.0,feminino,right,Espanya,Català (i castellà),Upper secondary,no,no,B,3,conjunction_syn,L4,syncopated,s2,r1,118,Online_conjL4_syn//d.pe.po2.none.none.wav,de,bo,da,zi,sil,ci,ñi,lo,sil1,ña,sil2,['-'],,,none,none,,,,po,4,,,,,,,,,,,,,,,4.0,2.0,Català,0.0,Castellà,0.0,Anglès,5.0,Italià,16.0,4.0,4.0,yes,no,yes,Cant,8,Piano,8,Guitarra,8,,,"La fase 1 del primer lenguaje ha sido mucho más larga que las demás, cosa que al principio me ha confundido porque dejaba de sonar la voz de los otros lenguajes mucho antes. Eso me ha distraído un poco al principio pero luego he visto que formaba parte del propio experimento. Muchas gracias!",54.0,yes
383,2023-09-15_07h14.23.051,Unsyncopated1,s23,21.0,feminino,right,Espanya,Català (i castellà),Upper secondary,no,no,B,3,conjunction_syn,L4,syncopated,s2,r1,119,Online_conjL4_syn//d.pe.po0.none.none.wav,ci,ru,ña,zi,sil,de,bu,lo,sil1,da,sil2,['-'],,,none,none,,,,po,4,,,,,,,,,,,,,,,4.0,2.0,Català,0.0,Castellà,0.0,Anglès,5.0,Italià,16.0,4.0,4.0,yes,no,yes,Cant,8,Piano,8,Guitarra,8,,,"La fase 1 del primer lenguaje ha sido mucho más larga que las demás, cosa que al principio me ha confundido porque dejaba de sonar la voz de los otros lenguajes mucho antes. Eso me ha distraído un poco al principio pero luego he visto que formaba parte del propio experimento. Muchas gracias!",54.0,yes
384,2023-09-15_07h14.23.051,Unsyncopated1,s23,21.0,feminino,right,Espanya,Català (i castellà),Upper secondary,no,no,B,3,conjunction_syn,L4,syncopated,s1,r2,120,Online_conjL4_syn//d.pe.po31.444.1332.wav,ja,re,pe,nu,sil,de,po,ci,sil1,bo,sil2,['catch'],[2.0148999999764783],[2.0148999999764783],1.332,no_beat,0.6828999999764782,0.6828999999764782,"[""space""]",po,4,,,,,,,,,,,,,,,4.0,2.0,Català,0.0,Castellà,0.0,Anglès,5.0,Italià,16.0,4.0,4.0,yes,no,yes,Cant,8,Piano,8,Guitarra,8,,,"La fase 1 del primer lenguaje ha sido mucho más larga que las demás, cosa que al principio me ha confundido porque dejaba de sonar la voz de los otros lenguajes mucho antes. Eso me ha distraído un poco al principio pero luego he visto que formaba parte del propio experimento. Muchas gracias!",54.0,yes
385,2023-09-15_07h14.23.051,Unsyncopated1,s23,21.0,feminino,right,Espanya,Català (i castellà),Upper secondary,no,no,B,3,conjunction_syn,L4,syncopated,s2,r2,121,Online_conjL4_syn//d.pe.po29.none.none.wav,da,ña,ru,ja,sil,ñi,de,nu,sil1,ci,sil2,['-'],,,none,none,,,,po,4,,,,,,,,,,,,,,,4.0,2.0,Català,0.0,Castellà,0.0,Anglès,5.0,Italià,16.0,4.0,4.0,yes,no,yes,Cant,8,Piano,8,Guitarra,8,,,"La fase 1 del primer lenguaje ha sido mucho más larga que las demás, cosa que al principio me ha confundido porque dejaba de sonar la voz de los otros lenguajes mucho antes. Eso me ha distraído un poco al principio pero luego he visto que formaba parte del propio experimento. Muchas gracias!",54.0,yes
386,2023-09-15_07h14.23.051,Unsyncopated1,s23,21.0,feminino,right,Espanya,Català (i castellà),Upper secondary,no,no,B,3,conjunction_syn,L4,syncopated,s2,r1,122,Online_conjL4_syn//d.pe.po30.444.0.wav,po,ru,pe,zi,sil,bu,ci,lo,sil1,re,sil2,['catch'],[0.4928000000713837],[0.4928000000713837],0.0,beat,0.4928000000713837,0.4928000000713837,"[""space""]",po,4,,,,,,,,,,,,,,,4.0,2.0,Català,0.0,Castellà,0.0,Anglès,5.0,Italià,16.0,4.0,4.0,yes,no,yes,Cant,8,Piano,8,Guitarra,8,,,"La fase 1 del primer lenguaje ha sido mucho más larga que las demás, cosa que al principio me ha confundido porque dejaba de sonar la voz de los otros lenguajes mucho antes. Eso me ha distraído un poco al principio pero luego he visto que formaba parte del propio experimento. Muchas gracias!",54.0,yes
387,2023-09-15_07h14.23.051,Unsyncopated1,s23,21.0,feminino,right,Espanya,Català (i castellà),Upper secondary,no,no,B,3,conjunction_syn,L4,syncopated,s1,r2,123,Online_conjL4_syn//d.pe.po28.none.none.wav,ja,ru,ña,nu,sil,re,bu,da,sil1,ci,sil2,['-'],,,none,none,,,,po,4,,,,,,,,,,,,,,,4.0,2.0,Català,0.0,Castellà,0.0,Anglès,5.0,Italià,16.0,4.0,4.0,yes,no,yes,Cant,8,Piano,8,Guitarra,8,,,"La fase 1 del primer lenguaje ha sido mucho más larga que las demás, cosa que al principio me ha confundido porque dejaba de sonar la voz de los otros lenguajes mucho antes. Eso me ha distraído un poco al principio pero luego he visto que formaba parte del propio experimento. Muchas gracias!",54.0,yes
