Unnamed: 0,date,expName,participant,age,sex,hand,residence,native_lang,education_level,lang_deficit,aud_deficit,group,block,condition,language,rhythm,rule structure online,rule type online,order_trial_on,trial_online,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,catch_syll_resp,rts_syll_catch,clean_rts,time_syll,beat_no_beat,catch_rtsTR,catch_rts,syllable_catch.keys,cond_syll,syll_to_catch,test_offline,block_off,condition_off,rhythm_off,rule,rule_str_off,rule_norule,conds_offline,language_off,Partz_no_partm.keys,Partz_no_partm.rt,security_1_7.keys,accuracy,security_1_7.rt,n_lang,n_lang_used,lang_1,age_l1,lang_2,age_l2,lang_3,age_l3,ability_learn_l2,tendence_mix_lan,music_experience,muisc_use,partiture,instr_1,age_M1,instr_2,age_M2,age_M5,preguntas_musica1,BMRQ_answer.response,final comment,BMRQ_Score,bilingual
187,2023-09-15_18h41.27.242,Unsyncopated1,s21,26.0,feminino,right,España,Español,Master degree,no,no,B,2,conjunction_syn,L4,syncopated,s2,r1,51,Online_conjL4_syn//d.pe.po2.none.none.wav,de,bo,da,zi,sil,ci,ñi,lo,sil1,ña,sil2,['-'],,,none,none,,,,po,4,,,,,,,,,,,,,,,3 ,3.0,Español,0.0,Catalán,0.0,Inlés,4 ,3.0,4.0,no,no,no,nada,0,nada  ,0, ,,,nada ,70.0,yes
188,2023-09-15_18h41.27.242,Unsyncopated1,s21,26.0,feminino,right,España,Español,Master degree,no,no,B,2,conjunction_syn,L4,syncopated,s1,r2,52,Online_conjL4_syn//b.ja.nu4.0.666.wav,ja,re,ru,nu,sil,po,pe,da,sil1,ñi,sil2,['catch'],[1.3289999999999509],[1.3289999999999509],0.666,no_beat,0.6629999999999509,0.6629999999999509,"[""space""]",nu,2,,,,,,,,,,,,,,,3 ,3.0,Español,0.0,Catalán,0.0,Inlés,4 ,3.0,4.0,no,no,no,nada,0,nada  ,0, ,,,nada ,70.0,yes
189,2023-09-15_18h41.27.242,Unsyncopated1,s21,26.0,feminino,right,España,Español,Master degree,no,no,B,2,conjunction_syn,L4,syncopated,s1,r1,53,Online_conjL4_syn//b.ja.nu7.none.none.wav,zi,po,pe,lo,sil,ci,bu,ñi,sil1,ru,sil2,['-'],,,none,none,,,,nu,2,,,,,,,,,,,,,,,3 ,3.0,Español,0.0,Catalán,0.0,Inlés,4 ,3.0,4.0,no,no,no,nada,0,nada  ,0, ,,,nada ,70.0,yes
190,2023-09-15_18h41.27.242,Unsyncopated1,s21,26.0,feminino,right,España,Español,Master degree,no,no,B,2,conjunction_syn,L4,syncopated,s1,r1,54,Online_conjL4_syn//b.ja.nu5.none.none.wav,zi,bo,pe,lo,sil,po,re,da,sil1,ñi,sil2,['-'],,,none,none,,,,nu,2,,,,,,,,,,,,,,,3 ,3.0,Español,0.0,Catalán,0.0,Inlés,4 ,3.0,4.0,no,no,no,nada,0,nada  ,0, ,,,nada ,70.0,yes
191,2023-09-15_18h41.27.242,Unsyncopated1,s21,26.0,feminino,right,España,Español,Master degree,no,no,B,2,conjunction_syn,L4,syncopated,s2,r1,55,Online_conjL4_syn//b.ja.nu6.none.none.wav,ña,po,ru,zi,sil,ñi,re,lo,sil1,bo,sil2,['-'],,,none,none,,,,nu,2,,,,,,,,,,,,,,,3 ,3.0,Español,0.0,Catalán,0.0,Inlés,4 ,3.0,4.0,no,no,no,nada,0,nada  ,0, ,,,nada ,70.0,yes
192,2023-09-15_18h41.27.242,Unsyncopated1,s21,26.0,feminino,right,España,Español,Master degree,no,no,B,2,conjunction_syn,L4,syncopated,s2,r2,56,Online_conjL4_syn//b.ja.nu27.666.1554.wav,ña,po,re,ja,sil,de,bo,nu,sil1,ci,sil2,['catch'],[2.076100000001361],[2.076100000001361],1.554,no_beat,0.5221000000013609,0.5221000000013609,"[""space""]",nu,2,,,,,,,,,,,,,,,3 ,3.0,Español,0.0,Catalán,0.0,Inlés,4 ,3.0,4.0,no,no,no,nada,0,nada  ,0, ,,,nada ,70.0,yes
193,2023-09-15_18h41.27.242,Unsyncopated1,s21,26.0,feminino,right,España,Español,Master degree,no,no,B,2,conjunction_syn,L4,syncopated,s2,r1,57,Online_conjL4_syn//b.ja.nu24.none.none.wav,bo,ñi,re,zi,sil,pe,ci,lo,sil1,de,sil2,['-'],,,none,none,,,,nu,2,,,,,,,,,,,,,,,3 ,3.0,Español,0.0,Catalán,0.0,Inlés,4 ,3.0,4.0,no,no,no,nada,0,nada  ,0, ,,,nada ,70.0,yes
194,2023-09-15_18h41.27.242,Unsyncopated1,s21,26.0,feminino,right,España,Español,Master degree,no,no,B,2,conjunction_syn,L4,syncopated,s2,r2,58,Online_conjL4_syn//b.ja.nu26.666.1554.wav,pe,bu,ña,ja,sil,po,ru,nu,sil1,bo,sil2,['catch'],[2.0803999999984626],[2.0803999999984626],1.554,no_beat,0.5263999999984625,0.5263999999984625,"[""space""]",nu,2,,,,,,,,,,,,,,,3 ,3.0,Español,0.0,Catalán,0.0,Inlés,4 ,3.0,4.0,no,no,no,nada,0,nada  ,0, ,,,nada ,70.0,yes
195,2023-09-15_18h41.27.242,Unsyncopated1,s21,26.0,feminino,right,España,Español,Master degree,no,no,B,2,conjunction_syn,L4,syncopated,s1,r1,59,Online_conjL4_syn//b.ja.nu25.none.none.wav,zi,pe,da,lo,sil,re,po,bo,sil1,ci,sil2,['-'],,,none,none,,,,nu,2,,,,,,,,,,,,,,,3 ,3.0,Español,0.0,Catalán,0.0,Inlés,4 ,3.0,4.0,no,no,no,nada,0,nada  ,0, ,,,nada ,70.0,yes
196,2023-09-15_18h41.27.242,Unsyncopated1,s21,26.0,feminino,right,España,Español,Master degree,no,no,B,2,conjunction_syn,L4,syncopated,s2,r2,60,Online_conjL4_syn//a.zi.lo0.none.none.wav,bu,bo,po,ja,sil,de,ñi,nu,sil1,re,sil2,['-'],,,none,none,,,,zi,1,,,,,,,,,,,,,,,3 ,3.0,Español,0.0,Catalán,0.0,Inlés,4 ,3.0,4.0,no,no,no,nada,0,nada  ,0, ,,,nada ,70.0,yes
