Unnamed: 0,date,expName,participant,age,sex,hand,residence,native_lang,education_level,lang_deficit,aud_deficit,group,block,condition,language,rhythm,rule structure online,rule type online,order_trial_on,trial_online,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,catch_syll_resp,rts_syll_catch,clean_rts,time_syll,beat_no_beat,catch_rtsTR,catch_rts,syllable_catch.keys,cond_syll,syll_to_catch,test_offline,block_off,condition_off,rhythm_off,rule,rule_str_off,rule_norule,conds_offline,language_off,Partz_no_partm.keys,Partz_no_partm.rt,security_1_7.keys,accuracy,security_1_7.rt,n_lang,n_lang_used,lang_1,age_l1,lang_2,age_l2,lang_3,age_l3,ability_learn_l2,tendence_mix_lan,music_experience,muisc_use,partiture,instr_1,age_M1,instr_2,age_M2,preguntas_musica1,BMRQ_answer.response,final comment,BMRQ_Score,bilingual
0,2023-07-24_13h09.44.769,Unsyncopated1,s9,31.0,feminino,right,españa,español,Bachelor degree,no,no,A,1,what,L2,unsyncopated,s1,r2,0,Online_whatL2//d.si.ñu14.none.none.wav,fe,te,cha,sil,ra,mi,ba,sil1,bi,ño,sil2,['-'],,,none,none,,,,si,4,testWhatL2Uns//r2.s2.0.wav,1.0,what,unsyncopated,b,s2,rule,rule,L2,z,5.0121,6.0,1.0,4.055,3.0,2.0,Español,0.0,Ingles,8.0,Catalan,22.0,5.0,4.0,yes,no,yes,Flauta,6,Piano,6,1. Cuando comparto música con alguien siento una complicidad especial con aquella persona.,3.0,"Me ha gustado mucho, aunque he tenido diferentes aproximaciones a cada uno de los lenguajes, por ejemplo, el primero lo sobreanalicé y el último lo hice por intuición. También creo que se pierde un poco el spam de atención al final de cada ejercicio y sobretodo en el Lenguaje 4. Desde mi experiencia, sentía que había establecido un ritmo y unas reglas y en las preguntas no escuchaba muchas cosas similares, así que la mayoría de respuestas fueron hechas con incertidumbre.",65.0,yes
1,2023-07-24_13h09.44.769,Unsyncopated1,s9,31.0,feminino,right,españa,español,Bachelor degree,no,no,A,1,what,L2,unsyncopated,s2,r2,1,Online_whatL2//d.si.ñu15.none.none.wav,su,te,mi,sil2,fe,ño,bi,sil,ra,cha,sil1,['-'],,,none,none,,,,si,4,testWhatL2Uns//dep_viol.r1.s2.0.wav,1.0,what,unsyncopated,a,s2,no_rule,dep,L2,m,6.2213,4.0,1.0,1.2883,3.0,2.0,Español,0.0,Ingles,8.0,Catalan,22.0,5.0,4.0,yes,no,yes,Flauta,6,Piano,6,2. En mi tiempo libre apenas escucho música.,4.0,"Me ha gustado mucho, aunque he tenido diferentes aproximaciones a cada uno de los lenguajes, por ejemplo, el primero lo sobreanalicé y el último lo hice por intuición. También creo que se pierde un poco el spam de atención al final de cada ejercicio y sobretodo en el Lenguaje 4. Desde mi experiencia, sentía que había establecido un ritmo y unas reglas y en las preguntas no escuchaba muchas cosas similares, así que la mayoría de respuestas fueron hechas con incertidumbre.",65.0,yes
2,2023-07-24_13h09.44.769,Unsyncopated1,s9,31.0,feminino,right,españa,español,Bachelor degree,no,no,A,1,what,L2,unsyncopated,s1,r1,2,Online_whatL2//d.si.ñu12.222.444.wav,go,si,ñu,sil,du,ba,me,sil1,bi,to,sil2,['catch'],[0.7445000000000164],[0.7445000000000164],0.222,no_beat,0.5225000000000164,0.5225000000000164,"[""space""]",si,4,testWhatL2Uns//cat_viol.r1.s2.0.wav,1.0,what,unsyncopated,a,s2,no_rule,cat,L2,m,4.9189,6.0,1.0,1.3217,3.0,2.0,Español,0.0,Ingles,8.0,Catalan,22.0,5.0,4.0,yes,no,yes,Flauta,6,Piano,6,3. Algunas canciones me ponen los pelos de punta,4.0,"Me ha gustado mucho, aunque he tenido diferentes aproximaciones a cada uno de los lenguajes, por ejemplo, el primero lo sobreanalicé y el último lo hice por intuición. También creo que se pierde un poco el spam de atención al final de cada ejercicio y sobretodo en el Lenguaje 4. Desde mi experiencia, sentía que había establecido un ritmo y unas reglas y en las preguntas no escuchaba muchas cosas similares, así que la mayoría de respuestas fueron hechas con incertidumbre.",65.0,yes
3,2023-07-24_13h09.44.769,Unsyncopated1,s9,31.0,feminino,right,españa,español,Bachelor degree,no,no,A,1,what,L2,unsyncopated,s2,r2,3,Online_whatL2//d.si.ñu13.444.0.wav,ñu,te,si,sil,fe,bi,cha,sil1,ra,ba,sil2,['miss'],,,0.444,no_beat,,,,si,4,testWhatL2Uns//r2.s1.1.wav,1.0,what,unsyncopated,b,s1,rule,rule,L2,z,10.425,2.0,1.0,3.9194,3.0,2.0,Español,0.0,Ingles,8.0,Catalan,22.0,5.0,4.0,yes,no,yes,Flauta,6,Piano,6,4. La música me hace compañía cuando estoy solo,3.0,"Me ha gustado mucho, aunque he tenido diferentes aproximaciones a cada uno de los lenguajes, por ejemplo, el primero lo sobreanalicé y el último lo hice por intuición. También creo que se pierde un poco el spam de atención al final de cada ejercicio y sobretodo en el Lenguaje 4. Desde mi experiencia, sentía que había establecido un ritmo y unas reglas y en las preguntas no escuchaba muchas cosas similares, así que la mayoría de respuestas fueron hechas con incertidumbre.",65.0,yes
4,2023-07-24_13h09.44.769,Unsyncopated1,s9,31.0,feminino,right,españa,español,Bachelor degree,no,no,A,1,what,L2,unsyncopated,s2,r2,4,Online_whatL2//a.go.du27.none.none.wav,mi,cha,ba,sil,fe,bi,su,sil2,ra,ño,sil1,['-'],,,none,none,,,,du,2,testWhatL2Uns//r2.s2.2.wav,1.0,what,unsyncopated,b,s2,rule,rule,L2,z,1.6864,7.0,1.0,1.9236,3.0,2.0,Español,0.0,Ingles,8.0,Catalan,22.0,5.0,4.0,yes,no,yes,Flauta,6,Piano,6,5. No me apetece bailar ni con la música que más me gusta,5.0,"Me ha gustado mucho, aunque he tenido diferentes aproximaciones a cada uno de los lenguajes, por ejemplo, el primero lo sobreanalicé y el último lo hice por intuición. También creo que se pierde un poco el spam de atención al final de cada ejercicio y sobretodo en el Lenguaje 4. Desde mi experiencia, sentía que había establecido un ritmo y unas reglas y en las preguntas no escuchaba muchas cosas similares, así que la mayoría de respuestas fueron hechas con incertidumbre.",65.0,yes
5,2023-07-24_13h09.44.769,Unsyncopated1,s9,31.0,feminino,right,españa,español,Bachelor degree,no,no,A,1,what,L2,unsyncopated,s2,r2,5,Online_whatL2//a.go.du24.none.none.wav,me,cha,bi,sil,fe,ño,su,sil2,ra,to,sil1,['-'],,,none,none,,,,du,2,testWhatL2Uns//time_viol.r1.s2.0.wav,1.0,what,unsyncopated,a,s2,no_rule,time,L2,z,2.057,6.0,0.0,2.4231,3.0,2.0,Español,0.0,Ingles,8.0,Catalan,22.0,5.0,4.0,yes,no,yes,Flauta,6,Piano,6,6. La música me hace conectar con la gente,3.0,"Me ha gustado mucho, aunque he tenido diferentes aproximaciones a cada uno de los lenguajes, por ejemplo, el primero lo sobreanalicé y el último lo hice por intuición. También creo que se pierde un poco el spam de atención al final de cada ejercicio y sobretodo en el Lenguaje 4. Desde mi experiencia, sentía que había establecido un ritmo y unas reglas y en las preguntas no escuchaba muchas cosas similares, así que la mayoría de respuestas fueron hechas con incertidumbre.",65.0,yes
6,2023-07-24_13h09.44.769,Unsyncopated1,s9,31.0,feminino,right,españa,español,Bachelor degree,no,no,A,1,what,L2,unsyncopated,s1,r2,6,Online_whatL2//a.go.du26.none.none.wav,fe,te,si,sil2,ra,ba,to,sil,su,bi,sil1,['false alarm'],[0.5458000000006678],[0.5458000000006678],none,none,,,"[""space""]",du,2,testWhatL2Uns//cat_viol.r2.s2.0.wav,1.0,what,unsyncopated,b,s2,no_rule,cat,L2,z,1.4877,6.0,0.0,2.4378,3.0,2.0,Español,0.0,Ingles,8.0,Catalan,22.0,5.0,4.0,yes,no,yes,Flauta,6,Piano,6,7. Me informo sobre la música que me gusta.,4.0,"Me ha gustado mucho, aunque he tenido diferentes aproximaciones a cada uno de los lenguajes, por ejemplo, el primero lo sobreanalicé y el último lo hice por intuición. También creo que se pierde un poco el spam de atención al final de cada ejercicio y sobretodo en el Lenguaje 4. Desde mi experiencia, sentía que había establecido un ritmo y unas reglas y en las preguntas no escuchaba muchas cosas similares, así que la mayoría de respuestas fueron hechas con incertidumbre.",65.0,yes
7,2023-07-24_13h09.44.769,Unsyncopated1,s9,31.0,feminino,right,españa,español,Bachelor degree,no,no,A,1,what,L2,unsyncopated,s1,r1,7,Online_whatL2//a.go.du25.0.888.wav,go,bi,ñu,sil,du,mi,si,sil2,su,cha,sil1,['catch'],[1.6785000000000991],[1.6785000000000991],0.888,beat,0.7905000000000991,0.7905000000000991,"[""space""]",du,2,testWhatL2Uns//dep_viol.r1.s1.0.wav,1.0,what,unsyncopated,a,s1,no_rule,dep,L2,m,1.3292,6.0,1.0,1.487,3.0,2.0,Español,0.0,Ingles,8.0,Catalan,22.0,5.0,4.0,yes,no,yes,Flauta,6,Piano,6,8.Me emociono escuchando ciertas canciones.,4.0,"Me ha gustado mucho, aunque he tenido diferentes aproximaciones a cada uno de los lenguajes, por ejemplo, el primero lo sobreanalicé y el último lo hice por intuición. También creo que se pierde un poco el spam de atención al final de cada ejercicio y sobretodo en el Lenguaje 4. Desde mi experiencia, sentía que había establecido un ritmo y unas reglas y en las preguntas no escuchaba muchas cosas similares, así que la mayoría de respuestas fueron hechas con incertidumbre.",65.0,yes
8,2023-07-24_13h09.44.769,Unsyncopated1,s9,31.0,feminino,right,españa,español,Bachelor degree,no,no,A,1,what,L2,unsyncopated,s1,r2,8,Online_whatL2//b.fe.ra0.0.1110.wav,fe,cha,ño,sil2,ra,te,me,sil,to,ñu,sil1,['catch'],[0.8208999999985735],[0.8208999999985735],0.0,beat,0.8208999999985735,0.8208999999985735,"[""space""]",fe,1,testWhatL2Uns//r1.s1.2.wav,1.0,what,unsyncopated,a,s1,rule,rule,L2,m,2.4527,3.0,0.0,2.0896,3.0,2.0,Español,0.0,Ingles,8.0,Catalan,22.0,5.0,4.0,yes,no,yes,Flauta,6,Piano,6,9.La música me tranquiliza y me relaja.,3.0,"Me ha gustado mucho, aunque he tenido diferentes aproximaciones a cada uno de los lenguajes, por ejemplo, el primero lo sobreanalicé y el último lo hice por intuición. También creo que se pierde un poco el spam de atención al final de cada ejercicio y sobretodo en el Lenguaje 4. Desde mi experiencia, sentía que había establecido un ritmo y unas reglas y en las preguntas no escuchaba muchas cosas similares, así que la mayoría de respuestas fueron hechas con incertidumbre.",65.0,yes
9,2023-07-24_13h09.44.769,Unsyncopated1,s9,31.0,feminino,right,españa,español,Bachelor degree,no,no,A,1,what,L2,unsyncopated,s2,r2,9,Online_whatL2//b.fe.ra3.1110.1998.wav,si,ño,me,sil2,fe,ñu,cha,sil,ra,bi,sil1,['catch'],[1.5773000000007187],[1.5773000000007187],1.11,no_beat,0.4673000000007186,0.4673000000007186,"[""space""]",fe,1,testWhatL2Uns//time_viol.r2.s2.0.wav,1.0,what,unsyncopated,b,s2,no_rule,time,L2,m,2.9967,6.0,1.0,3.3233,3.0,2.0,Español,0.0,Ingles,8.0,Catalan,22.0,5.0,4.0,yes,no,yes,Flauta,6,Piano,6,10.La música me hace bailar,3.0,"Me ha gustado mucho, aunque he tenido diferentes aproximaciones a cada uno de los lenguajes, por ejemplo, el primero lo sobreanalicé y el último lo hice por intuición. También creo que se pierde un poco el spam de atención al final de cada ejercicio y sobretodo en el Lenguaje 4. Desde mi experiencia, sentía que había establecido un ritmo y unas reglas y en las preguntas no escuchaba muchas cosas similares, así que la mayoría de respuestas fueron hechas con incertidumbre.",65.0,yes
