Unnamed: 0,date,expName,participant,age,sex,hand,residence,native_lang,education_level,lang_deficit,aud_deficit,group,block,condition,language,rhythm,rule structure online,rule type online,order_trial_on,trial_online,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,catch_syll_resp,rts_syll_catch,clean_rts,time_syll,beat_no_beat,catch_rtsTR,catch_rts,syllable_catch.keys,cond_syll,syll_to_catch,test_offline,block_off,condition_off,rhythm_off,rule,rule_str_off,rule_norule,conds_offline,language_off,Partz_no_partm.keys,Partz_no_partm.rt,security_1_7.keys,accuracy,security_1_7.rt,n_lang,n_lang_used,lang_1,age_l1,lang_2,age_l2,ability_learn_l2,tendence_mix_lan,music_experience,muisc_use,partiture,instr_1,age_M1,preguntas_musica1,BMRQ_answer.response,final comment,BMRQ_Score,bilingual
0,2024-02-03_16h50.34.026,Unsyncopated_study2,s100,23.0,feminino,right,España,Castellano,Master degree,no,no,B,1,what,L3,unsyncopated,s2,r2,0,Online_whatL3//b.ñe.sa10.1110.1998.wav,ga,le,gu,sil2,ñe,di,li,sil,sa,ji,sil1,['catch'],[2.3486000000239073],[2.3486000000239073],1.998,no_beat,0.3506000000239073,0.3506000000239073,"[""space""]",sa,2,testWhatL3Uns//dep_viol.r2.s1.0.wav,1.0,what,unsyncopated,b,s1,no_rule,dep,L3,z,1.3342,6.0,0.0,2.8319,2.0,2.0,Castellano,0.0,Inglés,6.0,3.0,2.0,no,no,no,nada,,1. Cuando comparto música con alguien siento una complicidad especial con aquella persona.,0.0,nada,53.0,yes
1,2024-02-03_16h50.34.026,Unsyncopated_study2,s100,23.0,feminino,right,España,Castellano,Master degree,no,no,B,1,what,L3,unsyncopated,s2,r2,1,Online_whatL3//b.ñe.sa11.1110.1998.wav,li,ko,ka,sil2,ñe,je,ji,sil,sa,fu,sil1,['catch'],[2.3881999999284744],[2.3881999999284744],1.998,no_beat,0.3901999999284744,0.3901999999284744,"[""space""]",sa,2,testWhatL3Uns//dep_viol.r1.s2.0.wav,1.0,what,unsyncopated,a,s2,no_rule,dep,L3,z,0.9438,6.0,0.0,2.7379,2.0,2.0,Castellano,0.0,Inglés,6.0,3.0,2.0,no,no,no,nada,,2. En mi tiempo libre apenas escucho música.,4.0,nada,53.0,yes
2,2024-02-03_16h50.34.026,Unsyncopated_study2,s100,23.0,feminino,right,España,Castellano,Master degree,no,no,B,1,what,L3,unsyncopated,s2,r2,2,Online_whatL3//b.ñe.sa8.1110.1998.wav,li,do,di,sil2,ñe,gu,ji,sil,sa,je,sil1,['catch'],[2.3424999999999727],[2.3424999999999727],1.998,no_beat,0.3444999999999727,0.3444999999999727,"[""space""]",sa,2,testWhatL3Uns//time_viol.r1.s1.0.wav,1.0,what,unsyncopated,a,s1,no_rule,time,L3,z,0.9679,5.0,0.0,1.4904,2.0,2.0,Castellano,0.0,Inglés,6.0,3.0,2.0,no,no,no,nada,,3. Algunas canciones me ponen los pelos de punta,3.0,nada,53.0,yes
3,2024-02-03_16h50.34.026,Unsyncopated_study2,s100,23.0,feminino,right,España,Castellano,Master degree,no,no,B,1,what,L3,unsyncopated,s1,r2,3,Online_whatL3//b.ñe.sa9.0.1110.wav,ñe,fu,di,sil2,sa,ka,le,sil,li,je,sil1,['catch'],[1.5045000000000073],[1.5045000000000073],1.11,no_beat,0.3945000000000072,0.3945000000000072,"[""space""]",sa,2,testWhatL3Uns//r2.s1.0.wav,1.0,what,unsyncopated,b,s1,rule,rule,L3,m,0.3183,5.0,0.0,2.7412,2.0,2.0,Castellano,0.0,Inglés,6.0,3.0,2.0,no,no,no,nada,,4. La música me hace compañía cuando estoy solo,3.0,nada,53.0,yes
4,2024-02-03_16h50.34.026,Unsyncopated_study2,s100,23.0,feminino,right,España,Castellano,Master degree,no,no,B,1,what,L3,unsyncopated,s1,r1,4,Online_whatL3//c.gu.je26.none.none.wav,chu,di,le,sil,mo,li,ko,sil2,ka,fu,sil1,['-'],,,none,none,,,,je,3,testWhatL3Uns//dep_viol.r1.s1.0.wav,1.0,what,unsyncopated,a,s1,no_rule,dep,L3,z,0.9589,5.0,0.0,1.6337,2.0,2.0,Castellano,0.0,Inglés,6.0,3.0,2.0,no,no,no,nada,,5. No me apetece bailar ni con la música que más me gusta,5.0,nada,53.0,yes
5,2024-02-03_16h50.34.026,Unsyncopated_study2,s100,23.0,feminino,right,España,Castellano,Master degree,no,no,B,1,what,L3,unsyncopated,s1,r2,5,Online_whatL3//c.gu.je25.none.none.wav,ñe,ko,ka,sil,sa,do,li,sil2,di,ji,sil1,['false alarm'],[1.2207000000477137],[1.2207000000477137],none,none,,,"[""space""]",je,3,testWhatL3Uns//cat_viol.r1.s1.0.wav,1.0,what,unsyncopated,a,s1,no_rule,cat,L3,z,0.8186,5.0,0.0,1.2166,2.0,2.0,Castellano,0.0,Inglés,6.0,3.0,2.0,no,no,no,nada,,6. La música me hace conectar con la gente,3.0,nada,53.0,yes
6,2024-02-03_16h50.34.026,Unsyncopated_study2,s100,23.0,feminino,right,España,Castellano,Master degree,no,no,B,1,what,L3,unsyncopated,s1,r2,6,Online_whatL3//c.gu.je27.1776.222.wav,ñe,je,li,sil,sa,ji,ga,sil1,gu,fu,sil2,['miss'],,,0.222,no_beat,,,,je,3,testWhatL3Uns//cat_viol.r1.s2.0.wav,1.0,what,unsyncopated,a,s2,no_rule,cat,L3,z,0.9179,5.0,0.0,1.2182,2.0,2.0,Castellano,0.0,Inglés,6.0,3.0,2.0,no,no,no,nada,,7. Me informo sobre la música que me gusta.,1.0,nada,53.0,yes
7,2024-02-03_16h50.34.026,Unsyncopated_study2,s100,23.0,feminino,right,España,Castellano,Master degree,no,no,B,1,what,L3,unsyncopated,s2,r2,7,Online_whatL3//c.gu.je24.222.1110.wav,fu,gu,do,sil,ñe,je,di,sil1,sa,ga,sil2,['catch'],[1.8872999999523472],[1.8872999999523472],1.11,no_beat,0.7772999999523471,0.7772999999523471,"[""space""]",je,3,testWhatL3Uns//dep_viol.r2.s2.0.wav,1.0,what,unsyncopated,b,s2,no_rule,dep,L3,z,0.5827,5.0,0.0,1.2695,2.0,2.0,Castellano,0.0,Inglés,6.0,3.0,2.0,no,no,no,nada,,8.Me emociono escuchando ciertas canciones.,4.0,nada,53.0,yes
8,2024-02-03_16h50.34.026,Unsyncopated_study2,s100,23.0,feminino,right,España,Castellano,Master degree,no,no,B,1,what,L3,unsyncopated,s2,r2,8,Online_whatL3//d.ji.li30.none.none.wav,gu,di,fu,sil,ñe,je,le,sil1,sa,ko,sil2,['-'],,,none,none,,,,li,4,testWhatL3Uns//r1.s1.1.wav,1.0,what,unsyncopated,a,s1,rule,rule,L3,z,2.2015,7.0,1.0,0.8113,2.0,2.0,Castellano,0.0,Inglés,6.0,3.0,2.0,no,no,no,nada,,9.La música me tranquiliza y me relaja.,4.0,nada,53.0,yes
9,2024-02-03_16h50.34.026,Unsyncopated_study2,s100,23.0,feminino,right,España,Castellano,Master degree,no,no,B,1,what,L3,unsyncopated,s1,r2,9,Online_whatL3//d.ji.li28.none.none.wav,ñe,ka,di,sil2,sa,le,ko,sil,je,ga,sil1,['-'],,,none,none,,,,li,4,testWhatL3Uns//r2.s2.1.wav,1.0,what,unsyncopated,b,s2,rule,rule,L3,m,0.4383,4.0,0.0,1.6737,2.0,2.0,Castellano,0.0,Inglés,6.0,3.0,2.0,no,no,no,nada,,10.La música me hace bailar,4.0,nada,53.0,yes
