Unnamed: 0,date,expName,participant,age,sex,hand,residence,native_lang,education_level,lang_deficit,aud_deficit,group,block,condition,language,rhythm,rule structure online,rule type online,order_trial_on,trial_online,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,catch_syll_resp,rts_syll_catch,clean_rts,time_syll,beat_no_beat,catch_rtsTR,catch_rts,syllable_catch.keys,cond_syll,syll_to_catch,test_offline,block_off,condition_off,rhythm_off,rule,rule_str_off,rule_norule,conds_offline,language_off,Partz_no_partm.keys,Partz_no_partm.rt,security_1_7.keys,accuracy,security_1_7.rt,n_lang,n_lang_used,lang_1,age_l1,lang_2,age_l2,lang_3,age_l3,lang_4,age_l4,ability_learn_l2,tendence_mix_lan,music_experience,muisc_use,partiture,instr_1,age_M1,preguntas_musica1,BMRQ_answer.response,final comment,BMRQ_Score,bilingual
0,2024-02-27_19h20.58.800,Unsyncopated_study3,s131,18,feminino,right,España,Castellano y catalán,Bachelor degree,no,no,A,1,conjunction_un,L3,unsyncopated,s1,r1,0,Online_conjL3_un//b.ñe.sa11.none.none.wav,chu,ka,fu,sil,mo,ga,ji,sil1,je,le,sil2,['-'],,,none,none,,,,ñe,1,testConjL3Uns//dep_viol.r2.s1.0.wav,1.0,conjunction_un,unsyncopated,b,s1,no_rule,dep,L3,z,3.8895,3.0,0.0,2.8315,4,3,Catalán,0,Castellano,0,Inglés,1,Alemán,13,5,6,yes,no,yes,Flauta dulce,10,1. Cuando comparto música con alguien siento una complicidad especial con aquella persona.,3.0,  ,59.0,yes
1,2024-02-27_19h20.58.800,Unsyncopated_study3,s131,18,feminino,right,España,Castellano y catalán,Bachelor degree,no,no,A,1,conjunction_un,L3,unsyncopated,s1,r2,1,Online_conjL3_un//b.ñe.sa8.0.888.wav,ñe,li,je,sil,sa,ka,ga,sil1,fu,do,sil2,['catch'],[0.7139000000357782],[0.7139000000357782],0,beat,0.7139,0.7139,"[""space""]",ñe,1,testConjL3Uns//r2.s1.1.wav,1.0,conjunction_un,unsyncopated,b,s1,rule,rule,L3,z,0.6425,7.0,1.0,1.1837,4,3,Catalán,0,Castellano,0,Inglés,1,Alemán,13,5,6,yes,no,yes,Flauta dulce,10,2. En mi tiempo libre apenas escucho música.,5.0,  ,59.0,yes
2,2024-02-27_19h20.58.800,Unsyncopated_study3,s131,18,feminino,right,España,Castellano y catalán,Bachelor degree,no,no,A,1,conjunction_un,L3,unsyncopated,s2,r1,2,Online_conjL3_un//b.ñe.sa10.none.none.wav,do,je,le,sil,chu,di,fu,sil1,mo,ji,sil2,['-'],,,none,none,,,,ñe,1,testConjL3Uns//r1.s1.2.wav,1.0,conjunction_un,unsyncopated,a,s1,rule,rule,L3,z,0.6699,6.0,1.0,1.6198,4,3,Catalán,0,Castellano,0,Inglés,1,Alemán,13,5,6,yes,no,yes,Flauta dulce,10,3. Algunas canciones me ponen los pelos de punta,4.0,  ,59.0,yes
3,2024-02-27_19h20.58.800,Unsyncopated_study3,s131,18,feminino,right,España,Castellano y catalán,Bachelor degree,no,no,A,1,conjunction_un,L3,unsyncopated,s2,r2,3,Online_conjL3_un//b.ñe.sa9.888.1776.wav,le,ji,ga,sil,ñe,do,ka,sil1,sa,li,sil2,['catch'],[1.5633999999761272],[1.5633999999761272],0.888,beat,0.6754,0.6754,"[""space""]",ñe,1,testConjL3Uns//r2.s1.2.wav,1.0,conjunction_un,unsyncopated,b,s1,rule,rule,L3,m,0.7535,7.0,0.0,1.55,4,3,Catalán,0,Castellano,0,Inglés,1,Alemán,13,5,6,yes,no,yes,Flauta dulce,10,4. La música me hace compañía cuando estoy solo,4.0,  ,59.0,yes
4,2024-02-27_19h20.58.800,Unsyncopated_study3,s131,18,feminino,right,España,Castellano y catalán,Bachelor degree,no,no,A,1,conjunction_un,L3,unsyncopated,s1,r1,4,Online_conjL3_un//c.gu.je3.1110.1332.wav,chu,li,le,sil,mo,gu,je,sil1,do,ka,sil2,['catch'],[2.2826000000238764],[2.2826000000238764],1.11,no_beat,1.1726,1.1726,"[""space""]",gu,3,testConjL3Uns//dep_viol.r1.s1.0.wav,1.0,conjunction_un,unsyncopated,a,s1,no_rule,dep,L3,m,1.1659,5.0,1.0,3.1305,4,3,Catalán,0,Castellano,0,Inglés,1,Alemán,13,5,6,yes,no,yes,Flauta dulce,10,5. No me apetece bailar ni con la música que más me gusta,5.0,  ,59.0,yes
5,2024-02-27_19h20.58.800,Unsyncopated_study3,s131,18,feminino,right,España,Castellano y catalán,Bachelor degree,no,no,A,1,conjunction_un,L3,unsyncopated,s2,r1,5,Online_conjL3_un//c.gu.je2.none.none.wav,ga,ko,li,sil,chu,ka,le,sil1,mo,ji,sil2,['-'],,,none,none,,,,gu,3,testConjL3Uns//cat_viol.r1.s2.0.wav,1.0,conjunction_un,unsyncopated,a,s2,no_rule,cat,L3,m,0.959,3.0,1.0,1.4202,4,3,Catalán,0,Castellano,0,Inglés,1,Alemán,13,5,6,yes,no,yes,Flauta dulce,10,6. La música me hace conectar con la gente,2.0,  ,59.0,yes
6,2024-02-27_19h20.58.800,Unsyncopated_study3,s131,18,feminino,right,España,Castellano y catalán,Bachelor degree,no,no,A,1,conjunction_un,L3,unsyncopated,s1,r2,6,Online_conjL3_un//c.gu.je1.444.1110.wav,ñe,fu,gu,sil,sa,je,ka,sil1,li,ji,sil2,['catch'],[1.3115999999641872],[1.3115999999641872],0.444,no_beat,0.8676,0.8676,"[""space""]",gu,3,testConjL3Uns//time_viol.r1.s2.0.wav,1.0,conjunction_un,unsyncopated,a,s2,no_rule,time,L3,m,0.4726,6.0,1.0,1.3138,4,3,Catalán,0,Castellano,0,Inglés,1,Alemán,13,5,6,yes,no,yes,Flauta dulce,10,7. Me informo sobre la música que me gusta.,1.0,  ,59.0,yes
7,2024-02-27_19h20.58.800,Unsyncopated_study3,s131,18,feminino,right,España,Castellano y catalán,Bachelor degree,no,no,A,1,conjunction_un,L3,unsyncopated,s2,r1,7,Online_conjL3_un//c.gu.je0.1110.0.wav,je,ji,le,sil,chu,gu,ga,sil1,mo,li,sil2,['catch'],[1.8996999999881155],[1.8996999999881155],1.11,no_beat,0.7897,0.7897,"[""space""]",gu,3,testConjL3Uns//dep_viol.r2.s2.0.wav,1.0,conjunction_un,unsyncopated,b,s2,no_rule,dep,L3,z,0.5548,4.0,0.0,1.5175,4,3,Catalán,0,Castellano,0,Inglés,1,Alemán,13,5,6,yes,no,yes,Flauta dulce,10,8.Me emociono escuchando ciertas canciones.,4.0,  ,59.0,yes
8,2024-02-27_19h20.58.800,Unsyncopated_study3,s131,18,feminino,right,España,Castellano y catalán,Bachelor degree,no,no,A,1,conjunction_un,L3,unsyncopated,s1,r1,8,Online_conjL3_un//d.ji.li26.1776.1110.wav,chu,do,ga,sil,mo,li,je,sil1,ji,fu,sil2,['miss'],,,1.776,beat,,,,ji,4,testConjL3Uns//r2.s1.0.wav,1.0,conjunction_un,unsyncopated,b,s1,rule,rule,L3,z,0.5013,6.0,1.0,1.4476,4,3,Catalán,0,Castellano,0,Inglés,1,Alemán,13,5,6,yes,no,yes,Flauta dulce,10,9.La música me tranquiliza y me relaja.,3.0,  ,59.0,yes
9,2024-02-27_19h20.58.800,Unsyncopated_study3,s131,18,feminino,right,España,Castellano y catalán,Bachelor degree,no,no,A,1,conjunction_un,L3,unsyncopated,s2,r1,9,Online_conjL3_un//d.ji.li27.none.none.wav,ga,le,ko,sil,chu,gu,ka,sil1,mo,fu,sil2,['false alarm'],[1.5009000000358128],[1.5009000000358128],none,none,,,"[""space""]",ji,4,testConjL3Uns//r2.s2.1.wav,1.0,conjunction_un,unsyncopated,b,s2,rule,rule,L3,m,2.5294,2.0,0.0,1.0308,4,3,Catalán,0,Castellano,0,Inglés,1,Alemán,13,5,6,yes,no,yes,Flauta dulce,10,10.La música me hace bailar,4.0,  ,59.0,yes
