Unnamed: 0,date,expName,participant,age,sex,hand,residence,native_lang,education_level,lang_deficit,aud_deficit,group,block,condition,language,rhythm,rule structure online,rule type online,order_trial_on,trial_online,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,catch_syll_resp,rts_syll_catch,clean_rts,time_syll,beat_no_beat,catch_rtsTR,catch_rts,syllable_catch.keys,cond_syll,syll_to_catch,test_offline,block_off,condition_off,rhythm_off,rule,rule_str_off,rule_norule,conds_offline,language_off,Partz_no_partm.keys,Partz_no_partm.rt,security_1_7.keys,accuracy,security_1_7.rt,n_lang,n_lang_used,lang_1,age_l1,lang_2,age_l2,ability_learn_l2,tendence_mix_lan,music_experience,muisc_use,partiture,instr_1,age_M1,instr_2,age_M2,preguntas_musica1,BMRQ_answer.response,final comment,BMRQ_Score,bilingual
26,2024-01-13_15h43.41.306,Unsyncopated_study2,s90,20.0,feminino,right,españa,español y catalán,Bachelor degree,no,no,A,1,when,L4,unsyncopated,when,when,26,Online_whenL4//c.bu28.1998.wav,ñi,re,ru,sil,ja,zi,ña,sil1,pe,bu,sil2,['catch'],[2.537499999999966],[2.537499999999966],1.998,no_beat,0.5394999999999659,0.5394999999999659,"[""space""]",bu,3,testConjL2Uns//r1.s2.0.wav,2.0,conjunction_un,unsyncopated,a,s2,rule,rule,L2,z,2.7502,6.0,1.0,0.9538,2.0,2.0,español,0.0,catalán,0.0,1.0,1.0,yes,no,no,guitarra,6,piano,6,,,nada,60.0,yes
27,2024-01-13_15h43.41.306,Unsyncopated_study2,s90,20.0,feminino,right,españa,español y catalán,Bachelor degree,no,no,A,1,when,L4,unsyncopated,when,when,27,Online_whenL4//c.bu30.none.wav,ña,ru,lo,sil,bo,ci,ñi,sil1,nu,po,sil2,['-'],,,none,none,,,,bu,3,testConjL2Uns//cat_viol.r1.s2.0.wav,2.0,conjunction_un,unsyncopated,a,s2,no_rule,cat,L2,m,1.3828,3.0,1.0,0.8524,2.0,2.0,español,0.0,catalán,0.0,1.0,1.0,yes,no,no,guitarra,6,piano,6,,,nada,60.0,yes
28,2024-01-13_15h43.41.306,Unsyncopated_study2,s90,20.0,feminino,right,españa,español y catalán,Bachelor degree,no,no,A,1,when,L4,unsyncopated,when,when,28,Online_whenL4//b.ja10.none.wav,bu,lo,pe,sil,zi,po,ru,sil1,ci,de,sil2,['false alarm'],[0.5847999999998024],[0.5847999999998024],none,none,,,"[""space""]",ja,1,testConjL2Uns//time_viol.r1.s2.0.wav,2.0,conjunction_un,unsyncopated,a,s2,no_rule,time,L2,m,0.2845,7.0,1.0,1.5175,2.0,2.0,español,0.0,catalán,0.0,1.0,1.0,yes,no,no,guitarra,6,piano,6,,,nada,60.0,yes
29,2024-01-13_15h43.41.306,Unsyncopated_study2,s90,20.0,feminino,right,españa,español y catalán,Bachelor degree,no,no,A,1,when,L4,unsyncopated,when,when,29,Online_whenL4//b.ja8.1998.wav,nu,de,da,sil,re,pe,ña,sil1,bu,ja,sil2,['catch'],[2.5055999999996175],[2.5055999999996175],1.998,no_beat,0.5075999999996175,0.5075999999996175,"[""space""]",ja,1,testConjL2Uns//r1.s1.1.wav,2.0,conjunction_un,unsyncopated,a,s1,rule,rule,L2,m,0.3007,4.0,0.0,0.8679,2.0,2.0,español,0.0,catalán,0.0,1.0,1.0,yes,no,no,guitarra,6,piano,6,,,nada,60.0,yes
30,2024-01-13_15h43.41.306,Unsyncopated_study2,s90,20.0,feminino,right,españa,español y catalán,Bachelor degree,no,no,A,1,when,L4,unsyncopated,when,when,30,Online_whenL4//b.ja11.444.wav,po,da,ja,sil,nu,ru,bo,sil1,pe,de,sil2,['catch'],[0.8538000000007742],[0.8538000000007742],0.444,no_beat,0.4098000000007741,0.4098000000007741,"[""space""]",ja,1,testConjL2Uns//time_viol.r2.s1.0.wav,2.0,conjunction_un,unsyncopated,b,s1,no_rule,time,L2,m,0.7667,3.0,1.0,0.6682,2.0,2.0,español,0.0,catalán,0.0,1.0,1.0,yes,no,no,guitarra,6,piano,6,,,nada,60.0,yes
31,2024-01-13_15h43.41.306,Unsyncopated_study2,s90,20.0,feminino,right,españa,español y catalán,Bachelor degree,no,no,A,1,when,L4,unsyncopated,when,when,31,Online_whenL4//b.ja9.0.wav,ja,ci,re,sil,de,zi,pe,sil1,po,bu,sil2,['catch'],[0.5229000000003907],[0.5229000000003907],0.0,beat,0.5229000000003907,0.5229000000003907,"[""space""]",ja,1,testConjL2Uns//cat_viol.r2.s1.0.wav,2.0,conjunction_un,unsyncopated,b,s1,no_rule,cat,L2,z,0.3528,5.0,0.0,2.5028,2.0,2.0,español,0.0,catalán,0.0,1.0,1.0,yes,no,no,guitarra,6,piano,6,,,nada,60.0,yes
32,2024-01-13_15h43.41.306,Unsyncopated_study2,s90,20.0,feminino,right,españa,español y catalán,Bachelor degree,no,no,A,1,when,L4,unsyncopated,when,when,32,Online_whenL4//a.lo21.1998.wav,ñi,zi,bu,sil,de,ru,po,sil1,ña,lo,sil2,['catch'],[2.555999999999983],[2.555999999999983],1.998,no_beat,0.5579999999999832,0.5579999999999832,"[""space""]",lo,2,testConjL2Uns//dep_viol.r2.s1.0.wav,2.0,conjunction_un,unsyncopated,b,s1,no_rule,dep,L2,z,0.1177,7.0,0.0,0.4845,2.0,2.0,español,0.0,catalán,0.0,1.0,1.0,yes,no,no,guitarra,6,piano,6,,,nada,60.0,yes
33,2024-01-13_15h43.41.306,Unsyncopated_study2,s90,20.0,feminino,right,españa,español y catalán,Bachelor degree,no,no,A,1,when,L4,unsyncopated,when,when,33,Online_whenL4//a.lo20.none.wav,re,po,ja,sil,de,ña,nu,sil1,pe,ru,sil2,['-'],,,none,none,,,,lo,2,testConjL2Uns//r1.s2.2.wav,2.0,conjunction_un,unsyncopated,a,s2,rule,rule,L2,m,0.2158,3.0,0.0,0.5885,2.0,2.0,español,0.0,catalán,0.0,1.0,1.0,yes,no,no,guitarra,6,piano,6,,,nada,60.0,yes
34,2024-01-13_15h43.41.306,Unsyncopated_study2,s90,20.0,feminino,right,españa,español y catalán,Bachelor degree,no,no,A,1,when,L4,unsyncopated,when,when,34,Online_whenL4//a.lo22.444.wav,pe,ña,lo,sil,re,ñi,bo,sil1,ru,ja,sil2,['catch'],[0.889299999999821],[0.889299999999821],0.444,no_beat,0.445299999999821,0.445299999999821,"[""space""]",lo,2,testConjL2Uns//cat_viol.r1.s1.0.wav,2.0,conjunction_un,unsyncopated,a,s1,no_rule,cat,L2,m,0.167,3.0,1.0,0.3842,2.0,2.0,español,0.0,catalán,0.0,1.0,1.0,yes,no,no,guitarra,6,piano,6,,,nada,60.0,yes
35,2024-01-13_15h43.41.306,Unsyncopated_study2,s90,20.0,feminino,right,españa,español y catalán,Bachelor degree,no,no,A,1,when,L4,unsyncopated,when,when,35,Online_whenL4//a.lo23.1332.wav,nu,ña,ci,sil,re,ñi,lo,sil1,pe,bu,sil2,['catch'],[1.7311999999992622],[1.7311999999992622],1.332,no_beat,0.3991999999992621,0.3991999999992621,"[""space""]",lo,2,testConjL2Uns//cat_viol.r2.s2.0.wav,2.0,conjunction_un,unsyncopated,b,s2,no_rule,cat,L2,m,0.7541,3.0,1.0,0.5855,2.0,2.0,español,0.0,catalán,0.0,1.0,1.0,yes,no,no,guitarra,6,piano,6,,,nada,60.0,yes
